index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,2.02,2.06,2.02,2.03,24573020,126740835
0,Jan 31 2022,2.00,2.07,1.99,2.02,37720091,125689309
0,Jan 30 2022,2.03,2.04,2.00,2.00,26633495,124245681
0,Jan 29 2022,1.99,2.04,1.99,2.03,28155060,126096535
0,Jan 28 2022,1.99,2.00,1.98,1.99,29920636,123065544
0,Jan 27 2022,1.99,2.02,1.98,1.99,36748953,123151003
0,Jan 26 2022,2.01,2.04,1.98,1.99,38476627,123644387
0,Jan 25 2022,2.01,2.02,1.98,2.01,29775636,124536441
0,Jan 24 2022,2.06,2.06,2.00,2.01,47148559,124525369
0,Jan 23 2022,2.04,2.08,2.04,2.06,36335426,129922514
0,Jan 22 2022,2.08,2.34,2.04,2.04,100715490,128809503
0,Jan 21 2022,2.10,2.14,2.07,2.08,50558756,133479823
0,Jan 20 2022,2.14,2.15,2.10,2.10,24733530,135936439
0,Jan 19 2022,2.19,2.20,2.14,2.14,27529674,138692662
0,Jan 18 2022,2.16,2.20,2.15,2.19,28450108,142568404
0,Jan 17 2022,2.17,2.19,2.13,2.16,27609201,140889972
0,Jan 16 2022,2.20,2.20,2.17,2.17,23046562,142662718
0,Jan 15 2022,2.19,2.24,2.19,2.20,25745468,143951791
0,Jan 14 2022,2.17,2.21,2.16,2.19,29030565,143371446
0,Jan 13 2022,2.17,2.20,2.16,2.17,29453805,141150059
0,Jan 12 2022,2.15,2.18,2.12,2.17,31907794,140629895
0,Jan 11 2022,2.13,2.17,2.12,2.15,33425741,138803512
0,Jan 10 2022,2.13,2.14,2.10,2.13,33244009,137658970
0,Jan 09 2022,2.13,2.17,2.12,2.13,26544687,137515424
0,Jan 08 2022,2.12,2.15,2.12,2.13,33050715,137878523
0,Jan 07 2022,2.21,2.21,2.12,2.12,38325703,137872051
0,Jan 06 2022,2.25,2.25,2.20,2.21,35695089,145949876
0,Jan 05 2022,2.27,2.29,2.23,2.25,28922715,151705628
0,Jan 04 2022,2.27,2.29,2.26,2.27,26083819,153749069
0,Jan 03 2022,2.31,2.32,2.26,2.27,25563574,153653767
0,Jan 02 2022,2.33,2.34,2.30,2.31,27419090,156860437
0,Jan 01 2022,2.29,2.33,2.28,2.33,28502338,157837795
0,Dec 31 2021,2.34,2.36,2.28,2.29,34155202,155277283
0,Dec 30 2021,2.30,2.34,2.29,2.34,33831150,159473858
0,Dec 29 2021,2.36,2.37,2.30,2.30,37004355,158059212
0,Dec 28 2021,2.40,2.43,2.35,2.36,36315711,162314990
0,Dec 27 2021,2.41,2.43,2.39,2.40,26258670,165475036
0,Dec 26 2021,2.39,2.42,2.37,2.41,27565092,166593634
0,Dec 25 2021,2.38,2.40,2.36,2.39,26240755,164985176
0,Dec 24 2021,2.43,2.44,2.37,2.38,35458671,164361414
0,Dec 23 2021,2.38,2.43,2.35,2.42,34274387,167023193
0,Dec 22 2021,2.38,2.40,2.36,2.38,27332729,163251745
0,Dec 21 2021,2.36,2.40,2.34,2.38,28664746,163631430
0,Dec 20 2021,2.33,2.39,2.32,2.36,30474229,161288694
0,Dec 19 2021,2.38,2.41,2.33,2.33,27245011,160612550
0,Dec 18 2021,2.40,2.43,2.37,2.38,34576989,164144631
0,Dec 17 2021,2.38,2.40,2.33,2.40,33699259,164698044
0,Dec 16 2021,2.41,2.43,2.38,2.38,31937011,168446316
0,Dec 15 2021,2.37,2.41,2.33,2.41,39352725,170410940
0,Dec 14 2021,2.35,2.38,2.34,2.37,40764895,167402734
0,Dec 13 2021,2.45,2.45,2.35,2.35,52769062,166475697
0,Dec 12 2021,2.42,2.46,2.41,2.45,36905018,173065304
0,Dec 11 2021,2.42,2.46,2.40,2.42,40151825,171545995
0,Dec 10 2021,2.43,2.50,2.41,2.42,49847545,171262571
0,Dec 09 2021,2.49,2.50,2.43,2.43,44441683,172221655
0,Dec 08 2021,2.51,2.55,2.48,2.49,42055312,177434238
0,Dec 07 2021,2.51,2.56,2.49,2.51,46831860,179394589
0,Dec 06 2021,2.54,2.55,2.48,2.51,55683783,179854147
0,Dec 05 2021,2.60,2.62,2.53,2.54,49360815,184453560
0,Dec 04 2021,2.72,2.73,2.51,2.59,84914068,189395867
0,Dec 03 2021,2.83,2.84,2.69,2.72,59733329,206518432
0,Dec 02 2021,2.88,2.98,2.82,2.83,73703761,219191961
0,Dec 01 2021,2.85,2.91,2.84,2.89,58430001,223581065
0,Nov 30 2021,2.88,2.92,2.84,2.85,62957750,220230714
0,Nov 29 2021,2.86,2.88,2.81,2.88,52102700,221244581
0,Nov 28 2021,2.81,2.87,2.73,2.85,65522727,225448238
0,Nov 27 2021,2.86,2.95,2.78,2.82,64888680,223338020
0,Nov 26 2021,2.87,3.05,2.72,2.85,125540843,225840961
0,Nov 25 2021,2.83,3.25,2.74,2.80,114469910,206357520
0,Nov 24 2021,2.63,2.88,2.57,2.58,73757963,180930843
0,Nov 23 2021,2.55,2.71,2.54,2.63,79022572,184850978
0,Nov 22 2021,2.57,2.66,2.51,2.56,66055416,179585048
0,Nov 21 2021,2.76,2.85,2.55,2.58,102819822,180830641
0,Nov 20 2021,2.43,2.80,2.38,2.76,150929536,193989157
0,Nov 19 2021,2.32,2.45,2.29,2.44,71261956,164112559
0,Nov 18 2021,2.27,2.41,2.22,2.33,65581336,155599674
0,Nov 17 2021,2.20,2.30,2.19,2.27,58898922,149959636
0,Nov 16 2021,2.17,2.65,2.14,2.20,85489562,145348771
0,Nov 15 2021,2.21,2.24,2.16,2.16,29163465,142089904
0,Nov 14 2021,2.22,2.24,2.19,2.21,31312564,145051879
0,Nov 13 2021,2.14,2.24,2.14,2.22,51263480,145606484
0,Nov 12 2021,2.18,2.22,2.12,2.14,39230205,140678671
0,Nov 11 2021,2.14,2.21,2.12,2.18,34776065,143372291
0,Nov 10 2021,2.20,2.20,2.12,2.14,38742752,140341115
0,Nov 09 2021,2.19,2.22,2.17,2.20,29588521,144231349
0,Nov 08 2021,2.22,2.22,2.19,2.19,28167475,143844685
0,Nov 07 2021,2.25,2.27,2.21,2.22,27921588,147650719
0,Nov 06 2021,2.26,2.34,2.24,2.25,32235641,152791343
0,Nov 05 2021,2.31,2.33,2.26,2.26,39114321,153939979
0,Nov 04 2021,2.29,2.37,2.22,2.31,54053323,157274328
0,Nov 03 2021,2.32,2.34,2.25,2.29,44272181,157286459
0,Nov 02 2021,2.30,2.38,2.27,2.32,69621219,159171290
0,Nov 01 2021,2.33,2.39,2.29,2.30,67641777,164251789
0,Oct 31 2021,2.47,2.62,2.32,2.33,120842243,166499418
0,Oct 30 2021,2.33,2.67,2.30,2.47,122835000,161929291
0,Oct 29 2021,2.07,2.38,2.05,2.32,133746105,152095277
0,Oct 28 2021,2.12,2.20,2.04,2.06,90490615,121609723
0,Oct 27 2021,2.00,2.25,1.97,2.12,156219874,124995777
0,Oct 26 2021,1.92,1.99,1.88,1.99,61024585,117149806
0,Oct 25 2021,1.85,1.93,1.85,1.92,38957658,113229019
0,Oct 24 2021,1.84,1.87,1.82,1.85,34393342,105753549
0,Oct 23 2021,1.80,1.87,1.80,1.84,34177243,105352261
0,Oct 22 2021,1.77,1.81,1.77,1.80,29814021,102863788
0,Oct 21 2021,1.79,1.82,1.77,1.78,33786246,101188597
0,Oct 20 2021,1.76,1.82,1.76,1.79,34691418,101923315
0,Oct 19 2021,1.81,1.83,1.75,1.76,45435596,100736628
0,Oct 18 2021,1.72,2.40,1.71,1.80,156979888,100001243
0,Oct 17 2021,1.72,1.75,1.70,1.71,41151935,93339336
0,Oct 16 2021,1.71,1.77,1.69,1.72,34019125,93906487
0,Oct 15 2021,1.66,1.72,1.65,1.71,44559666,92909334
0,Oct 14 2021,1.67,1.72,1.66,1.66,32155678,90498174
0,Oct 13 2021,1.64,1.68,1.63,1.67,31766982,90835085
0,Oct 12 2021,1.64,1.66,1.61,1.64,34489017,88925129
0,Oct 11 2021,1.65,1.67,1.63,1.64,31111001,89155952
0,Oct 10 2021,1.66,1.68,1.65,1.65,26100011,89209940
0,Oct 09 2021,1.64,1.69,1.64,1.67,24789861,90189608
0,Oct 08 2021,1.65,1.69,1.64,1.64,25711276,88904362
0,Oct 07 2021,1.66,1.68,1.63,1.65,28981225,90832475
0,Oct 06 2021,1.69,1.70,1.63,1.66,39468002,91157633
0,Oct 05 2021,1.67,1.73,1.66,1.69,39323181,93075559
