index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1539,0.1581,0.1503,0.1536,54716,2442391
0,Jan 30 2022,0.1588,0.1589,0.1489,0.1539,71059,2446003
0,Jan 29 2022,0.1568,0.1651,0.1567,0.1588,65228,2524768
0,Jan 28 2022,0.1527,0.159,0.1518,0.1568,54590,2492935
0,Jan 27 2022,0.1646,0.1655,0.1506,0.1527,75106,2426795
0,Jan 26 2022,0.1585,0.173,0.1577,0.1646,85207,2616890
0,Jan 25 2022,0.1706,0.1717,0.154,0.1585,74833,2520024
0,Jan 24 2022,0.1905,0.1917,0.1608,0.1706,92945,2712365
0,Jan 23 2022,0.1893,0.2039,0.1861,0.1905,113214,3028306
0,Jan 22 2022,0.2167,0.2176,0.1642,0.1893,92934,3009330
0,Jan 21 2022,0.2459,0.2459,0.2167,0.2167,94146,3444802
0,Jan 20 2022,0.2523,0.275,0.2455,0.2459,78503,3908567
0,Jan 19 2022,0.2461,0.2659,0.2456,0.2523,46513,4009834
0,Jan 18 2022,0.2529,0.2597,0.2432,0.2461,57286,3911392
0,Jan 17 2022,0.2609,0.2705,0.2488,0.2529,137456,4020843
0,Jan 16 2022,0.2625,0.2934,0.2474,0.2609,133753,4146700
0,Jan 15 2022,0.2704,0.2722,0.2542,0.2625,42587,4172515
0,Jan 14 2022,0.2546,0.2718,0.246,0.2704,60124,4297678
0,Jan 13 2022,0.2602,0.2701,0.2474,0.2546,113268,4047017
0,Jan 12 2022,0.2531,0.2673,0.2437,0.2602,112028,4136927
0,Jan 11 2022,0.2505,0.2702,0.241,0.2531,150744,4023525
0,Jan 10 2022,0.285,0.3092,0.2321,0.2505,114109,3981587
0,Jan 09 2022,0.2827,0.2937,0.2772,0.285,99015,4529916
0,Jan 08 2022,0.3215,0.3215,0.2802,0.2827,132214,4493837
0,Jan 07 2022,0.3525,0.3606,0.3005,0.3215,265246,5109994
0,Jan 06 2022,0.3776,0.3897,0.3229,0.3525,270069,5603417
0,Jan 05 2022,0.4112,0.4539,0.377,0.3776,196179,6002320
0,Jan 04 2022,0.4018,0.4452,0.399,0.4112,222522,6535902
0,Jan 03 2022,0.3931,0.4346,0.3732,0.4018,191778,6387386
0,Jan 02 2022,0.3783,0.4432,0.3775,0.3931,251533,6248085
0,Jan 01 2022,0.3964,0.4129,0.358,0.3783,256647,6013198
0,Dec 31 2021,0.4021,0.423,0.3918,0.3963,351856,6299803
0,Dec 30 2021,0.3058,0.4145,0.3058,0.4021,367729,6391474
0,Dec 29 2021,0.3087,0.3253,0.3055,0.3058,351657,4860914
0,Dec 28 2021,0.412,0.4126,0.3086,0.3088,359400,3642180
