index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,2.03,2.06,2.00,2.03,889229,44389123
0,Jan 30 2022,2.05,2.06,2.01,2.03,1051499,44364301
0,Jan 29 2022,2.04,2.07,2.02,2.05,1586091,44765751
0,Jan 28 2022,2.05,2.07,2.01,2.04,2320892,44479302
0,Jan 27 2022,2.03,2.07,1.98,2.05,1990049,44681178
0,Jan 26 2022,2.04,2.16,2.02,2.03,2740659,44378326
0,Jan 25 2022,1.99,2.07,1.94,2.04,2770650,44540877
0,Jan 24 2022,2.02,2.03,1.87,1.99,3213760,43486042
0,Jan 23 2022,1.98,2.05,1.97,2.02,4033692,44004224
0,Jan 22 2022,2.05,2.07,1.93,1.98,3897801,43294391
0,Jan 21 2022,2.24,2.26,1.99,2.05,3414220,44757419
0,Jan 20 2022,2.27,2.34,2.24,2.24,2740550,48986589
0,Jan 19 2022,2.30,1548.86,2.25,2.27,2786334,49649540
0,Jan 18 2022,2.34,2.36,2.28,2.30,2327717,50311342
0,Jan 17 2022,2.40,2.40,2.32,2.34,1705773,51042683
0,Jan 16 2022,2.39,2.41,2.35,2.40,1291906,52373831
0,Jan 15 2022,2.41,2.42,2.36,2.39,1941114,52142663
0,Jan 14 2022,2.41,2.46,2.36,2.41,3766704,52532179
0,Jan 13 2022,2.49,2.51,2.38,2.41,4496584,52621225
0,Jan 12 2022,2.50,2.55,2.45,2.49,2120034,54320409
0,Jan 11 2022,2.46,2.50,2.42,2.50,2824376,54481138
0,Jan 10 2022,2.50,2.52,2.40,2.46,1795551,53778125
0,Jan 09 2022,2.55,2.63,2.44,2.50,2222008,54603528
0,Jan 08 2022,2.53,2.65,2.48,2.55,4341146,55701639
0,Jan 07 2022,2.70,2.72,2.52,2.53,5078411,55248302
0,Jan 06 2022,2.60,2.72,2.42,2.70,2511377,58950013
0,Jan 05 2022,2.70,2.81,2.50,2.60,2147205,56674469
0,Jan 04 2022,2.63,2.78,2.58,2.70,3438758,58987146
0,Jan 03 2022,2.59,2.66,2.54,2.63,3664981,57376725
0,Jan 02 2022,2.57,2.63,2.55,2.59,2527020,56635702
0,Jan 01 2022,2.51,2.62,2.49,2.57,3196036,56108637
0,Dec 31 2021,2.44,2.59,2.43,2.51,4500118,52642285
0,Dec 30 2021,2.32,2.47,2.30,2.44,5320588,51165683
0,Dec 29 2021,2.37,2.44,2.31,2.32,4965313,48787163
0,Dec 28 2021,2.34,2.42,2.30,2.37,4489302,49824208
0,Dec 27 2021,2.31,2.37,2.28,2.34,3307985,49154477
0,Dec 26 2021,2.33,2.35,2.29,2.31,2512760,48536531
0,Dec 25 2021,2.32,2.36,2.30,2.33,2744933,48928328
0,Dec 24 2021,2.37,2.39,2.31,2.32,3326431,48734116
0,Dec 23 2021,2.38,2.42,2.31,2.37,2859558,49800600
0,Dec 22 2021,2.45,2.46,2.36,2.38,2716413,49913754
0,Dec 21 2021,2.50,2.58,2.40,2.45,3019375,51424847
0,Dec 20 2021,2.50,2.53,2.37,2.50,2633628,52430779
0,Dec 19 2021,2.58,2.61,2.50,2.50,2709530,52517857
0,Dec 18 2021,2.57,2.63,2.53,2.58,3389302,54110337
0,Dec 17 2021,2.62,2.66,2.52,2.58,3690351,54064121
0,Dec 16 2021,2.61,2.70,2.58,2.62,4268915,54935507
0,Dec 15 2021,2.58,2.64,2.49,2.61,4528000,54778811
0,Dec 14 2021,2.58,2.63,2.50,2.50,4017854,52544153
0,Dec 13 2021,3.12,3.14,2.55,2.58,3831791,54115715
0,Dec 12 2021,3.08,3.13,3.01,3.12,4116122,65536769
0,Dec 11 2021,3.05,3.10,2.97,3.08,4286671,64670658
0,Dec 10 2021,3.26,3.29,3.03,3.05,3764607,63964795
0,Dec 09 2021,3.58,3.62,3.19,3.26,3377507,68384368
0,Dec 08 2021,3.45,3.62,3.35,3.59,3811904,75239405
0,Dec 07 2021,3.27,3.50,3.27,3.45,4672820,72302544
0,Dec 06 2021,3.39,3.42,3.11,3.27,7748396,68630477
0,Dec 05 2021,3.38,3.55,3.36,3.39,7173220,71057788
0,Dec 04 2021,3.86,3.86,3.26,3.37,5636993,70776448
0,Dec 03 2021,4.27,4.32,3.80,3.86,7394475,81057667
0,Dec 02 2021,4.55,4.62,4.19,4.27,10115879,89578181
0,Dec 01 2021,4.36,4.74,4.36,4.55,9486751,95577462
0,Nov 30 2021,3.63,4.51,3.59,4.36,5837294,87750202
0,Nov 29 2021,3.30,3.66,3.28,3.63,3793871,73090484
0,Nov 28 2021,3.05,3.31,2.94,3.30,4031367,66416306
0,Nov 27 2021,2.82,3.07,2.82,3.05,4286845,61489187
0,Nov 26 2021,3.16,3.21,2.73,2.82,3532659,56717493
0,Nov 25 2021,2.92,3.19,2.91,2.96,2296844,59607237
0,Nov 24 2021,2.56,2.93,2.52,2.53,1669755,51044554
0,Nov 23 2021,2.45,2.59,2.43,2.56,2752495,51615366
0,Nov 22 2021,2.62,2.62,2.41,2.45,2343640,49417992
0,Nov 21 2021,2.64,2.66,2.59,2.62,2579021,52687718
0,Nov 20 2021,2.55,2.67,2.50,2.64,3376958,53151233
0,Nov 19 2021,2.37,2.59,2.33,2.55,3592467,51314106
0,Nov 18 2021,2.53,2.60,2.34,2.37,3295897,47643269
0,Nov 17 2021,2.53,2.73,2.41,2.53,3529562,50930761
0,Nov 16 2021,2.74,4.25,2.48,2.53,3159631,50922792
0,Nov 15 2021,2.51,2.84,2.51,2.74,2310286,55159408
0,Nov 14 2021,2.44,2.55,2.43,2.51,2176141,50554980
0,Nov 13 2021,2.34,2.50,2.34,2.44,2513016,49082751
0,Nov 12 2021,2.34,2.36,2.25,2.34,2945095,47097183
0,Nov 11 2021,2.18,2.40,2.16,2.34,3317085,47142749
0,Nov 10 2021,2.18,2.28,2.12,2.18,3673622,43879832
0,Nov 09 2021,1.93,2.23,1.91,2.18,4487847,43947802
0,Nov 08 2021,1.80,1.94,1.76,1.93,2931271,38910166
0,Nov 07 2021,1.79,1.88,1.76,1.80,1664588,36270303
0,Nov 06 2021,1.74,1.79,1.69,1.78,1646581,35942876
0,Nov 05 2021,1.76,1.79,1.72,1.74,1796744,34948314
0,Nov 04 2021,1.79,1.81,1.71,1.76,1843121,35503611
0,Nov 03 2021,1.77,1.85,1.75,1.79,1681247,35987323
