index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1068,0.1121,0.1022,0.1105,58132067,101025785
0,Jan 30 2022,0.1104,0.1142,0.1062,0.1068,58049605,97657146
0,Jan 29 2022,0.1081,0.1118,0.1075,0.1104,52857109,100891853
0,Jan 28 2022,0.1057,0.1089,0.1018,0.1081,59948743,98823698
0,Jan 27 2022,0.1077,0.1097,0.1018,0.1058,70918469,96671561
0,Jan 26 2022,0.1036,0.1193,0.1029,0.1077,84395422,98472535
0,Jan 25 2022,0.1021,0.1058,0.09803,0.1036,56990727,94657128
0,Jan 24 2022,0.1078,0.108,0.09021,0.1021,93921748,93306451
0,Jan 23 2022,0.106,0.1141,0.1021,0.1078,71204846,98576854
0,Jan 22 2022,0.1223,0.1246,0.09879,0.106,117357920,96854774
0,Jan 21 2022,0.1503,0.1518,0.1193,0.1223,108539476,111768005
0,Jan 20 2022,0.1572,0.167,0.1502,0.1502,42074337,137292402
0,Jan 19 2022,0.1623,0.1636,0.1542,0.1572,62292117,143649533
0,Jan 18 2022,0.169,0.1706,0.1579,0.1623,69548364,148329385
0,Jan 17 2022,0.1804,0.1816,0.165,0.169,69180420,154448943
0,Jan 16 2022,0.1848,0.1852,0.1771,0.1804,70866436,164903815
0,Jan 15 2022,0.1716,0.1904,0.1706,0.1847,116692382,168850542
0,Jan 14 2022,0.1676,0.1733,0.1635,0.1716,62754945,156829091
0,Jan 13 2022,0.1825,0.1827,0.1676,0.1676,55047159,153148884
0,Jan 12 2022,0.1707,0.1826,0.1697,0.1824,52635023,166763960
0,Jan 11 2022,0.1605,0.1713,0.159,0.1707,49013403,155991431
0,Jan 10 2022,0.1693,0.1721,0.1533,0.1605,65648881,146729908
0,Jan 09 2022,0.1653,0.1739,0.1638,0.1694,58992073,154807752
0,Jan 08 2022,0.1774,0.1819,0.1593,0.1653,80407247,151050010
0,Jan 07 2022,0.1926,0.1931,0.1747,0.1774,89277851,162116300
