index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.4685,0.4883,0.4614,0.4804,44285,7366564
0,Jan 30 2022,0.4719,0.4798,0.4584,0.4685,54516,7184655
0,Jan 29 2022,0.4526,0.4887,0.451,0.4719,39428,7236255
0,Jan 28 2022,0.4454,0.4553,0.4194,0.4526,36367,6940680
0,Jan 27 2022,0.4766,0.5458,0.4215,0.4454,62472,6830296
0,Jan 26 2022,0.4619,0.5463,0.4492,0.4766,58993,7309354
0,Jan 25 2022,0.4485,0.472,0.4292,0.4619,51422,0
0,Jan 24 2022,0.4604,0.4648,0.3877,0.4485,59933,0
0,Jan 23 2022,0.4517,0.4848,0.4311,0.4604,76616,0
0,Jan 22 2022,0.4844,0.5473,0.4247,0.4517,123975,0
0,Jan 21 2022,0.5825,0.6061,0.4473,0.4844,79942,0
0,Jan 20 2022,0.5977,0.6269,0.5823,0.5825,82183,0
0,Jan 19 2022,0.633,0.6362,0.5794,0.5977,89057,0
0,Jan 18 2022,0.6498,0.6542,0.6242,0.633,85727,0
0,Jan 17 2022,0.6513,0.6827,0.6363,0.6498,85043,0
0,Jan 16 2022,0.6339,0.6771,0.5909,0.6513,80775,0
0,Jan 15 2022,0.6313,0.6487,0.5952,0.6338,79108,0
0,Jan 14 2022,0.6786,0.7118,0.6046,0.6313,92920,0
0,Jan 13 2022,0.7153,0.7376,0.5899,0.6801,79486,0
0,Jan 12 2022,0.728,0.7484,0.6687,0.7153,86230,0
0,Jan 11 2022,0.7097,0.7535,0.6288,0.7278,79890,0
0,Jan 10 2022,0.6827,0.7303,0.6114,0.7164,61244,0
0,Jan 09 2022,0.6301,0.7256,0.6117,0.7007,88994,0
0,Jan 08 2022,0.6741,0.7298,0.6301,0.6301,100316,0
0,Jan 07 2022,0.7473,0.7479,0.6553,0.6741,95824,0
0,Jan 06 2022,0.7692,0.8017,0.6794,0.7473,131699,0
0,Jan 05 2022,0.7935,0.8469,0.6884,0.7692,184753,0
0,Jan 04 2022,0.807,0.8439,0.7243,0.7935,52282,0
0,Jan 03 2022,0.8252,0.832,0.7458,0.807,65468,0
0,Jan 02 2022,0.7995,0.892,0.7294,0.8252,67797,0
0,Jan 01 2022,0.8101,0.8192,0.7552,0.7995,56795,0
0,Dec 31 2021,0.7405,0.8453,0.7357,0.8101,114270,0
0,Dec 30 2021,0.7602,0.786,0.7344,0.7406,106991,0
0,Dec 29 2021,0.8115,0.819,0.7571,0.7609,125191,0
0,Dec 28 2021,0.8678,0.9204,0.805,0.8112,123504,0
0,Dec 27 2021,0.8774,0.9203,0.8578,0.868,118383,0
0,Dec 26 2021,0.8808,0.925,0.849,0.8774,77615,0
0,Dec 25 2021,0.8807,0.913,0.8638,0.8815,76490,0
0,Dec 24 2021,0.9056,0.9226,0.8755,0.8805,111412,0
0,Dec 23 2021,0.8619,0.9148,0.8619,0.9055,121409,0
0,Dec 22 2021,0.8756,0.9077,0.8581,0.8618,156113,0
0,Dec 21 2021,0.8994,0.8994,0.6475,0.8756,127401,0
0,Dec 20 2021,0.8564,0.913,0.8234,0.8996,87426,0
0,Dec 19 2021,0.8657,0.8998,0.8373,0.8555,86573,0
0,Dec 18 2021,0.8788,0.9676,0.8315,0.8655,95592,0
0,Dec 17 2021,0.9219,0.9423,0.8585,0.88,109723,0
0,Dec 16 2021,0.9446,1.00,0.908,0.9212,81235,0
0,Dec 15 2021,0.9998,1.04,0.8623,0.9449,113433,0
0,Dec 14 2021,0.9146,1.04,0.912,1.00,160317,0
0,Dec 13 2021,0.9173,1.19,0.8607,0.914,124527,0
0,Dec 12 2021,0.927,1.05,0.9016,0.9172,79069,0
0,Dec 11 2021,1.01,1.03,0.8671,0.9283,139583,0
0,Dec 10 2021,0.9784,1.09,0.896,1.01,196626,0
0,Dec 09 2021,1.09,1.22,0.806,0.9792,224615,0
0,Dec 08 2021,0.9621,1.34,0.9181,1.09,195951,0
0,Dec 07 2021,0.9306,1.03,0.9029,0.9622,120106,0
0,Dec 06 2021,0.9594,0.9765,0.8473,0.9301,331842,0
0,Dec 05 2021,0.9986,1.08,0.9429,0.96,232976,0
0,Dec 04 2021,1.13,1.15,0.8886,0.9991,156215,0
0,Dec 03 2021,1.21,1.29,1.08,1.13,295789,0
0,Dec 02 2021,1.34,1.37,1.17,1.21,471298,0
0,Dec 01 2021,1.56,1.62,1.22,1.34,534788,0
0,Nov 30 2021,1.59,1.73,1.43,1.56,397196,0
0,Nov 29 2021,1.48,1.68,1.40,1.59,360941,0
0,Nov 28 2021,1.52,1.53,1.34,1.47,345128,0
0,Nov 27 2021,1.37,1.72,1.28,1.52,543197,0
0,Nov 26 2021,1.77,1.82,1.25,1.37,683083,0
0,Nov 25 2021,1.24,1.81,1.22,1.40,176787,0
0,Nov 24 2021,1.13,1.53,1.13,1.22,216827,0
0,Nov 23 2021,1.19,1.47,1.06,1.13,311033,0
0,Nov 22 2021,1.40,1.42,1.08,1.20,493413,0
0,Nov 21 2021,0.9195,1.41,0.9031,1.40,555289,0
0,Nov 20 2021,0.8797,0.9455,0.8235,0.9195,197527,0
0,Nov 19 2021,0.8598,0.9157,0.7687,0.8804,303363,0
0,Nov 18 2021,0.9521,0.9864,0.7692,0.8588,491854,0
0,Nov 17 2021,0.8351,1.04,0.8012,0.9518,269714,0
0,Nov 16 2021,0.9611,0.9611,0.7578,0.8362,282875,0
0,Nov 15 2021,1.08,1.12,0.9074,0.9622,531478,0
0,Nov 14 2021,1.27,1.33,0.9209,1.08,782935,0
0,Nov 13 2021,1.15,1.37,0.9937,1.27,1095202,0
0,Nov 12 2021,1.30,1.45,0.8919,1.15,988548,0
0,Nov 11 2021,1.24,1.41,1.16,1.29,653741,0
0,Nov 10 2021,1.40,4.15,0.9987,1.24,941748,0
0,Nov 09 2021,1.31,1.58,1.14,1.40,1740285,0
0,Nov 08 2021,1.13,1.58,0.9419,1.31,993298,0
0,Nov 07 2021,1.14,1.37,1.06,1.13,699611,0
0,Nov 06 2021,1.36,1.40,0.9805,1.14,998214,0
0,Nov 05 2021,1.24,1.65,1.11,1.36,855334,0
0,Nov 04 2021,1.82,1.88,1.16,1.24,1352416,0
0,Nov 03 2021,2.38,2.40,1.47,1.82,3399479,0
