index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,8.96,9.54,8.69,8.70,2116361,83538047
0,Jan 30 2022,9.18,9.24,8.92,8.96,2014202,86059572
0,Jan 29 2022,9.19,9.25,9.02,9.18,2134785,88137494
0,Jan 28 2022,9.21,9.60,9.04,9.19,2128644,88214090
0,Jan 27 2022,8.99,9.72,8.94,9.21,2329639,88460207
0,Jan 26 2022,9.30,9.30,8.98,8.99,1829957,86301928
0,Jan 25 2022,9.51,9.53,9.28,9.29,1847733,89206389
0,Jan 24 2022,9.92,9.92,9.47,9.52,2103257,91361180
0,Jan 23 2022,10.04,10.04,9.88,9.93,2217246,95371913
0,Jan 22 2022,10.65,10.65,9.99,10.04,2860186,96341667
0,Jan 21 2022,11.54,11.58,10.62,10.65,2793463,102219584
0,Jan 20 2022,11.55,11.68,11.52,11.54,1679269,110810274
0,Jan 19 2022,11.65,11.69,11.53,11.55,1202235,110882609
0,Jan 18 2022,11.85,11.86,11.64,11.65,1449153,111834676
0,Jan 17 2022,12.53,12.59,11.82,11.85,1909152,113800616
0,Jan 16 2022,12.89,12.92,12.47,12.53,1991096,120263284
0,Jan 15 2022,13.04,13.06,12.81,12.89,1472613,123697468
0,Jan 14 2022,13.17,13.25,13.01,13.03,1398382,125098792
0,Jan 13 2022,13.17,13.29,13.06,13.17,1459451,126442716
0,Jan 12 2022,12.63,13.31,12.47,13.16,2396421,126383409
0,Jan 11 2022,12.38,12.81,12.37,12.63,1817886,121259334
0,Jan 10 2022,12.50,12.52,12.27,12.39,1716419,118919315
0,Jan 09 2022,12.49,12.50,12.37,12.50,1103729,119982982
0,Jan 08 2022,12.58,12.63,12.42,12.49,1188974,119913007
0,Jan 07 2022,12.94,12.97,12.57,12.58,1170880,120772226
0,Jan 06 2022,13.32,13.33,12.80,12.93,1632626,124153867
0,Jan 05 2022,13.78,13.87,13.23,13.32,2272497,127828862
0,Jan 04 2022,13.90,13.91,13.72,13.78,1881403,132314691
0,Jan 03 2022,13.04,13.96,13.03,13.90,2634709,133409149
0,Jan 02 2022,12.63,13.05,12.62,13.04,1810071,125209058
0,Jan 01 2022,12.75,12.78,12.47,12.63,1492616,121239790
0,Dec 31 2021,12.77,12.83,12.66,12.76,1815833,122462908
0,Dec 30 2021,13.12,13.13,12.56,12.77,1941706,122632098
0,Dec 29 2021,13.68,13.70,13.11,13.12,2209940,125917491
0,Dec 28 2021,14.08,14.12,13.57,13.68,1567320,131367409
0,Dec 27 2021,14.13,14.23,13.85,14.08,2056104,135149745
0,Dec 26 2021,14.32,14.38,14.08,14.15,1651685,135793197
0,Dec 25 2021,14.26,14.38,14.19,14.30,1341534,137273694
0,Dec 24 2021,14.03,14.70,14.03,14.30,3235058,137259409
0,Dec 23 2021,13.33,14.07,13.24,14.03,2319080,134663384
0,Dec 22 2021,13.30,13.43,13.27,13.31,2114098,127740570
0,Dec 21 2021,12.71,13.31,12.71,13.30,2032761,127704167
0,Dec 20 2021,12.97,12.99,12.58,12.72,1923748,122083519
0,Dec 19 2021,12.70,13.05,12.69,12.97,1965474,124500463
0,Dec 18 2021,12.70,12.81,12.63,12.70,1600180,121949034
0,Dec 17 2021,12.90,12.92,12.45,12.70,2802909,121941480
0,Dec 16 2021,12.78,13.00,12.76,12.90,2162044,123881329
0,Dec 15 2021,12.42,12.79,12.27,12.78,2513936,122710914
0,Dec 14 2021,12.59,12.73,12.41,12.43,2537595,119288723
0,Dec 13 2021,13.53,13.65,12.57,12.59,3145027,120880702
0,Dec 12 2021,13.42,13.57,13.40,13.52,2313450,129824732
0,Dec 11 2021,13.20,13.44,13.18,13.42,2241406,128820220
0,Dec 10 2021,13.79,15.68,13.13,13.21,7244979,126775713
0,Dec 09 2021,14.77,14.85,13.77,13.78,3528131,132335935
0,Dec 08 2021,14.65,14.94,14.54,14.78,3110201,141885179
0,Dec 07 2021,13.75,15.02,13.74,14.65,5973296,140629705
0,Dec 06 2021,14.17,14.19,13.01,13.75,6126589,132000141
0,Dec 05 2021,15.03,15.03,14.14,14.16,3856736,135979682
0,Dec 04 2021,15.91,15.95,14.39,15.04,5950821,0
0,Dec 03 2021,16.83,16.91,15.71,15.91,4818055,0
0,Dec 02 2021,18.31,18.31,16.81,16.82,5309828,0
0,Dec 01 2021,19.54,19.68,18.30,18.31,5013207,0
0,Nov 30 2021,20.39,20.56,18.90,19.54,8530366,0
0,Nov 29 2021,18.06,20.42,18.05,20.38,6231437,0
0,Nov 28 2021,18.89,18.89,17.65,18.01,4890996,0
0,Nov 27 2021,17.35,19.08,17.31,18.87,5134077,0
0,Nov 26 2021,19.03,19.03,16.66,17.36,8123888,0
0,Nov 25 2021,18.12,19.53,18.12,18.30,9548716,0
0,Nov 24 2021,15.73,18.96,15.58,15.65,5107832,0
0,Nov 23 2021,15.10,15.74,14.83,15.73,5158511,0
0,Nov 22 2021,16.92,16.93,14.93,15.08,6249596,0
0,Nov 21 2021,14.95,17.03,14.92,16.92,5401765,0
0,Nov 20 2021,14.10,15.76,14.10,14.95,6498126,0
0,Nov 19 2021,13.21,14.18,12.91,14.12,6696743,0
0,Nov 18 2021,15.13,15.47,12.64,13.21,11269830,0
0,Nov 17 2021,17.18,17.52,14.89,15.14,8876981,0
