index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.4203,0.4213,0.4004,0.4112,812231,16730194
0,Jan 30 2022,0.4383,0.4393,0.4178,0.4203,900800,17099573
0,Jan 29 2022,0.4148,0.4612,0.4126,0.4383,1073488,17832691
0,Jan 28 2022,0.4269,0.4435,0.408,0.4148,1349614,16878724
0,Jan 27 2022,0.4809,0.4899,0.4103,0.4269,2203294,17370168
0,Jan 26 2022,0.5787,0.5787,0.4801,0.4809,2191417,19567749
0,Jan 25 2022,0.5271,0.578,0.5037,0.578,2378479,14003697
0,Jan 24 2022,0.5345,0.5669,0.4697,0.5271,1990135,12772179
0,Jan 23 2022,0.4308,0.5363,0.4301,0.5345,1856443,12950683
0,Jan 22 2022,0.4774,0.4877,0.4096,0.4307,1737795,10436061
0,Jan 21 2022,0.5328,0.5686,0.4771,0.4774,1902877,11567869
0,Jan 20 2022,0.5394,0.6109,0.5291,0.5327,2450827,12906998
0,Jan 19 2022,0.5814,0.6229,0.5394,0.5429,2933922,13154743
0,Jan 18 2022,0.4631,0.6042,0.4521,0.5802,3020453,14057833
0,Jan 17 2022,0.5698,0.5782,0.4521,0.463,2600600,11217975
0,Jan 16 2022,0.6397,0.6496,0.5571,0.5699,7112700,13807773
0,Jan 15 2022,0.9726,0.9773,0.5885,0.6396,8596382,15496856
0,Jan 14 2022,0.9594,0.9842,0.9512,0.9725,1027359,23562798
0,Jan 13 2022,1.03,1.03,0.9561,0.9597,1783838,23252564
0,Jan 12 2022,1.03,1.05,1.02,1.03,1553425,24941611
0,Jan 11 2022,0.924,1.04,0.9192,1.03,1236091,24929402
0,Jan 10 2022,0.9445,0.9617,0.9119,0.9239,908352,22386060
0,Jan 09 2022,0.9627,0.9662,0.9389,0.9445,686262,22884042
0,Jan 08 2022,0.9945,1.01,0.9288,0.9628,882153,23327467
0,Jan 07 2022,1.07,1.07,0.9891,0.9944,908729,24092042
0,Jan 06 2022,1.07,1.11,1.05,1.07,1053575,25953006
0,Jan 05 2022,1.14,1.17,1.05,1.07,926402,25829106
0,Jan 04 2022,1.17,1.17,1.14,1.14,810081,27725063
0,Jan 03 2022,1.23,1.23,1.15,1.17,931196,28300669
0,Jan 02 2022,1.28,1.28,1.22,1.23,1450022,29691435
0,Jan 01 2022,1.36,1.38,1.24,1.28,1655929,30988012
0,Dec 31 2021,1.37,1.41,1.33,1.36,1311694,32929151
0,Dec 30 2021,1.43,1.44,1.36,1.37,1189729,33233650
0,Dec 29 2021,1.38,1.52,1.36,1.43,1525278,34656159
0,Dec 28 2021,1.44,1.44,1.36,1.38,1251554,33441883
0,Dec 27 2021,1.45,1.46,1.44,1.44,1195131,34887322
0,Dec 26 2021,1.48,1.48,1.41,1.45,1208139,35182646
0,Dec 25 2021,1.43,1.52,1.43,1.48,1355378,35782449
0,Dec 24 2021,1.46,1.51,1.43,1.43,1365788,34729194
0,Dec 23 2021,1.44,1.47,1.39,1.46,1365240,35454443
0,Dec 22 2021,1.36,1.49,1.36,1.44,1376262,34806548
0,Dec 21 2021,1.44,1.44,1.33,1.36,1461945,33020252
0,Dec 20 2021,1.47,1.48,1.41,1.44,1116734,34778735
0,Dec 19 2021,1.51,1.57,1.47,1.48,1093224,35739310
0,Dec 18 2021,1.52,1.53,1.47,1.51,776165,31191615
0,Dec 17 2021,1.49,1.53,1.46,1.51,752654,31310162
0,Dec 16 2021,1.63,1.71,1.49,1.49,710993,30890750
0,Dec 15 2021,1.57,1.63,1.48,1.63,676721,33708748
0,Dec 14 2021,1.59,1.60,1.52,1.57,858832,32383652
0,Dec 13 2021,1.71,1.72,1.59,1.59,787484,32845788
0,Dec 12 2021,1.72,1.74,1.67,1.71,727152,35414050
0,Dec 11 2021,1.68,1.74,1.67,1.72,867850,35478176
0,Dec 10 2021,1.73,1.77,1.67,1.69,1223195,34865529
0,Dec 09 2021,2.07,2.07,1.71,1.73,1235612,35794474
0,Dec 08 2021,2.08,2.18,2.01,2.07,1199931,42762011
0,Dec 07 2021,1.91,2.16,1.91,2.08,1976050,43026918
0,Dec 06 2021,1.89,1.95,1.56,1.91,4126539,39480107
0,Dec 05 2021,2.21,2.27,1.87,1.88,2974984,38953357
0,Dec 04 2021,2.50,2.51,2.08,2.21,1906489,45737897
0,Dec 03 2021,2.70,2.74,2.45,2.50,2332690,51660960
0,Dec 02 2021,2.91,3.00,2.67,2.70,4056158,55767110
0,Dec 01 2021,2.89,2.95,2.83,2.91,3116386,49846158
0,Nov 30 2021,2.93,3.01,2.86,2.90,2091405,49564012
0,Nov 29 2021,2.99,3.03,2.86,2.93,2286159,50149820
0,Nov 28 2021,2.89,3.03,2.80,2.99,3004860,51224967
0,Nov 27 2021,2.54,2.98,2.48,2.89,3850750,49516111
0,Nov 26 2021,2.96,3.09,2.39,2.54,3770400,43417773
0,Nov 25 2021,3.23,3.30,2.78,3.07,3916865,52564819
0,Nov 24 2021,3.11,3.39,2.89,2.94,4148138,39092717
0,Nov 23 2021,2.36,3.44,2.34,3.11,4911144,41375411
0,Nov 22 2021,2.42,2.47,2.21,2.36,1756386,31358272
0,Nov 21 2021,2.43,2.50,2.38,2.42,1631384,32209690
0,Nov 20 2021,2.42,2.63,2.35,2.43,1731077,32311701
0,Nov 19 2021,2.14,2.49,2.10,2.42,1891390,32137904
0,Nov 18 2021,2.29,2.33,2.03,2.13,1846172,28352052
0,Nov 17 2021,2.30,2.43,2.17,2.29,1799324,30453044
0,Nov 16 2021,2.41,2.42,2.08,2.30,2514035,30617270
0,Nov 15 2021,2.84,2.87,2.29,2.41,2943420,32079760
0,Nov 14 2021,2.60,2.98,2.56,2.84,2792583,37778269
0,Nov 13 2021,2.11,2.60,2.08,2.60,2382684,34540824
0,Nov 12 2021,2.16,2.19,1.87,2.11,3117240,28072638
0,Nov 11 2021,2.37,2.40,2.15,2.16,3416295,28714529
0,Nov 10 2021,2.55,2.84,2.27,2.37,3781749,31474648
0,Nov 09 2021,2.87,2.94,2.43,2.55,4665273,25526454
0,Nov 08 2021,3.18,3.50,2.80,2.87,4168961,28681851
0,Nov 07 2021,3.54,3.63,3.16,3.18,4626033,31821576
0,Nov 06 2021,3.01,3.57,2.74,3.54,7236057,35388196
0,Nov 05 2021,3.52,3.63,2.83,3.01,9339664,30058328
0,Nov 04 2021,3.92,4.02,3.13,3.53,13765060,35271589
0,Nov 03 2021,2.90,4.18,2.77,3.92,17297726,39206014
