index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1322,0.1322,0.1258,0.1285,586362,39021327
0,Jan 30 2022,0.1324,0.1342,0.1301,0.1322,451954,40140258
0,Jan 29 2022,0.1255,0.135,0.1246,0.1328,657617,40306523
0,Jan 28 2022,0.1239,0.1286,0.1222,0.1256,825732,38132523
0,Jan 27 2022,0.1263,0.1294,0.1205,0.1239,729049,37612564
0,Jan 26 2022,0.1256,0.1336,0.1218,0.1262,924507,38318656
0,Jan 25 2022,0.121,0.1374,0.1193,0.126,1728571,38266430
0,Jan 24 2022,0.128,0.1283,0.1131,0.1209,786349,36715073
0,Jan 23 2022,0.1326,0.1462,0.1187,0.128,2714324,38864183
0,Jan 22 2022,0.1258,0.1342,0.109,0.1325,1766788,40236562
0,Jan 21 2022,0.1393,0.1402,0.1238,0.1259,723907,38208093
0,Jan 20 2022,0.1455,0.1519,0.139,0.1393,606258,42302481
0,Jan 19 2022,0.1501,0.1541,0.1439,0.1455,959554,44179823
0,Jan 18 2022,0.1599,0.1599,0.1459,0.1501,584226,45577928
0,Jan 17 2022,0.1607,0.1619,0.1496,0.1599,1076810,48536778
0,Jan 16 2022,0.1613,0.1627,0.1586,0.1607,765345,48782561
0,Jan 15 2022,0.1599,0.1661,0.1578,0.1613,1169255,48963885
0,Jan 14 2022,0.1542,0.161,0.1535,0.1599,985601,48535789
0,Jan 13 2022,0.1591,0.1616,0.1538,0.1541,1236904,46778521
0,Jan 12 2022,0.1494,0.16,0.1488,0.1591,1010060,48297161
0,Jan 11 2022,0.1454,0.1532,0.1419,0.1495,1200202,45373955
0,Jan 10 2022,0.1564,0.1567,0.1413,0.1453,1505290,44123284
0,Jan 09 2022,0.1529,0.1801,0.1514,0.1562,3111060,47427915
0,Jan 08 2022,0.1538,0.163,0.1478,0.1529,625410,46420263
0,Jan 07 2022,0.1735,0.1735,0.1537,0.1538,745893,46705326
0,Jan 06 2022,0.1728,0.1753,0.1669,0.1734,780392,52632044
0,Jan 05 2022,0.193,0.1954,0.1691,0.1728,1933947,52460436
0,Jan 04 2022,0.1964,0.1987,0.192,0.193,1311606,58603069
0,Jan 03 2022,0.2288,0.2288,0.1957,0.1965,6623454,59668119
0,Jan 02 2022,0.1963,0.2336,0.1903,0.2288,10028846,69472952
0,Jan 01 2022,0.1876,0.2006,0.1836,0.1963,1139180,59589620
0,Dec 31 2021,0.1895,0.1941,0.1862,0.1877,1509521,56978992
0,Dec 30 2021,0.1856,0.2009,0.1818,0.1896,2286446,57550333
0,Dec 29 2021,0.1906,0.1934,0.1855,0.1856,1722343,56362058
0,Dec 28 2021,0.2088,0.2102,0.1897,0.1902,2022766,57740386
0,Dec 27 2021,0.2124,0.2175,0.2075,0.2083,2185735,63228778
0,Dec 26 2021,0.2139,0.2166,0.2099,0.2124,718989,64475983
0,Dec 25 2021,0.2214,0.2241,0.213,0.213,932284,64653966
0,Dec 24 2021,0.2229,0.2329,0.2181,0.2213,2261438,67196264
0,Dec 23 2021,0.2169,0.2445,0.2039,0.2228,7240055,67648176
0,Dec 22 2021,0.2016,0.2225,0.2016,0.217,2834589,65883618
0,Dec 21 2021,0.1936,0.2078,0.1923,0.2028,878046,61566124
0,Dec 20 2021,0.2049,0.2051,0.1926,0.1934,2270821,58728494
0,Dec 19 2021,0.2038,0.2115,0.2012,0.2054,2832582,62358139
0,Dec 18 2021,0.2007,0.2153,0.198,0.2035,4421888,61783483
0,Dec 17 2021,0.2121,0.2166,0.1997,0.2004,4205281,60850234
0,Dec 16 2021,0.2175,0.2237,0.2109,0.2121,2206977,64383139
0,Dec 15 2021,0.2112,0.2299,0.1921,0.2169,2929794,65864651
0,Dec 14 2021,0.2005,0.2374,0.1984,0.2038,3105686,61877684
0,Dec 13 2021,0.2312,0.2337,0.19,0.2029,3248098,61586984
0,Dec 12 2021,0.2388,0.2504,0.2275,0.2328,2632261,70668606
0,Dec 11 2021,0.2324,0.2425,0.2236,0.2383,2377208,72355829
0,Dec 10 2021,0.2661,0.2663,0.2328,0.2333,4548021,70830571
0,Dec 09 2021,0.2959,0.3053,0.2578,0.2682,56153851,81413044
0,Dec 08 2021,0.338,0.3592,0.2855,0.2931,45393360,88986378
0,Dec 07 2021,0.2135,0.4489,0.2114,0.3374,62952141,102443489
0,Dec 06 2021,0.2241,0.2242,0.1788,0.2135,2817134,64814752
0,Dec 05 2021,0.2644,0.2683,0.2186,0.2243,2370714,68089687
0,Dec 04 2021,0.2882,0.3616,0.2284,0.2654,10874218,80574915
0,Dec 03 2021,0.2758,0.3331,0.2581,0.2881,6323381,87452183
0,Dec 02 2021,0.2948,0.2953,0.2636,0.2761,3611252,83819175
0,Dec 01 2021,0.3221,0.324,0.291,0.2952,3240144,89624287
0,Nov 30 2021,0.3408,0.3412,0.3103,0.3219,4889579,97713711
0,Nov 29 2021,0.3203,0.3536,0.3093,0.3423,6792507,103925048
0,Nov 28 2021,0.3305,0.3443,0.2969,0.3199,12111612,97132813
0,Nov 27 2021,0.2728,0.3611,0.2687,0.3298,15173057,100131032
0,Nov 26 2021,0.3148,0.3295,0.2621,0.2737,6333491,83102686
0,Nov 25 2021,0.3296,0.3606,0.2978,0.3363,12050012,102102341
0,Nov 24 2021,0.2772,0.3652,0.2723,0.2882,8305997,87505491
0,Nov 23 2021,0.2594,0.2882,0.2339,0.2757,8077019,83702773
0,Nov 22 2021,0.2267,0.2827,0.2206,0.2595,9722268,78784418
0,Nov 21 2021,0.2371,0.2442,0.2236,0.2267,2385662,68812513
0,Nov 20 2021,0.2231,0.2401,0.2189,0.2371,2426208,71985085
0,Nov 19 2021,0.2048,0.2341,0.2032,0.2248,2622607,68244818
0,Nov 18 2021,0.2292,0.2323,0.2002,0.2048,2447567,62172373
0,Nov 17 2021,0.2359,0.2405,0.2233,0.2293,2275468,69604462
0,Nov 16 2021,0.2633,0.2648,0.2236,0.2358,4201745,71598158
0,Nov 15 2021,0.2619,0.2783,0.2411,0.2635,5002840,80010159
0,Nov 14 2021,0.2697,0.2751,0.2317,0.2614,5809979,79374496
0,Nov 13 2021,0.2088,0.2826,0.2085,0.27,7803870,81956534
0,Nov 12 2021,0.224,0.226,0.2074,0.2091,1873169,63485665
0,Nov 11 2021,0.2363,0.2448,0.2193,0.2239,4105390,67978619
0,Nov 10 2021,0.2077,0.2923,0.2044,0.236,12876969,71642589
0,Nov 09 2021,0.2132,0.214,0.2042,0.2075,1611512,62981091
0,Nov 08 2021,0.2249,0.225,0.2098,0.2132,2437625,64718973
0,Nov 07 2021,0.2105,0.2325,0.2029,0.225,3758483,68313716
0,Nov 06 2021,0.2115,0.2184,0.2016,0.2106,2090653,63928305
0,Nov 05 2021,0.2207,0.2435,0.2086,0.2116,4975669,64230566
0,Nov 04 2021,0.215,0.2357,0.2065,0.2207,4134867,67000491
0,Nov 03 2021,0.232,0.2522,0.2113,0.215,4346382,65280251
