index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.8822,0.8987,0.8568,0.8976,2401427,62419317
0,Jan 30 2022,0.9187,0.932,0.8682,0.8822,2650040,58301085
0,Jan 29 2022,0.9554,0.9675,0.9128,0.9182,3449433,60682324
0,Jan 28 2022,0.9045,0.9706,0.8904,0.9553,3308429,63128738
0,Jan 27 2022,0.8484,0.998,0.8043,0.9045,4796933,59773725
0,Jan 26 2022,0.8825,0.9548,0.8371,0.8484,3424025,56067915
0,Jan 25 2022,0.8437,0.8841,0.8128,0.8831,2876129,58360297
0,Jan 24 2022,0.8778,0.8779,0.727,0.8433,3527054,55731375
0,Jan 23 2022,0.8021,0.8797,0.7964,0.8776,2907740,57999799
0,Jan 22 2022,0.8859,0.9413,0.7231,0.8019,4048143,52990948
0,Jan 21 2022,1.11,1.12,0.8499,0.8868,3385091,58604803
0,Jan 20 2022,1.15,1.23,1.11,1.11,2859283,73648362
0,Jan 19 2022,1.20,1.20,1.12,1.15,2408547,75744793
0,Jan 18 2022,1.22,1.24,1.14,1.20,2559030,79147252
0,Jan 17 2022,1.31,1.31,1.19,1.22,2892477,80390641
0,Jan 16 2022,1.34,1.34,1.30,1.31,2072113,86305605
0,Jan 15 2022,1.34,1.36,1.30,1.34,2262470,88856955
0,Jan 14 2022,1.30,1.40,1.24,1.34,3475588,88588341
0,Jan 13 2022,1.42,1.42,1.30,1.30,2955635,86018494
0,Jan 12 2022,1.38,1.44,1.31,1.42,3275141,94094465
0,Jan 11 2022,1.28,1.39,1.25,1.38,4238119,91181626
0,Jan 10 2022,1.28,1.36,1.21,1.28,3770742,84847376
0,Jan 09 2022,1.23,1.32,1.21,1.28,3133227,84846245
0,Jan 08 2022,1.29,1.39,1.17,1.23,4318129,81173096
0,Jan 07 2022,1.40,1.41,1.27,1.29,4156829,85083527
0,Jan 06 2022,1.48,1.48,1.39,1.40,3910353,92706007
0,Jan 05 2022,1.60,1.64,1.40,1.48,4250875,97874596
0,Jan 04 2022,1.61,1.66,1.58,1.60,3199456,105943872
0,Jan 03 2022,1.69,1.69,1.57,1.61,3690286,106296772
0,Jan 02 2022,1.71,1.75,1.63,1.69,4094436,111635465
0,Jan 01 2022,1.60,1.72,1.55,1.71,3927687,112955888
0,Dec 31 2021,1.63,1.70,1.57,1.60,4893225,105674389
0,Dec 30 2021,1.58,1.66,1.55,1.63,4529102,101804649
0,Dec 29 2021,1.76,1.77,1.57,1.58,5858022,98840056
0,Dec 28 2021,1.91,1.91,1.71,1.76,6557149,110408168
0,Dec 27 2021,1.93,2.09,1.89,1.91,6738841,119555526
0,Dec 26 2021,1.81,1.93,1.73,1.93,5406499,120824342
0,Dec 25 2021,1.80,1.87,1.76,1.81,4316705,113446732
0,Dec 24 2021,1.90,1.97,1.80,1.80,5896402,112778178
0,Dec 23 2021,1.69,1.98,1.65,1.90,8203106,118855784
0,Dec 22 2021,1.55,1.82,1.52,1.69,16182953,105758834
0,Dec 21 2021,1.32,1.58,1.32,1.55,5617933,97127219
0,Dec 20 2021,1.39,1.40,1.30,1.32,4939835,82438403
0,Dec 19 2021,1.42,1.47,1.36,1.40,4291116,87392658
0,Dec 18 2021,1.38,1.44,1.34,1.42,5667037,88863626
0,Dec 17 2021,1.46,1.47,1.32,1.38,6174804,86369653
0,Dec 16 2021,1.55,1.59,1.44,1.46,6441849,91448478
0,Dec 15 2021,1.46,1.58,1.30,1.55,6674031,97096597
0,Dec 14 2021,1.52,1.53,1.41,1.42,5508322,89059252
0,Dec 13 2021,1.79,1.79,1.44,1.52,6761959,95245200
0,Dec 12 2021,1.72,1.83,1.70,1.79,4426354,112011162
0,Dec 11 2021,1.66,1.84,1.65,1.72,5025691,107680167
0,Dec 10 2021,1.65,1.84,1.55,1.66,9111583,104182640
0,Dec 09 2021,1.92,1.93,1.51,1.65,8614565,103220296
0,Dec 08 2021,1.85,1.98,1.70,1.93,9219298,120661981
0,Dec 07 2021,1.77,2.10,1.77,1.85,11525067,115890261
0,Dec 06 2021,1.79,1.83,1.39,1.77,12734042,110797201
0,Dec 05 2021,2.02,2.16,1.75,1.80,5452967,112486074
0,Dec 04 2021,2.38,2.38,1.79,2.02,9139554,126435038
