index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.3401,0.3489,0.319,0.3426,7262453,254952622
0,Jan 30 2022,0.3508,0.3552,0.3341,0.3401,6129882,253092471
0,Jan 29 2022,0.3442,0.3621,0.3435,0.3508,6013488,261031393
0,Jan 28 2022,0.3421,0.3537,0.3338,0.3441,6012595,256098057
0,Jan 27 2022,0.3545,0.3575,0.3253,0.3421,10773145,254556555
0,Jan 26 2022,0.3293,0.3964,0.3211,0.3546,18224929,263921157
0,Jan 25 2022,0.3126,0.3491,0.3007,0.3294,10083673,245117356
0,Jan 24 2022,0.3188,0.3188,0.2706,0.3126,10947544,232624706
0,Jan 23 2022,0.2983,0.3424,0.288,0.3188,13674422,237239399
0,Jan 22 2022,0.3374,0.3465,0.2663,0.2981,17501362,221862808
0,Jan 21 2022,0.4438,0.4454,0.3339,0.3377,16335910,251300780
0,Jan 20 2022,0.459,0.4812,0.4437,0.4437,7733459,330216706
0,Jan 19 2022,0.4681,0.4807,0.4427,0.459,8918257,341612064
0,Jan 18 2022,0.4819,0.4854,0.4524,0.4682,11214138,348424283
0,Jan 17 2022,0.518,0.5186,0.4743,0.4818,10176702,358541180
0,Jan 16 2022,0.5227,0.5241,0.5108,0.518,8883923,385502955
0,Jan 15 2022,0.5194,0.533,0.5108,0.5227,9545346,389007147
0,Jan 14 2022,0.5131,0.5299,0.4952,0.5194,12280161,386513586
0,Jan 13 2022,0.5555,0.5567,0.5111,0.5131,13750377,381847061
0,Jan 12 2022,0.5272,0.559,0.5156,0.5554,13087988,413293093
0,Jan 11 2022,0.4965,0.5344,0.4864,0.5272,14724426,392325274
0,Jan 10 2022,0.5383,0.5398,0.4682,0.4965,17407019,369509137
0,Jan 09 2022,0.54,0.558,0.5122,0.5383,13361876,400561610
0,Jan 08 2022,0.5582,0.5844,0.512,0.5402,14154226,402008664
0,Jan 07 2022,0.6059,0.6059,0.5553,0.5582,17482521,415379936
0,Jan 06 2022,0.5961,0.6318,0.5658,0.6059,21979318,450865147
0,Jan 05 2022,0.6725,0.6842,0.5734,0.5961,25166225,443596185
0,Jan 04 2022,0.698,0.7068,0.6717,0.6721,19674685,500191016
0,Jan 03 2022,0.7199,0.7202,0.6875,0.6979,20642199,519372250
0,Jan 02 2022,0.7127,0.7248,0.6897,0.7199,20355375,535720112
0,Jan 01 2022,0.6562,0.7248,0.6533,0.713,20829557,530586584
0,Dec 31 2021,0.6792,0.7076,0.6547,0.6563,16807769,488385767
0,Dec 30 2021,0.6709,0.6972,0.6617,0.6793,19723745,505505835
0,Dec 29 2021,0.716,0.7412,0.669,0.6714,24989606,499633864
0,Dec 28 2021,0.7724,0.78,0.6772,0.7165,48669238,533235589
0,Dec 27 2021,0.6882,0.8338,0.6657,0.7714,60771326,574060788
0,Dec 26 2021,0.7018,0.7036,0.6542,0.6881,23081367,512093910
0,Dec 25 2021,0.7053,0.7376,0.6707,0.702,33713008,522395142
0,Dec 24 2021,0.8032,0.8271,0.7067,0.7067,36124657,525917906
0,Dec 23 2021,0.7099,0.8207,0.6808,0.8034,57084574,597898023
0,Dec 22 2021,0.5457,0.7527,0.5425,0.7094,65521664,527892369
0,Dec 21 2021,0.5039,0.5697,0.4889,0.5462,25492783,406450077
0,Dec 20 2021,0.4443,0.5191,0.3933,0.5035,41112221,374675145
0,Dec 19 2021,0.4698,0.4842,0.4445,0.4445,10066249,330795376
0,Dec 18 2021,0.4542,0.4851,0.4508,0.4699,15876524,349696608
0,Dec 17 2021,0.5169,0.5198,0.444,0.4542,23085418,338021910
0,Dec 16 2021,0.5588,0.5861,0.5064,0.5169,17993397,384463402
0,Dec 15 2021,0.5127,0.586,0.4673,0.5586,25072895,415521059
0,Dec 14 2021,0.5618,0.5655,0.4904,0.4927,20050520,366479608
0,Dec 13 2021,0.6367,0.6367,0.5467,0.5619,18530006,417953144
0,Dec 12 2021,0.5889,0.6643,0.5649,0.6375,17937149,474213627
0,Dec 11 2021,0.5563,0.5915,0.5434,0.589,17471074,438122763
0,Dec 10 2021,0.5984,0.6243,0.5493,0.5567,22734075,414104820
0,Dec 09 2021,0.6889,0.6952,0.5913,0.599,26094067,445529612
0,Dec 08 2021,0.7009,0.7176,0.6382,0.6895,33414662,512828786
0,Dec 07 2021,0.655,0.7453,0.6073,0.701,41392549,521445890
0,Dec 06 2021,0.6115,0.6834,0.509,0.6541,51785104,483776642
0,Dec 05 2021,0.6831,0.7069,0.5974,0.6108,47711039,451767726
0,Dec 04 2021,0.77,0.7729,0.5207,0.683,49198470,505171214
0,Dec 03 2021,0.9154,0.9154,0.7106,0.7692,44897882,568956243
0,Dec 02 2021,0.9473,0.9529,0.825,0.9204,60800158,680746552
0,Dec 01 2021,1.03,1.07,0.9195,0.9482,63290821,701303045
0,Nov 30 2021,1.14,1.14,0.9614,1.03,86630582,758478711
0,Nov 29 2021,0.9065,1.20,0.904,1.14,81463264,846007444
0,Nov 28 2021,0.9085,0.9243,0.8405,0.9067,33670060,670620496
0,Nov 27 2021,0.8967,0.9235,0.844,0.908,38505625,671631804
0,Nov 26 2021,0.9436,0.9602,0.7799,0.8967,61055914,663226030
0,Nov 25 2021,0.7802,0.9907,0.7509,0.8161,24885871,603593614
0,Nov 24 2021,0.8155,0.8408,0.7662,0.7742,34204046,570995063
0,Nov 23 2021,0.6939,0.8848,0.6937,0.8157,41089468,601596041
0,Nov 22 2021,0.7134,0.7403,0.6558,0.6938,25367426,511719523
0,Nov 21 2021,0.7297,0.7499,0.6683,0.7137,27001897,526406700
0,Nov 20 2021,0.7667,0.7782,0.6727,0.73,36859208,538418384
0,Nov 19 2021,0.7464,0.7962,0.6831,0.7665,62779626,565316513
0,Nov 18 2021,0.7484,0.8903,0.7341,0.7451,71083734,549580423
0,Nov 17 2021,0.5459,0.7486,0.5426,0.7486,37592265,552119480
0,Nov 16 2021,0.6426,0.6426,0.5284,0.5459,31173901,402647911
0,Nov 15 2021,0.6528,0.6584,0.6004,0.6431,31665631,474300664
