index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.5189,0.5526,0.4942,0.5449,58663863,309141602
0,Jan 30 2022,0.5317,0.558,0.5101,0.5188,55259108,294358062
0,Jan 29 2022,0.5175,0.5477,0.5167,0.5314,56690707,301488728
0,Jan 28 2022,0.5077,0.5344,0.4904,0.5175,62377988,293592390
0,Jan 27 2022,0.5215,0.5348,0.4865,0.5078,83205049,288110096
0,Jan 26 2022,0.5102,0.5933,0.5045,0.5218,131048507,296038371
0,Jan 25 2022,0.5161,0.5304,0.4883,0.5101,87840438,289431869
0,Jan 24 2022,0.5698,0.5712,0.461,0.5161,139301546,292832289
0,Jan 23 2022,0.5625,0.6091,0.5371,0.5694,106875773,323063968
0,Jan 22 2022,0.7057,0.7242,0.5268,0.5617,164877087,318693327
0,Jan 21 2022,0.8043,0.8348,0.6909,0.7051,165781319,400035200
0,Jan 20 2022,0.8162,0.8851,0.795,0.8038,56342872,456061730
0,Jan 19 2022,0.867,0.8759,0.7991,0.8161,111399641,463054386
0,Jan 18 2022,0.9235,0.945,0.8485,0.8671,170354287,491975648
0,Jan 17 2022,0.8765,0.9331,0.8365,0.9235,177573134,523984511
0,Jan 16 2022,0.8624,0.898,0.8543,0.8764,151314642,497215549
0,Jan 15 2022,0.7646,0.8783,0.7589,0.8619,169807300,489039748
0,Jan 14 2022,0.747,0.7711,0.7161,0.7641,71325195,433524557
0,Jan 13 2022,0.7778,0.7981,0.7456,0.7468,78791242,423729709
0,Jan 12 2022,0.7472,0.7926,0.739,0.7778,78638751,441280106
0,Jan 11 2022,0.6627,0.7477,0.6574,0.7468,117586970,423733996
0,Jan 10 2022,0.71,0.728,0.6315,0.6627,87071287,376023343
0,Jan 09 2022,0.6869,0.7223,0.6701,0.7108,57531102,403261434
0,Jan 08 2022,0.7126,0.7564,0.6617,0.6869,74760592,389720136
0,Jan 07 2022,0.7723,0.7752,0.6966,0.7125,83800154,404263054
0,Jan 06 2022,0.7628,0.7799,0.7156,0.7729,118801161,438539246
0,Jan 05 2022,0.8666,0.9006,0.7175,0.763,119016210,432889988
0,Jan 04 2022,0.831,0.9198,0.8296,0.8669,135083231,491830888
0,Jan 03 2022,0.8771,0.8771,0.8152,0.8311,98279724,471531590
0,Jan 02 2022,0.921,0.9662,0.872,0.8773,116381626,497780673
0,Jan 01 2022,0.8098,0.9423,0.8098,0.9209,153914912,522492187
0,Dec 31 2021,0.7603,0.8571,0.7603,0.8094,113929105,459237476
0,Dec 30 2021,0.7298,0.7977,0.7063,0.7628,92922472,432763927
0,Dec 29 2021,0.7064,0.7715,0.7051,0.7286,97170367,413364546
0,Dec 28 2021,0.7686,0.7686,0.6894,0.7054,92813038,400195949
0,Dec 27 2021,0.8079,0.8439,0.767,0.7677,65989305,435545804
0,Dec 26 2021,0.8176,0.8448,0.7878,0.809,81514979,458977581
0,Dec 25 2021,0.7948,0.8925,0.7932,0.8186,171854392,464464596
0,Dec 24 2021,0.7225,0.8474,0.7225,0.7914,217131929,449032915
0,Dec 23 2021,0.6747,0.7477,0.6377,0.7214,116448744,409304094
0,Dec 22 2021,0.6532,0.6999,0.6338,0.6726,122078054,381598947
0,Dec 21 2021,0.5519,0.6815,0.5469,0.6517,122548401,369760373
0,Dec 20 2021,0.5817,0.5828,0.5284,0.553,44429560,313781439
0,Dec 19 2021,0.582,0.6074,0.5728,0.5806,40677200,329436030
0,Dec 18 2021,0.5567,0.6092,0.5463,0.5813,63256513,329831808
0,Dec 17 2021,0.5667,0.6244,0.538,0.5567,92313480,315871953
0,Dec 16 2021,0.5484,0.5981,0.5468,0.5672,68109291,321828527
0,Dec 15 2021,0.5359,0.5792,0.5018,0.5493,75870693,311633921
0,Dec 14 2021,0.5299,0.5453,0.5116,0.5144,57196239,291877656
