index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.2327,0.2945,0.2192,0.2359,1677316,4547513
0,Jan 30 2022,0.194,0.2699,0.1906,0.2327,2384745,4486637
0,Jan 29 2022,0.1938,0.1953,0.1862,0.194,1046801,3739781
0,Jan 28 2022,0.2006,0.2068,0.1851,0.1939,919982,3738634
0,Jan 27 2022,0.1968,0.21,0.1902,0.2007,1144181,3869332
0,Jan 26 2022,0.1884,0.2256,0.1868,0.1961,917843,3780096
0,Jan 25 2022,0.1857,0.1894,0.1838,0.1884,787133,3630952
0,Jan 24 2022,0.2105,0.2106,0.1726,0.1856,683701,3578439
0,Jan 23 2022,0.1903,0.2282,0.1877,0.2105,1002013,4057707
0,Jan 22 2022,0.2137,0.214,0.1897,0.1907,600130,3676286
0,Jan 21 2022,0.2775,0.2775,0.2082,0.2137,773496,4119232
0,Jan 20 2022,0.2814,0.2924,0.276,0.277,1237078,5340426
0,Jan 19 2022,0.3001,0.3039,0.2814,0.2818,1145696,5431558
0,Jan 18 2022,0.3009,0.3054,0.2926,0.2997,1166528,5778074
0,Jan 17 2022,0.3305,0.3316,0.2977,0.3001,1107942,5785608
0,Jan 16 2022,0.3412,0.3439,0.3287,0.3307,1258918,6375501
0,Jan 15 2022,0.3667,0.3687,0.3188,0.3412,1414799,6576571
0,Jan 14 2022,0.3584,0.3811,0.3485,0.3662,1683993,7059186
0,Jan 13 2022,0.319,0.3665,0.3171,0.3583,1677139,6907489
0,Jan 12 2022,0.2983,0.3497,0.2968,0.3191,1178313,6150364
0,Jan 11 2022,0.3004,0.3007,0.2937,0.2984,1037723,5751198
0,Jan 10 2022,0.311,0.3158,0.2938,0.3005,1027293,5793585
0,Jan 09 2022,0.3046,0.3189,0.295,0.3108,1165922,5991195
0,Jan 08 2022,0.3505,0.3542,0.2911,0.3049,1250732,5877871
0,Jan 07 2022,0.381,0.39,0.3415,0.3511,1124797,6768464
0,Jan 06 2022,0.3821,0.3936,0.3705,0.381,1068411,7344266
0,Jan 05 2022,0.3824,0.4027,0.3791,0.3821,1271525,7364776
0,Jan 04 2022,0.3905,0.4002,0.3811,0.3829,1337558,7380645
0,Jan 03 2022,0.4263,0.456,0.388,0.3905,1348581,7528199
0,Jan 02 2022,0.3885,0.4532,0.3859,0.4264,1789366,8219805
0,Jan 01 2022,0.3812,0.389,0.3801,0.3886,1372826,7490030
0,Dec 31 2021,0.3826,0.3876,0.3799,0.3816,1190600,7355439
0,Dec 30 2021,0.3819,0.3952,0.3802,0.3828,1248474,7378899
0,Dec 29 2021,0.385,0.4101,0.3814,0.3815,1341464,7354650
0,Dec 28 2021,0.42,0.4212,0.3804,0.3818,1411487,7359224
0,Dec 27 2021,0.3864,0.443,0.3855,0.4196,1984350,8087877
0,Dec 26 2021,0.392,0.4018,0.3771,0.3863,1385963,7447011
0,Dec 25 2021,0.3789,0.3932,0.362,0.3921,1669592,7558005
0,Dec 24 2021,0.3439,0.4015,0.3396,0.3776,2151063,7278501
0,Dec 23 2021,0.3546,0.3646,0.3224,0.3431,1929353,6613628
0,Dec 22 2021,0.3615,0.3775,0.35,0.3542,1798880,6827441
0,Dec 21 2021,0.3427,0.3764,0.3359,0.3616,1350967,6969981
0,Dec 20 2021,0.3836,0.3881,0.3352,0.3426,1646436,6604137
0,Dec 19 2021,0.42,0.435,0.3671,0.3841,2763276,4787407
0,Dec 18 2021,0.4069,0.4544,0.3558,0.4194,2290105,5227443
0,Dec 17 2021,0.4849,0.5048,0.3865,0.4071,2032076,5073311
0,Dec 16 2021,0.5629,0.5859,0.4666,0.4849,2648366,6043037
