index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,44.80,49.06,41.55,48.31,246361,1805618
0,Jan 30 2022,44.82,45.47,44.43,44.81,177207,1674662
0,Jan 29 2022,44.72,45.38,43.55,44.82,163745,1675132
0,Jan 28 2022,46.37,49.13,44.71,44.71,177759,1671111
0,Jan 27 2022,51.09,51.44,45.20,46.37,208221,1735543
0,Jan 26 2022,49.22,55.20,48.01,51.09,168612,1897478
0,Jan 25 2022,50.35,51.25,48.01,49.22,174903,1827972
0,Jan 24 2022,51.52,52.27,46.22,50.36,209555,1870873
0,Jan 23 2022,52.81,54.05,50.51,51.52,128265,1913329
0,Jan 22 2022,53.92,58.83,20.59,52.80,105625,1946854
0,Jan 21 2022,70.77,71.42,53.80,53.91,176314,1987790
0,Jan 20 2022,62.73,76.32,62.34,70.76,194337,2609018
0,Jan 19 2022,70.38,70.38,61.55,62.73,167467,2313005
0,Jan 18 2022,72.85,80.45,67.66,70.38,216785,2595205
0,Jan 17 2022,64.75,84.10,64.36,72.88,249867,2705988
0,Jan 16 2022,65.75,67.21,64.35,64.75,157305,2404048
0,Jan 15 2022,57.91,69.93,57.61,65.75,199252,2439962
0,Jan 14 2022,56.96,64.04,55.35,57.87,175066,2171854
0,Jan 13 2022,51.85,63.43,51.46,57.09,173278,2157976
0,Jan 12 2022,53.14,55.45,51.47,52.42,146138,1981090
0,Jan 11 2022,48.84,53.70,46.63,53.14,160862,2008356
0,Jan 10 2022,47.81,49.74,46.17,48.84,154399,1845921
0,Jan 09 2022,47.52,48.72,47.41,47.81,134016,1806857
0,Jan 08 2022,47.63,48.46,45.80,47.51,120690,1795604
0,Jan 07 2022,52.09,52.15,46.78,47.62,135447,1799751
0,Jan 06 2022,58.56,58.69,51.67,51.67,175971,1955018
0,Jan 05 2022,61.02,62.53,58.37,58.56,147752,2215691
0,Jan 04 2022,55.62,61.91,55.32,61.01,178931,2307340
0,Jan 03 2022,57.47,58.04,55.25,55.62,173377,2103301
0,Jan 02 2022,57.97,59.09,57.06,57.47,127516,2173529
0,Jan 01 2022,57.25,58.82,56.99,57.97,115291,2192206
0,Dec 31 2021,61.29,61.99,56.80,57.25,155432,2165639
0,Dec 30 2021,60.23,61.44,59.96,61.29,147883,2318429
0,Dec 29 2021,61.29,61.43,58.30,60.24,146774,2280252
0,Dec 28 2021,61.09,62.10,59.13,61.33,185039,2322390
0,Dec 27 2021,65.97,66.70,56.86,61.12,228118,2314257
0,Dec 26 2021,62.45,66.75,60.96,65.97,222637,2507120
0,Dec 25 2021,57.98,64.48,57.93,62.49,125114,2406089
0,Dec 24 2021,60.28,62.06,57.83,58.00,165129,2233129
0,Dec 23 2021,60.81,60.95,58.65,60.27,172914,2317650
0,Dec 22 2021,58.84,63.21,58.80,60.81,137636,2338352
0,Dec 21 2021,56.15,67.67,56.06,58.84,227097,2262960
0,Dec 20 2021,60.93,60.93,53.47,56.16,213082,2168436
0,Dec 19 2021,54.94,64.08,53.92,60.94,240468,2360866
0,Dec 18 2021,55.79,56.68,53.04,54.95,150268,2163663
0,Dec 17 2021,56.21,60.53,55.06,55.81,162730,2202178
0,Dec 16 2021,54.00,59.09,53.92,56.18,163880,2217327
0,Dec 15 2021,53.52,55.71,52.04,54.02,167245,2137321
0,Dec 14 2021,54.18,61.83,50.60,53.53,229360,2118100
0,Dec 13 2021,63.46,63.54,53.51,54.18,302991,2143773
0,Dec 12 2021,64.53,65.04,58.87,63.45,242950,2487813
0,Dec 11 2021,64.99,66.19,62.25,64.58,180408,2526816
0,Dec 10 2021,67.38,70.86,64.86,65.03,219607,2548248
0,Dec 09 2021,69.40,81.99,67.39,67.39,231588,2645883
0,Dec 08 2021,74.41,74.45,66.69,69.46,177395,2727256
0,Dec 07 2021,75.41,75.86,73.63,74.41,161971,2919592
0,Dec 06 2021,68.73,75.89,64.47,75.23,225738,2951474
0,Dec 05 2021,76.50,77.49,68.47,68.72,149494,2833753
0,Dec 04 2021,79.65,79.86,68.02,76.50,281368,3154325
0,Dec 03 2021,84.80,85.65,76.05,79.67,245535,3284831
0,Dec 02 2021,90.60,90.60,84.78,84.78,169744,3495654
0,Dec 01 2021,91.57,92.74,90.48,90.61,180951,3736157
0,Nov 30 2021,85.47,92.60,85.32,91.70,206922,3778408
0,Nov 29 2021,85.12,91.12,84.07,85.47,327660,3521494
0,Nov 28 2021,87.20,87.21,83.41,85.10,230705,3506202
0,Nov 27 2021,84.00,87.30,82.23,87.13,225203,3600175
0,Nov 26 2021,88.90,91.09,84.00,84.05,244669,3492524
0,Nov 25 2021,84.45,92.05,84.44,86.52,206146,3597698
0,Nov 24 2021,85.48,85.86,83.32,84.87,201756,3529919
0,Nov 23 2021,91.31,94.44,84.52,85.46,217979,3554656
0,Nov 22 2021,82.21,91.31,81.39,91.31,312746,3797980
0,Nov 21 2021,88.22,89.27,82.20,82.20,204079,3419012
0,Nov 20 2021,92.79,93.50,83.77,88.19,166158,3667588
0,Nov 19 2021,88.30,93.06,83.41,92.81,247800,3859503
0,Nov 18 2021,97.75,98.12,87.01,88.34,223180,3651793
0,Nov 17 2021,100.60,100.66,94.12,97.74,166057,4045524
0,Nov 16 2021,102.67,113.78,94.81,100.64,303059,4165713
0,Nov 15 2021,113.71,117.01,96.46,102.61,323732,4253748
0,Nov 14 2021,120.72,132.75,104.44,113.72,332781,4714408
0,Nov 13 2021,83.48,149.49,82.93,120.68,1421528,5007118
0,Nov 12 2021,89.48,93.83,83.07,83.60,179270,3480915
0,Nov 11 2021,86.19,116.13,80.98,89.56,2181183,3729211
0,Nov 10 2021,90.30,90.33,85.09,86.18,762065,3588171
0,Nov 09 2021,92.81,94.69,88.94,90.31,597057,3762823
0,Nov 08 2021,93.40,99.63,90.95,92.83,719554,3869013
0,Nov 07 2021,93.86,97.20,90.52,93.39,578520,3887349
0,Nov 06 2021,92.23,96.72,91.74,93.80,476402,3926084
0,Nov 05 2021,94.80,102.27,91.97,92.21,756978,3854821
0,Nov 04 2021,109.36,109.36,93.83,94.82,702006,3944367
0,Nov 03 2021,88.00,113.33,87.97,109.38,1686603,4517515
