index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1518,0.1547,0.1441,0.1446,1314307,15805757
0,Jan 30 2022,0.1723,0.1723,0.1509,0.1518,1143764,16543848
0,Jan 29 2022,0.1757,0.1774,0.1696,0.1723,1234338,18480652
0,Jan 28 2022,0.1526,0.1774,0.1526,0.1757,1398721,18532914
0,Jan 27 2022,0.151,0.1583,0.1492,0.1526,1601968,16112441
0,Jan 26 2022,0.1653,0.1676,0.151,0.1511,3737309,16050615
0,Jan 25 2022,0.1304,0.1814,0.1268,0.1653,3587717,17675248
0,Jan 24 2022,0.1453,0.146,0.1285,0.1304,1526758,13454825
0,Jan 23 2022,0.1401,0.15,0.1393,0.1452,2456970,14477573
0,Jan 22 2022,0.1486,0.1737,0.1343,0.1401,5375420,14055579
0,Jan 21 2022,0.2142,0.2142,0.1279,0.1486,4894782,14953678
0,Jan 20 2022,0.2004,0.2162,0.1974,0.2142,2215378,20743840
0,Jan 19 2022,0.1875,123.00,0.1799,0.2004,1614214,22941282
0,Jan 18 2022,0.1786,0.1905,0.1719,0.1875,1243812,18266188
0,Jan 17 2022,0.182,0.1831,0.1769,0.1786,1640725,16937868
0,Jan 16 2022,0.1896,0.1915,0.1755,0.182,1743852,16596929
0,Jan 15 2022,0.1802,0.1911,0.1737,0.1896,1708196,21975538
0,Jan 14 2022,0.1581,0.1814,0.1539,0.1802,3157702,16005661
0,Jan 13 2022,0.136,0.1682,0.1252,0.1581,3348931,14156798
0,Jan 12 2022,0.1471,0.1476,0.1186,0.136,2203391,12236142
0,Jan 11 2022,0.1219,0.1504,0.121,0.1471,1320237,13314814
0,Jan 10 2022,0.123,0.1241,0.1158,0.1219,713269,10483382
0,Jan 09 2022,0.1176,0.1232,0.1158,0.123,478644,10661244
0,Jan 08 2022,0.1178,0.1193,0.1153,0.1176,379415,9553022
0,Jan 07 2022,0.1255,0.126,0.1176,0.1178,425619,9625285
0,Jan 06 2022,0.1386,0.1386,0.1254,0.1255,454613,10307642
0,Jan 05 2022,0.1466,0.1473,0.1368,0.1386,369610,11420586
0,Jan 04 2022,0.149,0.149,0.1438,0.1466,521930,11853987
0,Jan 03 2022,0.145,0.1497,0.1447,0.149,891940,12091984
0,Jan 02 2022,0.1556,0.1564,0.1363,0.145,723603,11416133
0,Jan 01 2022,0.1652,0.1653,0.1554,0.1556,711380,12317454
0,Dec 31 2021,0.1619,0.1704,0.1609,0.1652,1863089,13127885
0,Dec 30 2021,0.1536,0.1708,0.1492,0.1619,4814736,12951756
0,Dec 29 2021,0.2053,0.2441,0.1337,0.1537,8487078,13257016
0,Dec 28 2021,0.2159,0.2313,0.1826,0.2052,6118990,17708994
0,Dec 27 2021,0.1764,0.2181,0.1747,0.2159,1542176,18712916
0,Dec 26 2021,0.1788,0.1788,0.169,0.1763,1211130,15323493
0,Dec 25 2021,0.1775,0.1816,0.169,0.1788,2391437,15570164
0,Dec 24 2021,0.1331,99994467.44,0.1318,0.1777,2000669,15505079
0,Dec 23 2021,0.1183,0.1332,0.118,0.1331,694098,11649139
0,Dec 22 2021,0.1209,0.1244,0.1156,0.1185,1051442,9822931
0,Dec 21 2021,0.1054,0.1215,0.1054,0.1209,1257907,10050181
0,Dec 20 2021,0.08661,0.1055,0.08567,0.1055,619759,8702532
0,Dec 19 2021,0.08771,0.08783,0.08629,0.08663,202950,7166881
0,Dec 18 2021,0.08972,0.08972,0.0857,0.08771,198212,7284049
0,Dec 17 2021,0.09214,0.09264,0.08905,0.08974,256406,7218980
0,Dec 16 2021,0.09423,0.09609,0.09205,0.09223,486083,7435885
0,Dec 15 2021,0.0922,0.09437,0.08604,0.09424,402964,7625585
0,Dec 14 2021,0.09643,0.09709,0.09163,0.09221,221842,7499450
0,Dec 13 2021,0.09887,0.09901,0.09402,0.09645,222564,7868659
0,Dec 12 2021,0.09904,0.09954,0.09728,0.09886,188292,8091661
0,Dec 11 2021,0.1004,0.1022,0.09875,0.09905,299066,8125842
0,Dec 10 2021,0.1045,0.1046,0.09896,0.1004,324945,8253980
0,Dec 09 2021,0.1097,0.1103,0.1045,0.1046,217425,8621274
0,Dec 08 2021,0.1086,0.1107,0.1074,0.1097,200736,8742423
0,Dec 07 2021,0.1092,0.111,0.1085,0.1086,474562,8689328
0,Dec 06 2021,0.1161,0.1211,0.1045,0.1093,788446,8777496
0,Dec 05 2021,0.1296,0.1298,0.1153,0.1161,454172,9358158
0,Dec 04 2021,0.1387,0.1395,0.1266,0.1295,415248,10461008
0,Dec 03 2021,0.1415,0.1423,0.1378,0.1387,404404,11229168
0,Dec 02 2021,0.1471,0.1475,0.1394,0.1414,552255,11477329
0,Dec 01 2021,0.1435,0.1497,0.1388,0.1471,698795,11969225
0,Nov 30 2021,0.1333,0.1438,0.1299,0.1435,553014,11704024
0,Nov 29 2021,0.1331,0.1361,0.1316,0.1333,359590,10903672
0,Nov 28 2021,0.1349,0.1354,0.1305,0.1332,375553,10270338
0,Nov 27 2021,0.1387,0.1408,0.1341,0.135,656516,10424050
0,Nov 26 2021,0.1375,0.1409,0.13,0.1387,1191971,10738288
0,Nov 25 2021,0.1164,0.1381,0.1152,0.1172,440268,8982552
0,Nov 24 2021,0.1307,0.1308,0.113,0.1296,447376,9966463
0,Nov 23 2021,0.1152,0.1333,0.1149,0.1307,561597,9036874
0,Nov 22 2021,0.1232,0.1234,0.1148,0.1152,302614,7854399
0,Nov 21 2021,0.1224,0.1245,0.1201,0.1232,308020,8419299
0,Nov 20 2021,0.1332,0.1332,0.1209,0.1223,314433,8373503
0,Nov 19 2021,0.137,0.1385,0.1315,0.1332,567705,9132808
0,Nov 18 2021,0.1168,0.1371,0.1168,0.137,628461,9398338
0,Nov 17 2021,0.1311,0.1522,0.1149,0.1168,359268,8041326
0,Nov 16 2021,0.1382,0.2306,0.1307,0.1309,342320,8895092
0,Nov 15 2021,0.1469,0.1496,0.1382,0.1382,375070,9405288
0,Nov 14 2021,0.156,0.156,0.1454,0.147,326775,10005293
0,Nov 13 2021,0.1661,0.1672,0.1545,0.156,753643,10555662
0,Nov 12 2021,0.1526,0.1754,0.147,0.1661,1541358,11231544
0,Nov 11 2021,0.1676,0.1676,0.1153,0.1526,1368774,9763844
0,Nov 10 2021,0.1829,0.183,0.1601,0.1676,965913,11115939
0,Nov 09 2021,0.1989,0.1989,0.1672,0.1829,1235892,12109649
0,Nov 08 2021,0.2202,0.234,0.1989,0.1989,1113249,13073989
0,Nov 07 2021,0.2318,0.2349,0.2202,0.2202,1192733,14484443
0,Nov 06 2021,0.2272,0.2475,0.2227,0.2318,2438086,14866790
0,Nov 05 2021,0.1775,0.2551,0.1765,0.2272,3580657,14585984
0,Nov 04 2021,0.2447,0.2497,0.1577,0.1775,5944607,11327538
0,Nov 03 2021,0.2114,0.3044,0.1891,0.2447,8206297,15621492
