index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,301.50,304.11,290.43,302.86,117651,105000887
0,Jan 30 2022,321.71,323.92,298.00,301.51,194005,104530840
0,Jan 29 2022,314.58,346.06,311.56,321.71,182437,111534287
0,Jan 28 2022,308.04,326.88,288.52,314.57,172112,109061609
0,Jan 27 2022,313.68,328.27,294.95,308.04,235928,106795172
0,Jan 26 2022,294.13,410.80,291.88,313.69,389858,108754932
0,Jan 25 2022,314.29,316.44,259.75,294.39,829762,102065000
0,Jan 24 2022,363.66,365.96,261.18,314.30,619998,108967205
0,Jan 23 2022,317.51,388.14,316.72,363.71,701475,126097201
0,Jan 22 2022,402.78,413.05,299.23,317.87,1216128,110204797
0,Jan 21 2022,489.13,502.81,387.06,402.73,1372682,139624766
0,Jan 20 2022,524.95,530.50,490.26,490.29,740704,169982767
0,Jan 19 2022,503.27,528.22,474.64,525.39,957005,182150355
0,Jan 18 2022,484.30,505.24,451.77,502.95,1141081,174371194
0,Jan 17 2022,499.08,501.73,457.08,484.30,1359221,167904077
0,Jan 16 2022,511.63,530.36,472.74,499.42,1326183,173146447
0,Jan 15 2022,512.00,525.02,484.44,511.41,1385543,177303231
0,Jan 14 2022,452.72,517.59,445.60,512.15,1777918,177560687
0,Jan 13 2022,440.85,500.87,422.77,452.71,1650012,156953039
0,Jan 12 2022,425.33,440.87,413.94,440.87,736101,152848154
0,Jan 11 2022,401.77,428.28,396.91,425.27,878173,147440925
0,Jan 10 2022,408.80,429.74,370.33,401.77,984785,139290351
0,Jan 09 2022,366.92,415.60,360.97,408.79,479086,141726134
0,Jan 08 2022,378.25,393.05,353.05,365.32,599942,126653578
0,Jan 07 2022,412.83,413.24,373.56,378.22,708161,131128063
0,Jan 06 2022,486.27,491.97,401.73,412.73,1342905,143091211
0,Jan 05 2022,441.70,489.54,423.33,487.97,1009853,169177333
0,Jan 04 2022,446.08,468.79,426.32,441.69,863317,153133633
0,Jan 03 2022,377.14,455.12,374.71,446.08,968280,154654913
0,Jan 02 2022,331.72,381.80,325.64,377.13,752505,130750098
0,Jan 01 2022,332.65,335.55,311.59,331.72,541029,115006658
0,Dec 31 2021,347.25,351.64,330.43,332.66,499784,115331296
0,Dec 30 2021,340.74,356.23,338.03,347.23,689142,120382238
0,Dec 29 2021,351.04,371.15,339.10,340.80,854095,118154302
0,Dec 28 2021,352.79,354.00,326.93,351.05,909660,121708601
0,Dec 27 2021,360.89,372.15,346.40,352.72,645265,122287287
0,Dec 26 2021,356.70,364.54,346.27,360.83,478445,125097856
0,Dec 25 2021,360.81,365.24,346.86,356.86,459966,123722051
0,Dec 24 2021,359.64,369.01,331.74,360.71,873421,125055153
0,Dec 23 2021,360.92,367.31,343.49,359.64,468873,124685226
0,Dec 22 2021,357.35,381.57,356.49,361.03,635164,125167912
0,Dec 21 2021,348.34,357.90,337.43,357.34,1222141,123888813
0,Dec 20 2021,315.67,355.30,312.99,348.35,1210615,120769987
0,Dec 19 2021,311.96,319.22,308.48,315.74,450828,109466310
0,Dec 18 2021,309.26,317.01,304.33,312.00,715930,108168981
0,Dec 17 2021,325.91,325.91,250.39,309.45,2545000,107284300
0,Dec 16 2021,342.10,520.35,321.12,325.93,3013238,113000095
0,Dec 15 2021,314.75,346.51,303.29,342.04,648098,118582387
0,Dec 14 2021,318.66,323.50,298.29,304.61,903146,105607650
0,Dec 13 2021,361.87,362.46,303.27,318.93,670867,110571448
0,Dec 12 2021,349.23,376.12,344.17,361.78,961033,125428828
0,Dec 11 2021,342.42,350.68,333.08,349.27,679631,121089778
0,Dec 10 2021,371.45,374.40,328.43,342.49,1184408,118739507
0,Dec 09 2021,421.11,423.27,358.31,371.50,1397225,128798165
0,Dec 08 2021,427.71,455.68,414.83,421.34,1510326,146076519
0,Dec 07 2021,443.42,466.96,412.19,427.72,1276961,148288591
0,Dec 06 2021,443.09,463.88,371.36,443.20,2618592,153656999
0,Dec 05 2021,467.27,482.11,429.73,442.91,1990557,153555162
0,Dec 04 2021,471.86,479.41,420.60,467.12,2070762,161949393
0,Dec 03 2021,543.55,595.49,463.92,471.87,4882111,163593541
0,Dec 02 2021,528.58,557.66,493.04,543.57,4304733,188454779
0,Dec 01 2021,586.91,610.67,524.61,528.57,2208628,183252019
0,Nov 30 2021,591.03,605.32,564.49,587.05,2816162,203526698
0,Nov 29 2021,594.18,621.92,583.50,591.09,3930164,204926730
0,Nov 28 2021,594.65,599.92,547.97,594.28,3879857,206034943
0,Nov 27 2021,606.71,624.15,551.12,594.43,7633381,206086888
0,Nov 26 2021,608.26,621.13,469.53,607.10,14012940,210478668
0,Nov 25 2021,464.29,680.75,459.32,482.71,2472591,167354231
0,Nov 24 2021,442.56,474.60,433.83,446.30,2059109,154728742
0,Nov 23 2021,403.95,452.75,401.74,442.67,2211944,153470152
0,Nov 22 2021,455.20,455.20,396.67,404.00,2048930,140065823
0,Nov 21 2021,454.07,477.83,450.94,455.29,2600600,157848725
0,Nov 20 2021,467.22,505.39,445.87,453.97,2984789,157388868
0,Nov 19 2021,376.46,468.24,376.46,467.28,3314127,162003143
0,Nov 18 2021,435.13,437.35,363.08,376.43,3949198,130505998
0,Nov 17 2021,426.19,657.08,409.33,435.05,3868320,150828317
0,Nov 16 2021,484.83,2530.28,402.65,426.31,5210892,147798256
0,Nov 15 2021,468.41,523.27,450.60,484.83,3019453,168088911
0,Nov 14 2021,510.86,528.91,451.66,468.63,2936639,162471171
0,Nov 13 2021,439.97,510.87,439.67,510.03,3821731,176826814
0,Nov 12 2021,419.46,462.29,416.50,439.88,2545597,152502891
0,Nov 11 2021,397.86,451.99,393.60,419.44,2202303,145418373
0,Nov 10 2021,478.13,482.70,394.44,397.70,3198162,137880107
0,Nov 09 2021,519.48,521.25,463.90,478.18,2570843,165782186
0,Nov 08 2021,509.13,524.60,483.99,518.94,2889134,179914039
0,Nov 07 2021,444.72,518.33,443.95,509.66,2972795,176698274
0,Nov 06 2021,413.70,469.90,410.67,444.47,1760256,154094177
0,Nov 05 2021,440.92,444.92,408.56,413.47,2397388,143349562
0,Nov 04 2021,512.29,513.76,430.39,441.35,2460666,153015411
0,Nov 03 2021,503.55,525.12,467.00,512.51,2390835,177684037
