index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.1218,0.1254,0.1126,0.1134,249865,5998693
0,Jan 31 2022,0.1121,0.1258,0.1045,0.1218,324543,6442129
0,Jan 30 2022,0.1205,0.1211,0.1107,0.1121,30612,5928405
0,Jan 29 2022,0.1184,0.1216,0.1163,0.1205,30377,6375241
0,Jan 28 2022,0.1226,0.1245,0.116,0.1184,26274,6264881
0,Jan 27 2022,0.1187,0.1244,0.1132,0.1226,17087,6484043
0,Jan 26 2022,0.1222,0.1268,0.1157,0.1187,27964,6278215
0,Jan 25 2022,0.1196,0.1234,0.1135,0.1222,68135,6463474
0,Jan 24 2022,0.1329,0.1329,0.1094,0.1196,86319,6328539
0,Jan 23 2022,0.1191,0.1334,0.1189,0.1329,92906,7027140
0,Jan 22 2022,0.1231,0.1259,0.1066,0.1191,132931,6299299
0,Jan 21 2022,0.1679,0.1708,0.1227,0.1231,106441,6510733
0,Jan 20 2022,0.1799,0.1833,0.1679,0.1679,54892,8878936
0,Jan 19 2022,0.1929,0.1949,0.1799,0.1799,41214,9517984
0,Jan 18 2022,0.1969,0.1984,0.1883,0.1929,26508,10202394
0,Jan 17 2022,0.2105,0.211,0.1941,0.1969,33321,10412565
0,Jan 16 2022,0.2105,0.215,0.2078,0.2105,33266,11132117
0,Jan 15 2022,0.2104,0.214,0.2076,0.2105,31807,11135767
0,Jan 14 2022,0.2069,0.3095,0.2035,0.2104,46729,11128897
0,Jan 13 2022,0.2205,0.2211,0.2055,0.2069,149900,10943815
0,Jan 12 2022,0.192,0.2205,0.1916,0.2205,140957,11662917
0,Jan 11 2022,0.1633,0.1941,0.1626,0.192,96833,10155276
0,Jan 10 2022,0.1706,0.1735,0.1578,0.1633,56440,8639419
0,Jan 09 2022,0.1665,0.1721,0.1622,0.1706,66189,9023767
0,Jan 08 2022,0.1724,0.1792,0.1618,0.1665,61942,8808563
0,Jan 07 2022,0.1809,0.1817,0.1651,0.1724,90047,9119023
0,Jan 06 2022,0.1866,0.189,0.177,0.1809,143645,9567632
0,Jan 05 2022,0.2265,0.2284,0.1855,0.1866,117107,9868747
0,Jan 04 2022,0.2327,0.2358,0.2258,0.2265,139657,11978733
0,Jan 03 2022,0.2206,0.2415,0.2206,0.2326,232148,12302339
0,Jan 02 2022,0.2164,0.2206,0.2,0.2206,208980,11670868
0,Jan 01 2022,0.2252,0.2313,0.213,0.2164,498783,11447797
0,Dec 31 2021,0.3171,0.3218,0.2195,0.2252,533337,11909919
0,Dec 30 2021,0.3589,0.3658,0.3164,0.3175,173548,16795723
0,Dec 29 2021,0.3829,0.3876,0.3583,0.3586,130004,18965307
0,Dec 28 2021,0.3888,0.3979,0.3725,0.3839,144787,20306973
0,Dec 27 2021,0.3715,0.395,0.3677,0.3893,133318,20590152
0,Dec 26 2021,0.3455,0.3721,0.3404,0.372,101152,19674601
0,Dec 25 2021,0.337,0.3474,0.3349,0.3449,61723,18243766
0,Dec 24 2021,0.3448,0.3468,0.3348,0.3378,83850,17865966
0,Dec 23 2021,0.3293,0.3457,0.3251,0.3445,105685,18222100
0,Dec 22 2021,0.3133,0.3337,0.313,0.3293,80229,17416760
0,Dec 21 2021,0.3103,0.3175,0.306,0.3136,69649,16586043
0,Dec 20 2021,0.3227,0.3246,0.3011,0.3101,74357,16403764
0,Dec 19 2021,0.321,0.3264,0.3193,0.3229,72998,17077263
0,Dec 18 2021,0.3278,0.3296,0.3174,0.3209,124434,16975936
0,Dec 17 2021,0.341,0.3463,0.3153,0.3278,123730,17337640
0,Dec 16 2021,0.3567,0.3611,0.341,0.341,137164,18039087
