index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,1.00,1.00,0.908,0.9427,2330981,7076551
0,Jan 30 2022,1.08,1.08,0.9938,1.00,2820576,7507489
0,Jan 29 2022,1.03,1.08,0.9736,1.08,2362492,8101370
0,Jan 28 2022,0.9886,1.04,0.9702,1.03,2735367,7738404
0,Jan 27 2022,1.05,1.05,0.9601,0.9886,2661281,7421367
0,Jan 26 2022,1.02,1.14,0.9999,1.05,2908014,7889892
0,Jan 25 2022,1.09,1.09,0.9943,1.02,2991460,7627854
0,Jan 24 2022,1.17,1.18,0.9664,1.09,3203642,8148649
0,Jan 23 2022,1.02,1.17,1.01,1.17,3967799,8778857
0,Jan 22 2022,1.19,1.19,0.9116,1.02,4143139,7627888
0,Jan 21 2022,1.28,1.31,1.17,1.19,3520447,8905326
0,Jan 20 2022,1.42,1.49,1.28,1.28,3006693,9606021
0,Jan 19 2022,1.53,1.53,1.38,1.42,2515622,10637447
0,Jan 18 2022,1.50,1.53,1.39,1.53,2694301,11482165
0,Jan 17 2022,1.62,1.62,1.41,1.50,2943790,11225865
0,Jan 16 2022,1.80,1.80,1.57,1.62,2692711,12152788
0,Jan 15 2022,1.78,1.91,1.73,1.80,2878374,13522892
0,Jan 14 2022,1.88,1.89,1.68,1.78,7182984,13368078
0,Jan 13 2022,1.92,2.28,1.74,1.88,13428893,14082705
0,Jan 12 2022,1.51,1.97,1.35,1.92,6330383,14421077
0,Jan 11 2022,1.26,1.52,1.24,1.51,3648085,11357970
0,Jan 10 2022,1.27,1.32,1.14,1.26,3708282,9495756
0,Jan 09 2022,1.08,1.38,1.07,1.27,3083638,9547695
0,Jan 08 2022,1.10,1.17,1.03,1.08,2550934,8095714
0,Jan 07 2022,1.23,1.23,1.08,1.10,3291154,8286610
0,Jan 06 2022,1.38,1.40,1.12,1.23,4171518,9256246
0,Jan 05 2022,1.47,1.50,1.27,1.38,3601456,10376619
0,Jan 04 2022,1.55,1.56,1.47,1.47,2628724,11034969
0,Jan 03 2022,1.70,1.79,1.55,1.55,2418395,11663745
0,Jan 02 2022,1.73,1.79,1.69,1.70,2986186,12794223
0,Jan 01 2022,1.58,1.77,1.58,1.73,3310674,12995613
0,Dec 31 2021,1.59,1.60,1.52,1.58,2635414,11874955
0,Dec 30 2021,1.56,1.63,1.45,1.59,3119041,11958367
0,Dec 29 2021,1.80,1.80,1.56,1.56,3179090,11701679
0,Dec 28 2021,1.98,1.99,1.62,1.80,2988685,13513424
0,Dec 27 2021,2.08,2.09,1.91,1.98,2628776,14835749
0,Dec 26 2021,2.14,2.22,1.99,2.08,2825762,15585017
0,Dec 25 2021,2.19,2.23,1.95,2.14,4984959,16070263
0,Dec 24 2021,2.07,2.41,1.80,2.19,7742224,16420401
0,Dec 23 2021,1.50,2.65,1.45,2.07,6416441,15569073
0,Dec 22 2021,1.42,1.54,1.33,1.50,3467913,11281868
