index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.6769,0.6948,0.6711,0.6856,1416012,209310802
0,Jan 31 2022,0.6676,0.7029,0.6322,0.6768,2726198,206624882
0,Jan 30 2022,0.6847,0.6884,0.6591,0.6679,1558196,203899919
0,Jan 29 2022,0.6612,0.6912,0.6612,0.6851,2013331,209161755
0,Jan 28 2022,0.6328,0.6649,0.623,0.6625,3065537,202262021
0,Jan 27 2022,0.624,0.6672,0.5928,0.6327,2703985,193173243
0,Jan 26 2022,0.6058,0.6712,0.6042,0.6261,5970682,183080684
0,Jan 25 2022,0.5976,0.6127,0.5753,0.606,1769189,177196135
0,Jan 24 2022,0.6347,0.6357,0.5481,0.5977,2351123,174764026
0,Jan 23 2022,0.6163,0.6524,0.6059,0.635,2735358,185665572
0,Jan 22 2022,0.6668,0.6724,0.5761,0.6163,3921256,180205884
0,Jan 21 2022,0.7798,0.788,0.6602,0.6668,3336297,194979689
0,Jan 20 2022,0.8106,0.8421,0.7807,0.7807,2529800,228269210
0,Jan 19 2022,0.8125,0.827,0.7908,0.8106,2771454,237027630
0,Jan 18 2022,0.8431,0.8515,0.8025,0.8098,2619720,236775228
0,Jan 17 2022,0.894,0.8959,0.8356,0.8433,2488066,246588644
0,Jan 16 2022,0.9035,0.9087,0.8872,0.8942,1959425,261460519
0,Jan 15 2022,0.9263,0.9302,0.8907,0.9027,2543270,263940650
0,Jan 14 2022,0.8966,0.9318,0.8738,0.9267,3043971,270972251
0,Jan 13 2022,0.9765,0.9788,0.8963,0.8975,5238544,262422668
0,Jan 12 2022,0.8582,0.9803,0.8517,0.9765,6029274,285534703
0,Jan 11 2022,0.7651,0.8899,0.7597,0.8584,6726518,250984322
0,Jan 10 2022,0.8571,0.8678,0.7274,0.7657,5322529,223877288
0,Jan 09 2022,0.8918,0.8918,0.8431,0.8598,3642499,251401832
0,Jan 08 2022,0.9043,0.916,0.8698,0.8918,2657580,260764233
0,Jan 07 2022,0.9695,0.9758,0.8853,0.9027,3334089,263945189
0,Jan 06 2022,0.9728,0.9796,0.9242,0.9719,3726449,284183854
0,Jan 05 2022,1.08,1.09,0.9398,0.9729,3340040,284482615
0,Jan 04 2022,1.09,1.11,1.08,1.08,2073040,317047216
0,Jan 03 2022,1.15,1.15,1.09,1.09,3176957,319300460
0,Jan 02 2022,1.11,1.17,1.09,1.15,3607450,336482266
0,Jan 01 2022,1.09,1.11,1.09,1.11,2312372,324511800
0,Dec 31 2021,1.11,1.12,1.07,1.10,3090513,320333835
0,Dec 30 2021,1.14,1.14,1.05,1.11,4126231,323700370
0,Dec 29 2021,1.17,1.18,1.11,1.13,4183649,331491332
0,Dec 28 2021,1.27,1.27,1.15,1.16,5414480,339833935
0,Dec 27 2021,1.39,1.41,1.27,1.27,6977507,372447238
0,Dec 26 2021,1.37,1.45,1.32,1.39,62752737,388659781
