index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,1.79,1.91,1.69,1.89,286872449,1609997474
0,Jan 30 2022,1.75,1.87,1.74,1.79,265647246,1526796889
0,Jan 29 2022,1.64,1.75,1.64,1.75,203063693,1496468756
0,Jan 28 2022,1.58,1.68,1.57,1.64,197645343,1399902946
0,Jan 27 2022,1.55,1.65,1.47,1.58,254851754,1348971798
0,Jan 26 2022,1.53,1.72,1.51,1.55,285727510,1326807485
0,Jan 25 2022,1.50,1.54,1.43,1.53,151978795,1308454351
0,Jan 24 2022,1.61,1.61,1.33,1.50,275427698,1277000133
0,Jan 23 2022,1.50,1.68,1.50,1.61,230693987,1367529003
0,Jan 22 2022,1.73,1.76,1.38,1.50,323219329,1275669998
0,Jan 21 2022,2.11,2.12,1.70,1.73,324541576,1472316525
0,Jan 20 2022,2.22,2.35,2.11,2.11,122237427,1788345844
0,Jan 19 2022,2.28,2.35,2.22,2.22,185262076,1885275864
0,Jan 18 2022,2.33,2.35,2.21,2.28,151696432,1931450706
0,Jan 17 2022,2.51,2.53,2.29,2.33,168043737,1970981583
0,Jan 16 2022,2.46,2.53,2.45,2.51,162373293,2124661311
0,Jan 15 2022,2.41,2.54,2.37,2.46,169239989,2084658383
0,Jan 14 2022,2.37,2.45,2.32,2.41,192615750,2043730024
0,Jan 13 2022,2.52,2.59,2.37,2.37,260090064,2010648765
0,Jan 12 2022,2.32,2.59,2.31,2.52,243640530,2138378278
0,Jan 11 2022,2.17,2.32,2.15,2.32,200388447,1962835198
0,Jan 10 2022,2.30,2.34,2.10,2.17,252379596,1840051945
0,Jan 09 2022,2.26,2.36,2.25,2.30,172209485,1948456625
0,Jan 08 2022,2.35,2.42,2.19,2.26,214679869,1917455392
0,Jan 07 2022,2.57,2.57,2.33,2.35,299734416,1990402321
0,Jan 06 2022,2.45,2.62,2.33,2.57,407339652,2179046089
0,Jan 05 2022,2.69,2.78,2.30,2.45,326229769,2075974599
0,Jan 04 2022,2.79,2.85,2.69,2.69,262482269,2281371703
0,Jan 03 2022,2.86,2.94,2.73,2.79,301732867,2364419261
0,Jan 02 2022,2.69,2.92,2.67,2.86,314990089,2421121387
