index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,5.05,5.17,4.92,4.94,14726093,64228760
0,Jan 31 2022,5.09,5.17,4.89,5.05,18012702,65681477
0,Jan 30 2022,5.15,5.32,4.98,5.09,20417897,66192250
0,Jan 29 2022,5.03,5.35,5.01,5.15,15902825,67011887
0,Jan 28 2022,4.68,5.08,4.65,5.03,17329875,65386285
0,Jan 27 2022,4.71,4.91,4.50,4.68,20648252,60901120
0,Jan 26 2022,4.57,5.13,4.52,4.71,21140342,61279820
0,Jan 25 2022,4.68,4.93,4.38,4.57,17516798,59421947
0,Jan 24 2022,5.22,5.22,4.16,4.68,18360819,60848334
0,Jan 23 2022,4.97,5.66,4.91,5.22,30103673,67851447
0,Jan 22 2022,5.78,5.90,4.77,4.97,20801339,64634699
0,Jan 21 2022,6.68,6.78,5.64,5.78,23323284,75142090
0,Jan 20 2022,7.02,7.35,6.68,6.68,19570887,86888891
0,Jan 19 2022,7.31,7.35,6.97,7.02,20172747,91302598
0,Jan 18 2022,7.83,7.88,7.09,7.31,22941918,95067426
0,Jan 17 2022,8.12,8.19,7.72,7.83,21259218,101756410
0,Jan 16 2022,8.33,8.33,8.06,8.12,18708772,105543210
0,Jan 15 2022,8.44,8.47,8.22,8.33,16330422,108332074
0,Jan 14 2022,7.97,8.46,7.92,8.44,20448870,109288171
0,Jan 13 2022,8.60,9.03,7.97,7.97,24993514,103219603
0,Jan 12 2022,8.12,8.74,8.08,8.60,25039367,111391347
0,Jan 11 2022,7.68,8.50,7.60,8.12,25091814,105181243
0,Jan 10 2022,8.28,8.31,7.47,7.68,23821388,99463202
0,Jan 09 2022,8.18,8.52,7.99,8.28,15973473,107146501
0,Jan 08 2022,8.66,8.93,8.04,8.18,15952109,105879258
0,Jan 07 2022,9.25,9.26,8.56,8.66,22657142,111993419
0,Jan 06 2022,10.22,10.24,9.16,9.26,23427916,119741075
0,Jan 05 2022,10.32,11.69,9.74,10.24,35624691,132420234
0,Jan 04 2022,9.50,10.62,9.49,10.32,26607467,133482814
0,Jan 03 2022,9.16,9.69,9.16,9.50,17256183,122874982
0,Jan 02 2022,9.18,9.80,9.01,9.16,22987374,118451772
0,Jan 01 2022,8.98,9.22,8.94,9.18,13754432,118809886
0,Dec 31 2021,9.03,9.27,8.85,8.98,14988567,116130284
0,Dec 30 2021,9.12,9.26,8.91,9.04,17370703,116979226
0,Dec 29 2021,9.17,9.56,9.04,9.10,16396759,117752967
0,Dec 28 2021,10.16,10.17,9.10,9.20,22407180,117282056
0,Dec 27 2021,9.82,10.56,9.77,10.14,25475386,129284530
0,Dec 26 2021,9.97,10.06,9.65,9.82,18216778,125249085
0,Dec 25 2021,9.90,10.16,9.83,9.95,17627082,126860851
0,Dec 24 2021,10.00,10.19,9.70,9.87,19809291,125843845
0,Dec 23 2021,9.48,10.23,9.38,10.00,19059875,127529532
0,Dec 22 2021,9.63,10.01,9.47,9.48,18438663,120835269
0,Dec 21 2021,9.36,11.09,9.18,9.64,35656573,122869388
0,Dec 20 2021,9.16,9.45,8.62,9.36,23928033,119287303
0,Dec 19 2021,9.47,9.56,9.13,9.13,20262941,116422388
0,Dec 18 2021,9.32,9.54,9.18,9.47,17708163,120767247
0,Dec 17 2021,9.68,9.79,9.16,9.32,21122767,118904112
0,Dec 16 2021,9.70,10.25,9.58,9.68,16195784,122671948
0,Dec 15 2021,9.38,9.80,8.79,9.70,21971498,122905276
0,Dec 14 2021,9.32,9.56,8.94,9.01,23685503,114206134
0,Dec 13 2021,10.47,10.50,9.18,9.32,28740184,118104455
0,Dec 12 2021,9.35,10.69,9.28,10.46,23393288,132623648
0,Dec 11 2021,9.00,9.58,8.90,9.35,19379204,118542221
