index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1291,0.1348,0.1189,0.1254,248796,1514754
0,Jan 30 2022,0.1404,0.1434,0.126,0.1291,263226,1558956
0,Jan 29 2022,0.1444,0.1568,0.14,0.1403,269669,1695351
0,Jan 28 2022,0.1425,0.1493,0.1375,0.1444,371360,1744464
0,Jan 27 2022,0.1481,0.1577,0.1325,0.1425,434599,1721816
0,Jan 26 2022,0.1517,0.1693,0.1405,0.1481,406411,1788417
0,Jan 25 2022,0.1343,0.1546,0.1204,0.1517,546375,1832767
0,Jan 24 2022,0.1326,0.1365,0.1057,0.1343,488926,1622019
0,Jan 23 2022,0.1076,0.1326,0.1076,0.1326,445483,1601623
0,Jan 22 2022,0.1303,0.1367,0.1004,0.1076,435795,1299914
0,Jan 21 2022,0.1744,0.1834,0.13,0.1303,729183,1574496
0,Jan 20 2022,0.1436,0.2075,0.1413,0.1744,1341645,2107060
0,Jan 19 2022,0.105,0.1571,0.1008,0.1436,933757,1734522
0,Jan 18 2022,0.1029,0.1076,0.09951,0.105,406081,1267933
0,Jan 17 2022,0.09883,0.1113,0.08893,0.1029,351924,1242487
0,Jan 16 2022,0.08994,0.1008,0.07679,0.09883,115180,1193767
0,Jan 15 2022,0.09027,0.09352,0.07705,0.08993,98901,1086338
0,Jan 14 2022,0.08719,0.09265,0.07718,0.09027,93695,1090391
0,Jan 13 2022,0.08914,0.08933,0.08569,0.08719,139673,1053253
0,Jan 12 2022,0.08994,0.09049,0.08044,0.08914,98235,1076771
0,Jan 11 2022,0.08078,0.09058,0.08055,0.08994,104372,1086468
0,Jan 10 2022,0.08298,0.08605,0.07893,0.08078,116223,975776
0,Jan 09 2022,0.08927,0.0899,0.0819,0.08298,145137,1002392
0,Jan 08 2022,0.09489,0.101,0.08683,0.08927,137440,1078392
0,Jan 07 2022,0.09819,0.09864,0.09237,0.09489,112037,1146239
0,Jan 06 2022,0.108,0.1113,0.09611,0.09819,178584,1186118
0,Jan 05 2022,0.1104,0.1147,0.09901,0.108,191514,1304014
0,Jan 04 2022,0.1183,0.1197,0.1104,0.1104,162404,1333102
0,Jan 03 2022,0.1249,0.1268,0.1136,0.1183,150566,1429495
0,Jan 02 2022,0.1219,0.1268,0.12,0.1249,151047,1508318
0,Jan 01 2022,0.1193,0.1429,0.1181,0.1219,167856,1473014
0,Dec 31 2021,0.1199,0.1227,0.1144,0.1193,230063,1440905
0,Dec 30 2021,0.1211,0.1245,0.1132,0.1199,252284,1448791
0,Dec 29 2021,0.1169,0.123,0.113,0.1211,171132,1462507
0,Dec 28 2021,0.1229,0.1249,0.1135,0.117,150020,1413836
0,Dec 27 2021,0.1257,0.1296,0.113,0.1229,137501,1484934
0,Dec 26 2021,0.1303,0.1331,0.1134,0.1257,127889,1518481
0,Dec 25 2021,0.1284,0.1315,0.1048,0.1303,176608,1573575
0,Dec 24 2021,0.1296,0.14,0.1245,0.1285,186799,1552446
0,Dec 23 2021,0.1271,0.1416,0.1235,0.1296,201005,1565000
0,Dec 22 2021,0.1382,0.1421,0.1246,0.1271,179649,1535294
0,Dec 21 2021,0.1286,0.1523,0.1248,0.1383,171444,1670049
0,Dec 20 2021,0.1325,0.1558,0.1234,0.1286,161035,1553566
0,Dec 19 2021,0.1296,0.1481,0.1285,0.1326,215531,1601573
0,Dec 18 2021,0.1486,0.1527,0.1287,0.1296,231256,1565921
0,Dec 17 2021,0.1301,0.158,0.1245,0.1485,162209,1794027
