index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.4963,0.498,0.4636,0.4789,818454,10293092
0,Jan 30 2022,0.514,0.5242,0.4901,0.4963,743166,10668094
0,Jan 29 2022,0.5086,0.5287,0.5033,0.514,796576,11080710
0,Jan 28 2022,0.5292,0.5304,0.4988,0.5086,909764,10965135
0,Jan 27 2022,0.5254,0.5309,0.5002,0.5292,972967,11408425
0,Jan 26 2022,0.4978,0.5465,0.4968,0.5254,1021472,11324863
0,Jan 25 2022,0.519,0.5202,0.4778,0.4978,1212647,10681291
0,Jan 24 2022,0.5443,0.5544,0.4769,0.519,1090035,11135947
0,Jan 23 2022,0.4816,0.5553,0.48,0.5443,1209843,11646870
0,Jan 22 2022,0.5355,0.5662,0.4756,0.4816,1234383,10305684
0,Jan 21 2022,0.63,0.6355,0.5233,0.5355,940050,11600621
0,Jan 20 2022,0.6531,0.6619,0.6287,0.63,1251121,13646337
0,Jan 19 2022,0.6669,0.6854,0.6314,0.6531,1689277,14146697
0,Jan 18 2022,0.6761,0.7066,0.648,0.6669,1624929,14445514
0,Jan 17 2022,0.771,0.8065,0.6694,0.6761,1440109,14178739
0,Jan 16 2022,0.779,0.8237,0.7525,0.771,1341780,15872947
0,Jan 15 2022,0.8793,0.9172,0.7661,0.779,1310518,16039204
0,Jan 14 2022,0.9778,0.9778,0.8602,0.8793,1905221,18102850
0,Jan 13 2022,0.9331,1.06,0.9276,0.9778,3292908,20131001
0,Jan 12 2022,0.8654,0.9839,0.8125,0.9331,2089358,19170915
0,Jan 11 2022,0.9949,1.03,0.8461,0.8654,1822889,15160759
0,Jan 10 2022,1.03,1.07,0.9449,0.9949,1395145,17429863
0,Jan 09 2022,1.05,1.05,1.01,1.03,771024,18127586
0,Jan 08 2022,1.09,1.11,1.01,1.05,1232653,19017598
0,Jan 07 2022,1.17,1.18,1.08,1.09,1221850,19606051
0,Jan 06 2022,1.12,1.17,1.09,1.17,1284938,23269432
0,Jan 05 2022,1.32,1.32,1.09,1.12,1574874,22325518
0,Jan 04 2022,1.14,1.33,1.14,1.32,1923452,26269549
0,Jan 03 2022,1.31,1.31,1.13,1.14,1625707,22919292
0,Jan 02 2022,1.25,1.37,1.22,1.31,1492665,26343623
0,Jan 01 2022,1.16,1.26,1.15,1.25,1261744,25100780
0,Dec 31 2021,1.23,1.24,1.15,1.16,1468512,23122368
0,Dec 30 2021,1.09,1.25,1.04,1.23,1908000,24534842
0,Dec 29 2021,1.08,1.19,1.08,1.09,1832680,21803181
0,Dec 28 2021,1.19,1.19,1.06,1.08,1761225,21562365
0,Dec 27 2021,1.29,1.32,1.18,1.19,1647784,23759774
0,Dec 26 2021,1.26,1.31,1.25,1.29,1325538,25680483
0,Dec 25 2021,1.30,1.31,1.24,1.26,1802035,25133545
0,Dec 24 2021,1.51,1.52,1.30,1.30,1915958,26016343
0,Dec 23 2021,1.31,1.53,1.30,1.51,1413942,30191054
0,Dec 22 2021,1.23,1.33,1.22,1.31,1330804,26124673
0,Dec 21 2021,1.21,1.29,1.19,1.24,1716866,24659637
0,Dec 20 2021,1.36,1.37,1.15,1.21,1606294,24078664
0,Dec 19 2021,1.41,1.42,1.34,1.36,1074801,27219938
0,Dec 18 2021,1.43,1.46,1.40,1.41,1308863,28178158
0,Dec 17 2021,1.55,1.58,1.38,1.43,1815288,28522092
0,Dec 16 2021,1.51,1.66,1.51,1.55,1641881,31050550
0,Dec 15 2021,1.42,1.51,1.37,1.51,1832499,30285977
0,Dec 14 2021,1.38,1.50,1.36,1.39,2395580,27781973
0,Dec 13 2021,1.61,1.64,1.38,1.38,2930166,24119282
0,Dec 12 2021,1.53,1.85,1.47,1.61,2690738,28135699
0,Dec 11 2021,1.52,1.62,1.45,1.53,1747341,26671117
0,Dec 10 2021,1.69,1.75,1.51,1.52,2038693,26536798
0,Dec 09 2021,1.82,1.91,1.66,1.69,2923015,29674724
0,Dec 08 2021,1.99,1.99,1.73,1.82,3467990,31952787
0,Dec 07 2021,2.02,2.12,1.92,1.98,3060588,34754355
0,Dec 06 2021,2.25,2.25,1.87,2.02,4803281,35384321
0,Dec 05 2021,2.46,2.52,2.07,2.24,4310922,39564761
0,Dec 04 2021,2.78,2.88,2.28,2.46,2851249,43429467
0,Dec 03 2021,3.00,3.06,2.66,2.78,4092983,49166836
0,Dec 02 2021,3.31,3.31,2.84,3.00,8349810,53012872
0,Dec 01 2021,3.76,3.82,3.11,3.31,9779320,58616832
0,Nov 30 2021,4.17,4.20,3.56,3.77,8846138,66837897
0,Nov 29 2021,3.47,4.25,3.35,4.17,8105301,73690180
0,Nov 28 2021,3.41,3.61,3.25,3.47,4755790,61101174
0,Nov 27 2021,3.50,3.71,3.23,3.41,4995518,60002152
0,Nov 26 2021,3.62,3.64,3.07,3.50,4538105,61528393
0,Nov 25 2021,3.34,3.80,3.19,3.26,2283124,57286316
0,Nov 24 2021,3.27,3.46,3.18,3.32,3131017,58349142
0,Nov 23 2021,3.22,3.42,2.90,3.27,4984522,57408939
0,Nov 22 2021,3.42,3.44,3.10,3.22,4100234,56528147
0,Nov 21 2021,3.66,3.78,3.42,3.42,4115819,59892616
0,Nov 20 2021,3.77,3.86,3.42,3.66,4330332,64123206
0,Nov 19 2021,3.36,3.84,3.30,3.77,3727340,66195601
0,Nov 18 2021,3.62,3.72,3.24,3.35,2887606,58804585
0,Nov 17 2021,3.57,3.75,3.42,3.62,4261165,63296284
0,Nov 16 2021,3.96,3.98,3.31,3.57,6650590,62245349
0,Nov 15 2021,3.49,4.00,3.37,3.97,6183763,68974058
0,Nov 14 2021,3.46,3.50,3.28,3.49,4387036,60116983
0,Nov 13 2021,3.11,3.68,3.03,3.46,5540605,59589187
0,Nov 12 2021,3.38,3.41,2.90,3.11,3936044,53444327
0,Nov 11 2021,3.35,3.72,3.28,3.38,3037864,48941365
0,Nov 10 2021,3.41,3.53,3.22,3.35,2897583,48424933
0,Nov 09 2021,3.50,3.51,3.31,3.42,2062095,49440389
0,Nov 08 2021,3.46,3.52,3.38,3.50,1665669,50502623
0,Nov 07 2021,3.56,3.66,3.43,3.46,1835075,49971477
0,Nov 06 2021,3.50,3.58,3.35,3.56,1688685,51447991
0,Nov 05 2021,3.53,3.71,3.43,3.50,2174660,50618678
0,Nov 04 2021,3.92,3.92,3.47,3.54,2532348,51342427
0,Nov 03 2021,3.65,3.94,3.59,3.92,3148220,56962098
