index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,58.94,62.40,54.67,62.40,2141488,62283766
0,Jan 30 2022,63.94,65.38,58.43,58.96,1159649,58847454
0,Jan 29 2022,63.94,65.30,62.03,63.97,928327,63850723
0,Jan 28 2022,66.66,66.66,61.10,63.95,1017159,63828095
0,Jan 27 2022,66.36,66.85,63.74,66.66,1377921,66535156
0,Jan 26 2022,68.69,71.68,65.91,66.34,1702076,66216473
0,Jan 25 2022,73.53,73.53,67.64,68.80,1714830,68666246
0,Jan 24 2022,74.49,74.75,63.79,73.53,1598433,73391432
0,Jan 23 2022,68.20,75.86,67.59,74.46,1267023,74317699
0,Jan 22 2022,78.23,79.53,66.75,68.18,1503150,68048700
0,Jan 21 2022,85.94,86.71,77.62,78.11,1786332,77960393
0,Jan 20 2022,87.81,97.19,81.16,85.90,2093231,85734544
0,Jan 19 2022,96.24,99.89,87.23,87.81,2225535,87642699
0,Jan 18 2022,98.08,98.85,93.41,96.28,2171317,96096751
0,Jan 17 2022,94.95,102.83,94.86,98.08,1722679,97895492
0,Jan 16 2022,98.35,99.04,94.28,94.90,1753475,94720344
0,Jan 15 2022,99.15,99.61,93.14,98.36,2346611,98174145
0,Jan 14 2022,99.10,103.35,93.83,99.14,3740951,98947870
0,Jan 13 2022,105.08,108.59,97.90,99.10,4275285,98910324
0,Jan 12 2022,100.15,107.77,95.78,105.09,2097687,104885372
0,Jan 11 2022,94.34,100.51,92.78,100.19,2368232,99998794
0,Jan 10 2022,104.45,104.70,90.08,94.34,2802555,94161392
0,Jan 09 2022,96.51,107.59,93.82,104.58,2463913,104380648
0,Jan 08 2022,93.65,98.13,91.84,96.52,2530527,96334308
0,Jan 07 2022,98.25,101.69,87.30,93.65,3729650,93469050
0,Jan 06 2022,102.80,107.43,97.28,98.24,3206143,98057283
0,Jan 05 2022,112.81,114.36,101.21,102.83,3502822,102637631
0,Jan 04 2022,109.91,120.73,108.12,112.81,2547654,112592040
0,Jan 03 2022,112.89,114.34,104.97,109.92,2885635,109706540
0,Jan 02 2022,123.18,123.51,112.81,112.90,2877489,112681936
0,Jan 01 2022,116.02,126.69,112.56,123.20,3850636,122965369
0,Dec 31 2021,110.02,126.75,109.43,116.02,3957797,115803401
0,Dec 30 2021,109.26,115.69,105.66,110.03,3973273,109820067
0,Dec 29 2021,116.77,117.05,100.71,109.27,4331038,109057573
0,Dec 28 2021,130.09,130.42,116.14,116.78,5061922,116554133
0,Dec 27 2021,131.80,132.62,120.40,129.45,5628595,129200470
0,Dec 26 2021,140.30,141.67,130.09,131.72,2455296,131470917
0,Dec 25 2021,145.95,148.15,138.36,140.30,3154410,140037766
0,Dec 24 2021,136.42,155.03,134.15,145.97,4775470,145695323
0,Dec 23 2021,143.33,150.75,131.32,136.47,4452137,136209757
0,Dec 22 2021,153.41,155.19,143.83,144.98,4279622,144702580
0,Dec 21 2021,151.62,166.60,147.20,153.40,4447091,153110651
0,Dec 20 2021,162.41,166.06,144.14,151.62,6570163,151327013
0,Dec 19 2021,157.18,165.36,154.03,162.32,6410038,162009310
0,Dec 18 2021,161.94,173.43,155.58,157.01,6400799,156715883
0,Dec 17 2021,160.45,168.03,150.94,161.05,6503668,160746657
0,Dec 16 2021,164.56,171.94,155.68,160.47,5678442,160164145
0,Dec 15 2021,189.62,191.21,158.00,164.46,10239385,164146663
0,Dec 14 2021,169.06,203.42,161.67,189.71,10559962,189353124
0,Dec 13 2021,192.34,193.39,164.52,168.97,11031266,168645474
0,Dec 12 2021,150.72,209.75,147.25,192.51,11810616,192139099
0,Dec 11 2021,148.68,160.60,135.00,150.60,20321560,150310914
0,Dec 10 2021,157.69,170.26,110.30,148.68,19819848,148397965
0,Dec 09 2021,164.27,165.98,149.89,157.75,7245241,157449723
0,Dec 08 2021,147.16,173.15,120.63,164.32,7090455,164007893
0,Dec 07 2021,165.36,176.02,138.92,147.16,7290638,146879924
0,Dec 06 2021,200.01,200.26,151.45,165.36,9718938,165045817
0,Dec 05 2021,193.57,204.01,183.62,200.03,7399313,199648228
0,Dec 04 2021,229.79,229.79,165.13,193.59,5809202,193217848
0,Dec 03 2021,216.96,230.28,168.89,229.74,7802051,229300888
0,Dec 02 2021,213.11,228.76,204.90,217.21,9996794,216795586
0,Dec 01 2021,238.24,249.35,203.97,213.13,9261488,212723542
0,Nov 30 2021,240.99,252.81,207.37,238.18,6909198,237730401
0,Nov 29 2021,277.34,313.76,198.49,240.91,6975745,240451065
0,Nov 28 2021,274.20,283.07,244.34,277.31,6138159,276786174
0,Nov 27 2021,274.33,303.36,269.36,274.23,5559996,273707690
0,Nov 26 2021,299.47,309.74,265.44,274.58,6632317,274060440
0,Nov 25 2021,315.25,324.65,284.95,316.26,4391908,315658380
