index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,5.08,6.93,4.76,6.59,34246351,81036419
0,Jan 30 2022,4.64,5.69,4.64,5.08,32213773,62540244
0,Jan 29 2022,4.38,4.79,4.38,4.64,9604541,57093930
0,Jan 28 2022,4.31,4.44,4.13,4.38,8347614,53876268
0,Jan 27 2022,4.67,4.79,4.11,4.31,11354701,53068174
0,Jan 26 2022,5.04,5.28,4.60,4.67,11746155,57453064
0,Jan 25 2022,4.91,5.14,4.74,5.04,8541430,61985825
0,Jan 24 2022,5.71,5.71,4.55,4.91,13028479,60419554
0,Jan 23 2022,5.60,6.09,5.45,5.71,10370728,70279284
0,Jan 22 2022,5.86,6.55,5.36,5.60,16796052,0
0,Jan 21 2022,6.62,6.69,5.78,5.86,15658030,0
0,Jan 20 2022,6.93,7.39,6.62,6.62,4072997,0
0,Jan 19 2022,7.32,7.51,6.77,6.92,7897135,0
0,Jan 18 2022,7.81,7.87,7.03,7.32,8182493,0
0,Jan 17 2022,8.32,8.33,7.59,7.81,9315548,0
0,Jan 16 2022,8.72,8.72,8.25,8.32,11748249,0
0,Jan 15 2022,8.66,9.08,8.66,8.72,16527676,0
0,Jan 14 2022,9.47,9.71,8.41,8.66,38950922,0
0,Jan 13 2022,8.29,10.21,8.02,9.45,45406172,0
0,Jan 12 2022,8.03,8.46,7.78,8.29,11811469,0
0,Jan 11 2022,7.85,8.29,7.64,8.03,8006050,0
0,Jan 10 2022,8.53,8.57,7.44,7.86,8016829,0
0,Jan 09 2022,8.55,8.77,8.30,8.53,8492814,0
0,Jan 08 2022,9.22,9.66,8.44,8.56,9115001,0
0,Jan 07 2022,9.70,9.72,8.74,9.22,13970144,0
0,Jan 06 2022,9.95,10.38,8.92,9.70,17819135,0
0,Jan 05 2022,11.42,11.52,9.57,9.95,23480652,0
0,Jan 04 2022,11.96,11.96,11.30,11.42,17267259,0
0,Jan 03 2022,12.19,12.37,11.59,11.96,23166746,0
0,Jan 02 2022,11.51,12.73,11.15,12.18,29750450,0
0,Jan 01 2022,11.03,11.58,11.01,11.51,12550568,0
0,Dec 31 2021,11.08,11.84,10.85,11.03,18602810,0
0,Dec 30 2021,10.93,11.59,10.79,11.08,16392097,0
0,Dec 29 2021,11.67,11.73,10.62,10.94,39517076,0
0,Dec 28 2021,13.90,14.10,11.75,11.88,26276654,0
0,Dec 27 2021,13.57,14.82,13.29,13.95,26146258,0
0,Dec 26 2021,14.65,15.25,13.33,13.58,41523201,0
0,Dec 25 2021,11.76,15.82,11.66,14.65,85259218,0
0,Dec 24 2021,12.61,13.55,11.60,11.78,23566082,0
0,Dec 23 2021,12.09,12.73,11.31,12.59,28045387,0
0,Dec 22 2021,12.69,13.70,12.07,12.10,21529337,0
0,Dec 21 2021,12.34,13.24,11.38,12.68,32671156,0
0,Dec 20 2021,14.71,14.78,11.99,12.38,27985860,0
0,Dec 19 2021,14.38,16.58,14.02,14.68,53870454,0
0,Dec 18 2021,19.53,20.39,13.64,14.41,86896998,0
0,Dec 17 2021,24.40,40.26,17.65,19.61,116506273,0
0,Dec 16 2021,22.89,28.06,22.84,24.40,12190799,0
0,Dec 15 2021,21.20,23.33,20.43,22.88,6302586,0
0,Dec 14 2021,21.14,22.10,20.28,21.20,5648123,0
0,Dec 13 2021,20.11,24.17,19.70,21.14,5897910,0
0,Dec 12 2021,19.95,21.41,19.45,20.10,4144011,0
0,Dec 11 2021,20.59,20.86,18.99,19.95,5002517,0
0,Dec 10 2021,22.19,23.01,18.82,20.59,6257781,0
0,Dec 09 2021,25.57,26.64,21.89,22.18,5149194,0
0,Dec 08 2021,23.67,27.65,22.93,25.59,5460058,0
0,Dec 07 2021,23.35,24.44,21.87,23.67,6423797,0
0,Dec 06 2021,23.86,24.02,20.94,23.34,6804437,0
0,Dec 05 2021,25.08,25.98,23.33,23.86,6713074,0
0,Dec 04 2021,25.24,26.15,21.27,25.08,6376227,0
0,Dec 03 2021,26.54,27.85,24.45,25.24,10375653,0
0,Dec 02 2021,28.10,28.61,24.19,26.54,13494881,0
0,Dec 01 2021,29.62,33.68,26.90,28.11,11391611,0
0,Nov 30 2021,27.55,32.13,25.06,29.61,10270498,0
0,Nov 29 2021,25.85,28.26,24.96,27.56,9684217,0
0,Nov 28 2021,22.15,26.01,22.15,25.85,7534792,0
0,Nov 27 2021,23.20,23.97,21.71,22.15,2593843,0
0,Nov 26 2021,25.92,26.14,21.07,23.20,3564580,0
0,Nov 25 2021,26.14,29.36,25.57,27.80,2231637,0
0,Nov 24 2021,22.99,26.50,22.77,23.96,1449975,0
0,Nov 23 2021,24.20,24.48,21.58,22.99,2157330,0
0,Nov 22 2021,23.83,25.23,21.73,24.20,2643373,0
0,Nov 21 2021,26.41,28.19,22.72,23.82,3340112,0
0,Nov 20 2021,24.78,28.08,24.51,26.43,3276945,0
0,Nov 19 2021,19.84,24.80,19.25,24.78,2864275,0
0,Nov 18 2021,21.10,24.26,18.72,19.85,2991391,0
0,Nov 17 2021,19.93,24.46,19.21,21.09,3624017,0
0,Nov 16 2021,20.74,27.89,17.15,19.94,3989965,0
0,Nov 15 2021,24.52,26.18,19.96,20.74,3399719,0
0,Nov 14 2021,27.27,28.01,24.27,24.52,2405515,0
0,Nov 13 2021,24.44,28.06,24.44,27.26,3123317,0
0,Nov 12 2021,28.15,28.45,24.35,24.47,4050753,0
0,Nov 11 2021,24.07,28.37,23.73,28.11,5432316,0
0,Nov 10 2021,24.56,31.14,22.94,24.05,6450795,0
0,Nov 09 2021,26.42,26.74,21.72,24.56,5957728,0
0,Nov 08 2021,29.88,31.68,24.16,26.42,10005305,0
0,Nov 07 2021,23.02,33.49,22.65,29.88,10111596,0
0,Nov 06 2021,17.72,23.24,17.51,23.02,4955246,0
0,Nov 05 2021,18.53,20.49,16.95,17.72,5327595,0
0,Nov 04 2021,16.70,19.46,13.59,18.54,6589672,0
0,Nov 03 2021,15.77,17.50,15.57,16.70,5088085,0
