index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,607.94,639.50,601.48,626.16,29095658,402553043
0,Jan 31 2022,580.94,608.46,559.58,607.96,22403250,390850769
0,Jan 30 2022,584.25,602.74,568.81,580.96,24519730,373496926
0,Jan 29 2022,573.92,595.20,571.11,583.95,22012431,375419022
0,Jan 28 2022,550.38,579.90,533.56,573.88,22327253,368944065
0,Jan 27 2022,585.00,592.17,525.76,550.38,29226871,353835347
0,Jan 26 2022,575.63,638.47,565.30,585.02,31753641,376101901
0,Jan 25 2022,567.93,584.28,548.02,575.73,24170160,370133051
0,Jan 24 2022,591.66,592.57,498.41,567.86,34702070,365072856
0,Jan 23 2022,562.66,604.34,557.55,591.55,27050695,380301939
0,Jan 22 2022,613.56,626.43,547.62,562.45,36532034,361592480
0,Jan 21 2022,724.99,738.72,605.48,613.45,43448484,394381488
0,Jan 20 2022,762.61,788.78,725.01,725.15,20678116,466195933
0,Jan 19 2022,784.68,787.29,743.17,762.63,26824543,490290356
0,Jan 18 2022,800.22,806.21,762.83,784.80,29419597,504541902
0,Jan 17 2022,859.14,860.89,785.73,800.29,30438213,514497201
0,Jan 16 2022,844.64,867.30,839.66,859.30,26216941,552437847
0,Jan 15 2022,834.38,852.20,827.04,844.88,22442008,543167215
0,Jan 14 2022,812.99,839.49,798.22,834.44,28585726,536452364
0,Jan 13 2022,858.41,865.51,813.27,813.27,30713605,522841581
0,Jan 12 2022,803.44,863.37,802.18,858.43,41066160,551878881
0,Jan 11 2022,776.10,815.56,757.23,803.49,35343719,516555301
0,Jan 10 2022,797.16,809.37,733.05,775.79,31477809,498747209
0,Jan 09 2022,779.04,815.53,773.29,797.16,30168110,512488761
0,Jan 08 2022,796.88,820.35,752.60,778.89,29865095,500741207
0,Jan 07 2022,862.03,863.36,783.81,796.82,39515959,512270762
0,Jan 06 2022,891.24,891.24,838.98,861.96,36259989,554148994
0,Jan 05 2022,976.82,1002.43,874.34,891.34,41236865,573034837
0,Jan 04 2022,1034.53,1040.54,976.59,976.81,44262568,627984029
0,Jan 03 2022,1046.55,1049.77,1008.89,1034.39,30426637,665003888
0,Jan 02 2022,1045.40,1052.88,1023.59,1046.48,24540825,672775711
0,Jan 01 2022,1017.60,1045.48,1011.64,1045.48,25489824,672129446
0,Dec 31 2021,1013.64,1047.09,999.47,1017.41,36207560,654083934
0,Dec 30 2021,1004.49,1040.20,991.07,1013.60,34032079,651633444
0,Dec 29 2021,1069.65,1078.86,1000.51,1004.61,37372670,645855322
0,Dec 28 2021,1141.49,1141.49,1053.12,1069.90,35897357,687827224
0,Dec 27 2021,1153.24,1163.67,1124.21,1140.87,38525448,733456400
0,Dec 26 2021,1194.53,1198.46,1136.53,1152.75,35504248,741095976
0,Dec 25 2021,1192.23,1208.39,1176.69,1193.77,31174315,767465263
0,Dec 24 2021,1209.67,1346.36,1184.38,1192.68,72353566,766764957
0,Dec 23 2021,1132.65,1214.05,1109.44,1208.41,53778984,776876044
0,Dec 22 2021,1117.03,1155.84,1101.21,1132.61,44538467,728147630
0,Dec 21 2021,1100.29,1136.52,1089.81,1117.47,33703098,718413981
0,Dec 20 2021,1099.78,1124.28,1050.51,1101.16,28958249,707928463
0,Dec 19 2021,1149.87,1166.50,1095.40,1099.39,26328449,706789877
0,Dec 18 2021,1109.42,1159.74,1078.82,1149.27,24666259,738855006
0,Dec 17 2021,1146.87,1156.75,1060.41,1108.63,30648625,712727925
0,Dec 16 2021,1186.32,1209.21,1146.68,1146.90,42551980,737246048
0,Dec 15 2021,1113.45,1212.53,1055.22,1186.36,45334687,762615951
0,Dec 14 2021,1113.84,1141.28,1065.78,1066.47,50746568,685545587
0,Dec 13 2021,1279.35,1285.70,1091.41,1114.41,51260183,716361579
0,Dec 12 2021,1228.18,1289.28,1207.73,1279.18,43879842,822281376
0,Dec 11 2021,1180.34,1239.27,1161.91,1230.21,41361878,790799534
0,Dec 10 2021,1269.45,1321.21,1174.90,1180.65,53014493,758943225
0,Dec 09 2021,1363.64,1398.79,1257.32,1271.58,95011475,817393332
0,Dec 08 2021,1307.34,1384.93,1298.07,1364.21,68184669,876938684
0,Dec 07 2021,1329.26,1379.25,1294.36,1310.50,59657099,842416110
0,Dec 06 2021,1406.04,1414.42,1221.64,1331.03,99225828,855610067
0,Dec 05 2021,1385.96,1460.51,1348.68,1403.37,100340529,902114301
0,Dec 04 2021,1471.84,1476.50,1197.76,1386.22,136894049,891085811
0,Dec 03 2021,1601.98,1672.20,1414.29,1466.60,91474944,942760565
0,Dec 02 2021,1727.80,1729.51,1592.45,1603.11,101419372,1030510962
0,Dec 01 2021,1846.88,1924.73,1688.49,1726.20,122085841,1109631371
0,Nov 30 2021,1759.15,1923.53,1705.44,1844.23,150896430,1185505739
0,Nov 29 2021,1613.47,1771.19,1608.62,1757.58,120373794,1129808799
0,Nov 28 2021,1527.58,1625.25,1460.67,1610.12,79795750,1034981455
0,Nov 27 2021,1451.89,1581.75,1443.50,1524.67,93109946,980057346
0,Nov 26 2021,1662.30,1694.20,1379.59,1451.22,145622809,932843595
0,Nov 25 2021,1500.54,1813.90,1500.54,1607.36,475758410,1033209074
0,Nov 24 2021,1282.31,1594.69,1282.31,1305.67,191982382,839284160
0,Nov 23 2021,1036.15,1298.82,1029.03,1281.96,158631375,824043779
0,Nov 22 2021,1047.69,1082.57,1025.47,1040.42,52599115,668526088
0,Nov 21 2021,1040.63,1103.98,1010.67,1053.10,62157630,676668172
0,Nov 20 2021,1004.02,1049.11,977.40,1038.77,49431492,667461226
0,Nov 19 2021,972.19,1034.24,969.38,1005.39,60103082,646011851
0,Nov 18 2021,1064.89,1083.37,964.88,974.38,43917966,626090813
0,Nov 17 2021,1022.68,1117.75,993.91,1063.89,45176817,683603491
0,Nov 16 2021,1117.40,1644.65,983.59,1023.40,46780337,657588126
0,Nov 15 2021,1139.36,1186.05,1114.33,1115.63,38584756,716851376
0,Nov 14 2021,1159.44,1172.99,1110.43,1137.58,32540946,730951792
0,Nov 13 2021,1145.91,1168.21,1130.13,1158.49,30642640,744391720
0,Nov 12 2021,1160.14,1191.11,1113.90,1144.19,46796026,735201508
