index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.02572,0.02722,0.02533,0.02564,85588,1375684
0,Jan 31 2022,0.02611,0.02646,0.02495,0.02572,89292,1379748
0,Jan 30 2022,0.02758,0.02758,0.02602,0.02611,91982,1400792
0,Jan 29 2022,0.02717,0.02777,0.02699,0.02758,98524,1479671
0,Jan 28 2022,0.02805,0.02876,0.02637,0.02717,84832,1457711
0,Jan 27 2022,0.02697,0.02819,0.02574,0.02805,149649,1505041
0,Jan 26 2022,0.0277,0.02846,0.02535,0.02697,183437,1446824
0,Jan 25 2022,0.02821,0.02821,0.02532,0.0277,169117,1486054
0,Jan 24 2022,0.02852,0.02856,0.02332,0.02821,98933,1513690
0,Jan 23 2022,0.02708,0.02856,0.02607,0.02852,96106,1530354
0,Jan 22 2022,0.02776,0.02786,0.02522,0.02708,129644,1452907
0,Jan 21 2022,0.03541,0.03568,0.02681,0.02776,193535,1489301
0,Jan 20 2022,0.03514,0.03667,0.03345,0.03541,176270,1899661
0,Jan 19 2022,0.03572,0.03639,0.033,0.03514,164457,1885217
0,Jan 18 2022,0.03725,0.03837,0.03501,0.03572,128528,1916585
0,Jan 17 2022,0.03941,0.04073,0.03688,0.03725,119037,1998798
0,Jan 16 2022,0.04132,0.0419,0.03941,0.03941,126428,2114391
0,Jan 15 2022,0.03765,0.04271,0.03746,0.04132,197978,2217151
0,Jan 14 2022,0.03804,0.03939,0.03673,0.03765,171717,2020042
0,Jan 13 2022,0.04048,0.04139,0.03797,0.03804,274154,2040836
0,Jan 12 2022,0.03958,0.04402,0.039,0.04048,220761,2171692
0,Jan 11 2022,0.03997,0.04122,0.03865,0.03958,237445,2123802
0,Jan 10 2022,0.03573,0.0456,0.03544,0.03997,223807,2144568
0,Jan 09 2022,0.03479,0.03635,0.03381,0.03573,166070,1916846
0,Jan 08 2022,0.03652,0.03794,0.03325,0.03479,202067,1866465
0,Jan 07 2022,0.04268,0.04444,0.03522,0.03652,318237,1959493
0,Jan 06 2022,0.04731,0.04737,0.03866,0.04268,308158,2289636
0,Jan 05 2022,0.0517,0.05305,0.04729,0.04731,208083,2538318
0,Jan 04 2022,0.05261,0.05347,0.0507,0.0517,222164,2774003
0,Jan 03 2022,0.06004,0.0601,0.05237,0.05261,225555,2822576
0,Jan 02 2022,0.05864,0.06004,0.05633,0.06004,245920,3221339
0,Jan 01 2022,0.05875,0.06085,0.05755,0.05864,256615,3146044
0,Dec 31 2021,0.0571,0.05875,0.05384,0.05875,234328,3151946
0,Dec 30 2021,0.05923,0.06159,0.05709,0.05713,185599,3065022
0,Dec 29 2021,0.06175,0.0628,0.05918,0.05923,166564,3177842
0,Dec 28 2021,0.06722,0.06732,0.06131,0.06184,423817,3317640
0,Dec 27 2021,0.08479,0.08635,0.06597,0.06727,452776,3609000
0,Dec 26 2021,0.07552,0.08483,0.07435,0.08483,296682,4551418
0,Dec 25 2021,0.07032,0.07758,0.07032,0.07548,203978,4049524
0,Dec 24 2021,0.0706,0.07426,0.06564,0.07037,259450,3775396
0,Dec 23 2021,0.0633,0.07104,0.05903,0.07058,644604,3786591
0,Dec 22 2021,0.06144,0.06636,0.06082,0.06329,248653,3395750
0,Dec 21 2021,0.05564,0.06202,0.05513,0.06145,335605,3297007
0,Dec 20 2021,0.05536,0.05623,0.05237,0.05563,279785,2984695
0,Dec 19 2021,0.05734,0.05761,0.05309,0.05537,287769,2970795
0,Dec 18 2021,0.06368,0.06424,0.05399,0.05734,323038,3076327
0,Dec 17 2021,0.06638,0.06735,0.06337,0.06366,190003,3415420
0,Dec 16 2021,0.06862,0.0689,0.06608,0.06637,253517,3561129
0,Dec 15 2021,0.06769,0.06918,0.06532,0.06861,280229,3681134
0,Dec 14 2021,0.06918,0.07099,0.0668,0.0668,273659,3583785
0,Dec 13 2021,0.07731,0.07784,0.06918,0.06918,398377,3711850
0,Dec 12 2021,0.07941,0.0832,0.0764,0.07729,253721,4147015
0,Dec 11 2021,0.0791,0.08258,0.0777,0.07943,277300,4261786
0,Dec 10 2021,0.08079,0.08503,0.07919,0.07919,401486,4248785
0,Dec 09 2021,0.0875,0.08812,0.08009,0.08089,369217,4339819
0,Dec 08 2021,0.08809,0.08866,0.0836,0.08764,466146,4702015
0,Dec 07 2021,0.08772,0.08846,0.08325,0.08812,401720,4727741
0,Dec 06 2021,0.08489,0.08803,0.08364,0.08771,583212,4706000
0,Dec 05 2021,0.08685,0.08953,0.08295,0.08479,405632,4549409
0,Dec 04 2021,0.09345,0.09619,0.07905,0.08683,577274,4658672
0,Dec 03 2021,0.114,0.114,0.09179,0.09344,1162817,5013038
0,Dec 02 2021,0.1385,0.1483,0.113,0.1141,3072380,6120946
0,Dec 01 2021,0.1072,0.1536,0.1069,0.1385,2454186,7430121
0,Nov 30 2021,0.0996,0.1073,0.08954,0.1072,671911,5749797
0,Nov 29 2021,0.07837,0.1008,0.07763,0.09962,546101,5345088
0,Nov 28 2021,0.07748,0.0793,0.07497,0.07838,269142,4205065
0,Nov 27 2021,0.07443,0.07816,0.07189,0.07743,250802,4154192
0,Nov 26 2021,0.08273,0.08611,0.07281,0.07442,448957,3992616
0,Nov 25 2021,0.07815,0.08328,0.07794,0.08019,513788,4302295
0,Nov 24 2021,0.07701,0.08231,0.07397,0.0748,437307,4013308
0,Nov 23 2021,0.07899,0.08172,0.07665,0.07703,526674,4132922
0,Nov 22 2021,0.08398,0.08597,0.07873,0.07899,711692,4237766
0,Nov 21 2021,0.09551,0.09594,0.0775,0.08402,999509,4507942
0,Nov 20 2021,0.08227,0.1017,0.08171,0.09555,874288,5126573
0,Nov 19 2021,0.06729,0.08397,0.06729,0.08226,414012,4413207
0,Nov 18 2021,0.07313,0.07352,0.06659,0.06723,370779,3607120
0,Nov 17 2021,0.07287,0.07356,0.06977,0.07315,540921,3924782
0,Nov 16 2021,0.07529,0.07629,0.06743,0.07291,593590,3911629
0,Nov 15 2021,0.08194,0.08601,0.0746,0.07529,642593,4039651
0,Nov 14 2021,0.0819,0.08414,0.07617,0.08195,456099,4396676
0,Nov 13 2021,0.08045,0.08954,0.08008,0.0819,581934,4393955
0,Nov 12 2021,0.07834,0.08368,0.07516,0.08043,579488,4315498
0,Nov 11 2021,0.07731,0.08721,0.07722,0.07833,751364,4202461
0,Nov 10 2021,0.09559,0.0961,0.07334,0.07724,754505,4144123
0,Nov 09 2021,0.1038,0.1043,0.09312,0.09566,808156,5132272
0,Nov 08 2021,0.09998,0.1074,0.09883,0.1039,671593,5573114
0,Nov 07 2021,0.1193,0.1215,0.09885,0.09995,695903,5362637
0,Nov 06 2021,0.1211,0.1233,0.1056,0.1193,991291,6398944
0,Nov 05 2021,0.1173,0.138,0.1121,0.1212,1585889,6502441
0,Nov 04 2021,0.1415,0.1438,0.1051,0.1175,1314075,6303316
0,Nov 03 2021,0.1582,0.1645,0.1386,0.1413,1314667,7582137
0,Nov 02 2021,0.1789,0.2035,0.1446,0.1581,1196064,8480736
0,Nov 01 2021,0.199,0.2038,0.1786,0.1788,1710095,9593237
0,Oct 31 2021,0.157,0.2404,0.157,0.199,1471634,10675943
0,Oct 30 2021,0.1607,0.177,0.1554,0.157,796478,8422394
0,Oct 29 2021,0.1508,0.1814,0.137,0.1608,1786241,8625536
0,Oct 28 2021,0.09886,0.1808,0.09777,0.1508,1581727,8092562
0,Oct 27 2021,0.08671,0.1022,0.07796,0.09891,689134,5306710
0,Oct 26 2021,0.09197,0.09417,0.08619,0.08674,377035,4653810
0,Oct 25 2021,0.093,0.0987,0.09002,0.09198,439844,4934969
0,Oct 24 2021,0.09808,0.09875,0.09261,0.093,514026,4989580
0,Oct 23 2021,0.09741,0.09938,0.09609,0.09808,697062,5262127
0,Oct 22 2021,0.09867,0.1002,0.09309,0.09742,421116,5226837
0,Oct 21 2021,0.1018,0.1046,0.09609,0.09861,549428,5290886
0,Oct 20 2021,0.0937,0.1051,0.09148,0.1017,859520,5457102
0,Oct 19 2021,0.09726,0.102,0.09175,0.09368,802234,5025918
0,Oct 18 2021,0.09474,0.1034,0.09282,0.09725,889484,5217690
0,Oct 17 2021,0.1013,0.1013,0.09262,0.09475,533400,5083394
0,Oct 16 2021,0.102,0.1056,0.09662,0.1014,508077,5442291
0,Oct 15 2021,0.09613,0.1069,0.09473,0.102,712946,5472499
0,Oct 14 2021,0.09312,0.103,0.09112,0.09612,913254,5157295
0,Oct 13 2021,0.09325,0.109,0.08975,0.09308,874280,4993832
