index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.2134,0.2201,0.2096,0.2154,495316,8523284
0,Jan 31 2022,0.2217,0.2224,0.2039,0.2134,455170,8443167
0,Jan 30 2022,0.2278,0.2337,0.2205,0.2217,461933,8770455
0,Jan 29 2022,0.2069,0.2295,0.2066,0.2278,480722,9013972
0,Jan 28 2022,0.2034,0.2198,0.2034,0.207,470113,8187723
0,Jan 27 2022,0.2017,0.207,0.1956,0.2033,471920,8043434
0,Jan 26 2022,0.2007,0.2169,0.1957,0.2017,605602,7978162
0,Jan 25 2022,0.2037,0.2173,0.1916,0.2001,521864,7915805
0,Jan 24 2022,0.2308,0.2309,0.1839,0.2037,530445,8057476
0,Jan 23 2022,0.2126,0.2392,0.2118,0.2309,700540,9133060
0,Jan 22 2022,0.259,0.2816,0.2033,0.2118,1111374,8381068
0,Jan 21 2022,0.3366,0.3387,0.2566,0.2589,857002,10242854
0,Jan 20 2022,0.339,0.3774,0.3351,0.3365,638090,13313053
0,Jan 19 2022,0.357,0.3577,0.3388,0.339,597835,13411300
0,Jan 18 2022,0.3885,0.3904,0.3468,0.357,709141,14124502
0,Jan 17 2022,0.4118,0.4157,0.3833,0.3886,669380,15372195
0,Jan 16 2022,0.4096,0.4211,0.4028,0.412,500048,16299311
0,Jan 15 2022,0.4081,0.4194,0.4036,0.4096,509888,16203469
0,Jan 14 2022,0.3996,0.414,0.394,0.4087,632705,16171028
0,Jan 13 2022,0.4496,0.4497,0.3854,0.3982,968937,15753334
0,Jan 12 2022,0.4329,0.4538,0.4207,0.4496,620037,17785636
0,Jan 11 2022,0.4184,0.4329,0.4134,0.4329,741259,17124948
0,Jan 10 2022,0.4522,0.4558,0.3979,0.4184,911177,16553484
0,Jan 09 2022,0.4432,0.4687,0.4416,0.4522,423525,17891292
0,Jan 08 2022,0.4276,0.4794,0.4271,0.4432,1584791,17534774
0,Jan 07 2022,0.5002,0.505,0.4236,0.4276,2039788,16915152
0,Jan 06 2022,0.4858,0.5121,0.4597,0.5002,1787689,19788053
0,Jan 05 2022,0.5471,0.5477,0.48,0.4878,1472308,19297400
0,Jan 04 2022,0.5577,0.561,0.5397,0.5471,1458628,21643971
0,Jan 03 2022,0.5873,0.5873,0.5571,0.5577,1243172,22065838
0,Jan 02 2022,0.5609,0.5896,0.559,0.5872,908833,23232255
0,Jan 01 2022,0.5424,0.5622,0.5421,0.561,1098661,22193413
0,Dec 31 2021,0.5673,0.5752,0.5403,0.5425,1518157,21461700
0,Dec 30 2021,0.5516,0.5743,0.5322,0.5674,1205097,22448925
0,Dec 29 2021,0.6061,0.6085,0.5514,0.5515,1338463,21818704
0,Dec 28 2021,0.6248,0.6281,0.5909,0.606,1457567,23974784
0,Dec 27 2021,0.6361,0.6567,0.6171,0.6249,1381146,24723652
0,Dec 26 2021,0.6425,0.6463,0.5897,0.6364,1586504,25176501
0,Dec 25 2021,0.7017,0.717,0.6385,0.6429,1967210,25433142
0,Dec 24 2021,0.7609,0.7754,0.6819,0.7024,3434692,27790165
0,Dec 23 2021,0.6481,0.8952,0.6221,0.7607,5126616,30095079
0,Dec 22 2021,0.6391,0.672,0.6203,0.6481,1525025,25639296
0,Dec 21 2021,0.5934,0.6414,0.5792,0.6395,1782939,25300586
0,Dec 20 2021,0.6266,0.6407,0.5697,0.5933,1914547,23473790
0,Dec 19 2021,0.5936,0.7092,0.5904,0.6268,2554633,24796035
0,Dec 18 2021,0.5782,0.6008,0.551,0.5937,1944918,23488598
0,Dec 17 2021,0.6028,0.604,0.5423,0.5779,2586998,22863569
0,Dec 16 2021,0.6529,0.6688,0.6027,0.6027,2007668,23845180
0,Dec 15 2021,0.5892,0.6632,0.5768,0.6531,2588289,25838229
0,Dec 14 2021,0.6638,0.6764,0.5378,0.5895,2809969,23321634
0,Dec 13 2021,0.7623,0.769,0.642,0.6641,2349592,26272952
0,Dec 12 2021,0.6901,0.7979,0.6899,0.7621,2466550,30152034
0,Dec 11 2021,0.7199,0.7302,0.6726,0.6902,1988735,27307114
0,Dec 10 2021,0.7898,0.8376,0.7192,0.7202,2023034,28492109
0,Dec 09 2021,0.9047,0.9191,0.7557,0.7907,2111192,31284008
0,Dec 08 2021,0.8786,0.9272,0.8059,0.9059,2565985,35837762
0,Dec 07 2021,0.8751,0.945,0.8635,0.8779,2423054,34730863
