index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.2219,0.2261,0.2083,0.2223,336351,6673172
0,Jan 30 2022,0.2443,0.2451,0.2143,0.222,319333,6294310
0,Jan 29 2022,0.2305,0.2559,0.2233,0.2443,327290,6929195
0,Jan 28 2022,0.2404,0.2427,0.2257,0.2305,437233,6537148
0,Jan 27 2022,0.2489,0.2605,0.2203,0.2406,618892,6821933
0,Jan 26 2022,0.2592,0.274,0.2478,0.2489,558651,7059061
0,Jan 25 2022,0.2473,0.2777,0.2424,0.2591,497896,7348359
0,Jan 24 2022,0.2726,0.2726,0.2211,0.2473,432160,7012656
0,Jan 23 2022,0.2347,0.2832,0.2344,0.2726,295135,7731181
0,Jan 22 2022,0.2601,0.266,0.2129,0.2347,234803,6656275
0,Jan 21 2022,0.3218,0.3258,0.2529,0.2601,393025,7368160
0,Jan 20 2022,0.3668,0.3716,0.3219,0.3219,579370,9093181
0,Jan 19 2022,0.3705,0.3854,0.3579,0.3668,480814,10192248
0,Jan 18 2022,0.3838,0.3891,0.3578,0.3704,564381,10234453
0,Jan 17 2022,0.3912,0.3925,0.3521,0.3838,720095,10516408
0,Jan 16 2022,0.4086,0.414,0.3785,0.3913,766440,10665164
0,Jan 15 2022,0.3972,0.4249,0.3971,0.4086,741003,11101643
0,Jan 14 2022,0.3557,0.4018,0.3512,0.3972,743389,10754759
0,Jan 13 2022,0.4023,0.4031,0.3543,0.3556,697106,9584775
0,Jan 12 2022,0.3727,0.4071,0.3684,0.4023,681907,10817304
0,Jan 11 2022,0.3467,0.3753,0.3264,0.3728,911168,9979439
0,Jan 10 2022,0.397,0.3993,0.341,0.3467,615681,9243806
0,Jan 09 2022,0.3694,0.4076,0.3645,0.397,521855,10541380
0,Jan 08 2022,0.3906,0.3982,0.347,0.3693,669952,9781051
0,Jan 07 2022,0.4427,0.4447,0.3894,0.3906,761900,10319046
0,Jan 06 2022,0.4535,0.4555,0.4205,0.4428,731842,11665792
0,Jan 05 2022,0.483,0.5425,0.4251,0.4535,1164034,11895788
0,Jan 04 2022,0.4809,0.4941,0.4747,0.483,703779,12344704
0,Jan 03 2022,0.533,0.5398,0.4805,0.4809,945554,12252156
0,Jan 02 2022,0.5247,0.5643,0.5247,0.533,1104399,13455232
0,Jan 01 2022,0.4907,0.5298,0.4828,0.5247,691576,13215030
0,Dec 31 2021,0.4571,0.4946,0.4504,0.4907,749472,12327563
0,Dec 30 2021,0.4311,0.4736,0.4152,0.4571,819363,11448110
0,Dec 29 2021,0.4662,0.4751,0.4264,0.4311,632764,10757521
0,Dec 28 2021,0.5086,0.5086,0.4546,0.4662,891857,11392370
0,Dec 27 2021,0.4933,0.5376,0.4863,0.5085,854091,12385343
0,Dec 26 2021,0.4922,0.4987,0.4736,0.4935,599701,11979371
0,Dec 25 2021,0.4948,0.5108,0.4845,0.4921,621215,11931963
0,Dec 24 2021,0.5101,0.5579,0.4931,0.4942,822700,11966807
0,Dec 23 2021,0.4794,0.5226,0.4774,0.5101,645188,12322830
0,Dec 22 2021,0.5176,0.5311,0.4794,0.4794,514581,11558552
0,Dec 21 2021,0.5149,0.5351,0.4891,0.5175,727627,12453400
0,Dec 20 2021,0.5414,0.5446,0.4747,0.5145,727949,12346923
0,Dec 19 2021,0.5847,0.5922,0.535,0.5409,602092,12944615
0,Dec 18 2021,0.5656,0.6068,0.5401,0.5849,1045894,13980653
0,Dec 17 2021,0.5032,0.5757,0.5023,0.5659,1412039,13509972
0,Dec 16 2021,0.5252,0.5589,0.5001,0.5031,1242338,11986106
0,Dec 15 2021,0.468,0.561,0.4677,0.525,1896094,12479927
0,Dec 14 2021,0.4193,0.4683,0.407,0.4677,1179930,11082546
0,Dec 13 2021,0.5402,0.5523,0.4119,0.4194,1254868,9919717
0,Dec 12 2021,0.4555,0.5498,0.4434,0.5402,1466024,12712658
0,Dec 11 2021,0.4674,0.4688,0.4208,0.4551,1191396,10697870
0,Dec 10 2021,0.517,0.5476,0.4657,0.4657,1112565,10933539
