index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.06054,0.06054,0.05638,0.05953,203946,2989016
0,Jan 30 2022,0.06167,0.0646,0.05938,0.06054,167432,3039577
0,Jan 29 2022,0.05937,0.06169,0.05909,0.06146,210068,3085837
0,Jan 28 2022,0.05814,0.06038,0.05686,0.05949,139425,2986826
0,Jan 27 2022,0.05909,0.05987,0.05608,0.05822,177001,2923359
0,Jan 26 2022,0.06292,0.06498,0.05829,0.0591,358248,2967449
0,Jan 25 2022,0.05593,0.06734,0.05302,0.06293,387749,3159535
0,Jan 24 2022,0.06372,0.06427,0.05101,0.05592,614566,2807869
0,Jan 23 2022,0.05239,0.07742,0.05187,0.06365,1602726,3195606
0,Jan 22 2022,0.06175,0.0629,0.05136,0.05237,204608,2629434
0,Jan 21 2022,0.0817,0.08223,0.0603,0.06183,496003,3104530
0,Jan 20 2022,0.08845,0.08997,0.08091,0.08185,231273,4109679
0,Jan 19 2022,0.09037,0.091,0.08531,0.08849,211966,4443004
0,Jan 18 2022,0.09163,0.09235,0.08828,0.09044,187659,4540915
0,Jan 17 2022,0.09956,0.09984,0.09001,0.09184,207564,4611322
0,Jan 16 2022,0.1026,0.1026,0.09809,0.09943,173115,4992198
0,Jan 15 2022,0.1009,0.1061,0.09795,0.1026,346468,5152522
0,Jan 14 2022,0.09664,0.1034,0.09506,0.1008,256410,5060658
0,Jan 13 2022,0.1015,0.1048,0.09533,0.09661,278176,4850937
0,Jan 12 2022,0.09591,0.102,0.09424,0.1016,357600,5100719
0,Jan 11 2022,0.1006,0.1018,0.09004,0.09591,303392,4815519
0,Jan 10 2022,0.1075,0.1104,0.09715,0.1006,193128,5049654
0,Jan 09 2022,0.1056,0.1118,0.1042,0.1075,156833,5395082
0,Jan 08 2022,0.1093,0.1134,0.1032,0.1057,226973,5306711
0,Jan 07 2022,0.1112,0.1137,0.1032,0.1093,286951,5489502
0,Jan 06 2022,0.115,0.1152,0.1096,0.1114,126765,5592908
0,Jan 05 2022,0.1288,0.1303,0.1109,0.115,391952,5774323
0,Jan 04 2022,0.1295,0.1321,0.1273,0.1288,216121,6465689
0,Jan 03 2022,0.1334,0.1344,0.127,0.1293,254452,6493826
0,Jan 02 2022,0.1288,0.1368,0.1281,0.1334,266177,6700067
0,Jan 01 2022,0.1295,0.1331,0.1279,0.1288,165725,6468580
0,Dec 31 2021,0.1267,0.1318,0.1258,0.1295,248996,6504124
0,Dec 30 2021,0.1276,0.1324,0.1228,0.1261,196698,6331513
0,Dec 29 2021,0.1295,0.1341,0.1268,0.1275,195762,6404040
0,Dec 28 2021,0.1477,0.149,0.1277,0.1304,344823,6546466
0,Dec 27 2021,0.1498,0.1557,0.1467,0.1476,348402,7410978
0,Dec 26 2021,0.1453,0.1527,0.1393,0.1498,361183,7523110
0,Dec 25 2021,0.1434,0.151,0.1416,0.1449,259655,7277290
0,Dec 24 2021,0.143,0.1548,0.142,0.1433,482818,7195974
0,Dec 23 2021,0.135,0.1509,0.1256,0.1429,1042365,7173603
0,Dec 22 2021,0.1391,0.1411,0.13,0.1348,2738716,6767435
0,Dec 21 2021,0.1316,0.1393,0.1311,0.1392,275129,6986848
0,Dec 20 2021,0.136,0.1383,0.1218,0.1317,1246905,6614013
0,Dec 19 2021,0.1447,0.1447,0.1323,0.136,2075486,6827500
0,Dec 18 2021,0.1221,0.1587,0.121,0.1449,3862233,7273779
0,Dec 17 2021,0.1301,0.132,0.1214,0.122,427019,6126584
0,Dec 16 2021,0.1342,0.1465,0.1285,0.1296,1299535,6507105
0,Dec 15 2021,0.1219,0.147,0.1209,0.1342,615346,6736894
0,Dec 14 2021,0.1208,0.1265,0.1144,0.1151,394918,5777794
0,Dec 13 2021,0.1405,0.1432,0.1154,0.1206,511841,6052779
0,Dec 12 2021,0.1479,0.1494,0.1374,0.1405,350893,7053276
0,Dec 11 2021,0.1358,0.1501,0.1309,0.148,505576,7430316
0,Dec 10 2021,0.1606,0.1641,0.1348,0.1353,528502,6792879
0,Dec 09 2021,0.1841,0.1842,0.1566,0.1605,426049,8059186
0,Dec 08 2021,0.1819,0.1833,0.1635,0.1826,582681,9170273
0,Dec 07 2021,0.1764,0.1978,0.1741,0.1811,716966,9092736
0,Dec 06 2021,0.1763,0.1838,0.1519,0.177,805641,8887561
0,Dec 05 2021,0.2105,0.2224,0.1686,0.1754,816196,8806157
0,Dec 04 2021,0.244,0.244,0.189,0.2103,1159629,10556219
0,Dec 03 2021,0.2687,0.2737,0.2289,0.2432,914401,12207366
0,Dec 02 2021,0.2866,0.2878,0.2567,0.2683,827485,13469138
0,Dec 01 2021,0.2933,0.3067,0.2833,0.286,1081734,14358588
0,Nov 30 2021,0.3383,0.3487,0.2919,0.2941,1948722,14764347
0,Nov 29 2021,0.2836,0.381,0.2836,0.3383,2979613,16983231
0,Nov 28 2021,0.2944,0.2956,0.2649,0.2839,1129621,13257908
0,Nov 27 2021,0.3055,0.3225,0.2847,0.293,1556255,13682110
0,Nov 26 2021,0.3414,0.3448,0.2954,0.3054,2401608,14261577
0,Nov 25 2021,0.3941,0.405,0.3347,0.375,7444702,17510966
0,Nov 24 2021,0.2863,0.4093,0.2774,0.2811,1300131,13126698
0,Nov 23 2021,0.2706,0.2885,0.2637,0.2851,1328341,13310339
0,Nov 22 2021,0.2652,0.2828,0.24,0.2705,1735646,12629922
0,Nov 21 2021,0.2849,0.2966,0.2612,0.2648,1782746,12365787
0,Nov 20 2021,0.2657,0.2867,0.2457,0.2864,1469877,13373239
0,Nov 19 2021,0.2406,0.2707,0.2231,0.2653,1133757,12385487
0,Nov 18 2021,0.2725,0.287,0.2324,0.2404,1298149,11226931
0,Nov 17 2021,0.244,0.2905,0.2287,0.2735,1479148,12768182
