index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,16.27,16.86,16.15,16.22,2126513,246584049
0,Jan 31 2022,13.98,16.57,13.66,16.27,2663080,247460124
0,Jan 30 2022,16.28,16.84,13.89,13.99,3557457,212741653
0,Jan 29 2022,14.45,16.75,14.42,16.25,3458013,247152497
0,Jan 28 2022,12.23,14.55,12.23,14.45,3195535,219665109
0,Jan 27 2022,12.31,12.62,11.72,12.26,1232796,186496739
0,Jan 26 2022,12.29,12.95,11.69,12.32,2116681,187336607
0,Jan 25 2022,12.69,12.82,11.79,12.30,1544308,186967813
0,Jan 24 2022,12.93,12.95,10.47,12.68,2961487,192790245
0,Jan 23 2022,11.67,13.70,11.29,12.92,3683773,196527708
0,Jan 22 2022,12.52,13.50,10.71,11.66,4573215,177340837
0,Jan 21 2022,14.47,15.20,12.11,12.52,6349094,190368890
0,Jan 20 2022,13.24,17.55,13.10,14.46,5539884,219847720
0,Jan 19 2022,13.46,13.83,12.55,13.25,2293152,201408156
0,Jan 18 2022,13.61,13.84,12.80,13.42,1642355,204113581
0,Jan 17 2022,14.65,14.74,13.44,13.61,1422661,206984340
0,Jan 16 2022,14.62,14.87,14.31,14.65,1133289,222758449
0,Jan 15 2022,14.93,15.09,14.39,14.62,1561337,222385380
0,Jan 14 2022,14.88,15.45,14.52,14.93,1134564,227060813
0,Jan 13 2022,15.24,15.94,14.27,14.88,1896193,226286499
0,Jan 12 2022,14.30,16.85,14.03,15.24,3235060,231718049
0,Jan 11 2022,13.82,15.57,13.82,14.32,3042245,217694165
0,Jan 10 2022,15.46,15.63,13.64,13.82,2050109,210106841
0,Jan 09 2022,14.99,15.84,14.60,15.46,1086047,235157785
0,Jan 08 2022,15.37,16.16,14.15,14.99,2152407,227943426
0,Jan 07 2022,16.55,16.57,15.00,15.38,2520800,233829239
0,Jan 06 2022,15.55,16.61,14.91,16.55,2457960,251649486
0,Jan 05 2022,16.41,18.30,15.42,15.52,4156014,236002615
0,Jan 04 2022,16.88,17.14,16.04,16.41,1847193,249537922
0,Jan 03 2022,17.85,18.06,16.63,16.88,1940165,256673393
