index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.05384,0.05651,0.05357,0.05441,7689881,277243566
0,Jan 31 2022,0.05548,0.05596,0.05199,0.05383,9434634,274306402
0,Jan 30 2022,0.06049,0.06076,0.05418,0.05548,9620721,282695708
0,Jan 29 2022,0.06112,0.06276,0.05921,0.06049,9438470,308223139
0,Jan 28 2022,0.05893,0.06365,0.05695,0.06115,12696849,311619295
0,Jan 27 2022,0.05994,0.06021,0.05509,0.05896,11570080,300419656
0,Jan 26 2022,0.06117,0.06456,0.05802,0.05994,13435664,305440190
0,Jan 25 2022,0.05825,0.06397,0.05531,0.06117,22244482,311714446
0,Jan 24 2022,0.0659,0.0659,0.05032,0.05826,23826825,296860320
0,Jan 23 2022,0.0574,0.07068,0.05739,0.0659,25070195,335784730
0,Jan 22 2022,0.06732,0.07332,0.05339,0.0574,24158923,292493676
0,Jan 21 2022,0.09373,0.0939,0.06638,0.06713,15753708,342087942
0,Jan 20 2022,0.09763,0.1008,0.09374,0.09377,7367012,477816402
0,Jan 19 2022,0.09803,0.09952,0.09519,0.09764,7018406,497560040
0,Jan 18 2022,0.1,0.1008,0.09539,0.09799,8007472,499312632
0,Jan 17 2022,0.1093,0.1095,0.09848,0.1001,11177038,510044668
0,Jan 16 2022,0.11,0.1135,0.1083,0.1093,9555947,556899737
0,Jan 15 2022,0.1097,0.1127,0.1089,0.1101,7891857,560778413
0,Jan 14 2022,0.1088,0.111,0.1065,0.1098,10243228,559470193
0,Jan 13 2022,0.1148,0.1152,0.1074,0.1088,14060501,554512805
0,Jan 12 2022,0.1102,0.1173,0.1083,0.1148,11576209,585173174
0,Jan 11 2022,0.1024,0.1117,0.1007,0.1102,14821375,561591295
0,Jan 10 2022,0.1083,0.1134,0.09768,0.1024,17565931,521967695
0,Jan 09 2022,0.09664,0.1096,0.09577,0.1083,15990773,552026063
0,Jan 08 2022,0.09916,0.1038,0.09391,0.09664,10649672,492440009
0,Jan 07 2022,0.1075,0.1084,0.09914,0.09916,12666417,505283249
0,Jan 06 2022,0.1065,0.1109,0.1031,0.1078,13461455,549099900
0,Jan 05 2022,0.1233,0.124,0.1037,0.1065,14738137,542811729
0,Jan 04 2022,0.1258,0.128,0.1228,0.1233,12310958,628199596
0,Jan 03 2022,0.1338,0.1345,0.125,0.1254,10809641,639231364
0,Jan 02 2022,0.1334,0.1351,0.1316,0.1338,8738493,682028540
0,Jan 01 2022,0.1283,0.1336,0.1283,0.1335,10831483,680214764
0,Dec 31 2021,0.1342,0.1356,0.1268,0.1283,12443046,653961524
0,Dec 30 2021,0.1349,0.1402,0.1334,0.1342,14875809,683909870
0,Dec 29 2021,0.1384,0.1411,0.1348,0.1348,18536794,686879274
0,Dec 28 2021,0.1568,0.1572,0.1361,0.1385,17900286,705994976
0,Dec 27 2021,0.1532,0.1608,0.1512,0.1569,15037106,0
0,Dec 26 2021,0.1556,0.1561,0.152,0.1533,9328582,0
0,Dec 25 2021,0.1583,0.1595,0.1553,0.1555,10420378,0
0,Dec 24 2021,0.1586,0.164,0.1569,0.1585,17164406,0
0,Dec 23 2021,0.1508,0.159,0.1473,0.1586,16058918,0
0,Dec 22 2021,0.1513,0.1534,0.149,0.1508,13981140,0
0,Dec 21 2021,0.1471,0.1541,0.1455,0.1512,14939277,0
0,Dec 20 2021,0.1557,0.1566,0.1435,0.147,16424817,0
0,Dec 19 2021,0.1564,0.1595,0.1549,0.1558,13950322,0
0,Dec 18 2021,0.1529,0.1569,0.1496,0.1565,16666476,0
0,Dec 17 2021,0.1575,0.163,0.1466,0.1528,21359322,0
0,Dec 16 2021,0.1671,0.1724,0.1574,0.1574,30253435,0
0,Dec 15 2021,0.1494,0.1704,0.1494,0.1671,37792827,0
0,Dec 14 2021,0.1464,0.1496,0.1409,0.1412,30935679,0
0,Dec 13 2021,0.1788,0.1791,0.1407,0.1463,44158596,0
0,Dec 12 2021,0.191,0.1919,0.178,0.1788,23606251,0
0,Dec 11 2021,0.1944,0.1979,0.1872,0.191,26806808,0
0,Dec 10 2021,0.2069,0.2102,0.1946,0.1946,42908391,0
0,Dec 09 2021,0.2147,0.221,0.1923,0.2072,52283128,0
0,Dec 08 2021,0.2079,0.2152,0.1968,0.215,43925920,0
0,Dec 07 2021,0.2029,0.2107,0.1996,0.2079,57861979,0
0,Dec 06 2021,0.2158,0.2168,0.1837,0.2027,112660540,0
0,Dec 05 2021,0.2084,0.2258,0.1976,0.2153,98282598,0
0,Dec 04 2021,0.226,0.227,0.1818,0.2089,82930586,0
0,Dec 03 2021,0.2267,0.2518,0.2211,0.226,90417627,0
0,Dec 02 2021,0.2443,0.2489,0.2169,0.2266,130439143,0
0,Dec 01 2021,0.2212,0.2474,0.2105,0.2445,141364079,0
0,Nov 30 2021,0.2231,0.2343,0.2039,0.2207,147004747,0
0,Nov 29 2021,0.1675,0.2348,0.1661,0.2227,202685566,0
0,Nov 28 2021,0.1467,0.1743,0.1387,0.1675,81836204,0
0,Nov 27 2021,0.1321,0.1502,0.1309,0.1466,43288609,0
0,Nov 26 2021,0.1421,0.1454,0.1239,0.1322,50961708,0
0,Nov 25 2021,0.1256,0.1453,0.1236,0.133,32569785,0
0,Nov 24 2021,0.1177,0.1269,0.115,0.1192,18587205,0
0,Nov 23 2021,0.1086,0.1205,0.1086,0.1177,24061347,0
0,Nov 22 2021,0.1136,0.1136,0.1068,0.1085,23357424,0
0,Nov 21 2021,0.1142,0.1166,0.1116,0.1136,44569311,0
0,Nov 20 2021,0.119,0.1301,0.1085,0.1145,59400798,0
0,Nov 19 2021,0.0939,0.1204,0.0921,0.1188,39207740,0
0,Nov 18 2021,0.1027,0.1074,0.09164,0.09378,23112530,0
0,Nov 17 2021,0.1021,0.1046,0.09672,0.1033,23217821,0
0,Nov 16 2021,0.1098,0.11,0.09738,0.1022,25149423,0
0,Nov 15 2021,0.1184,0.1195,0.1091,0.1098,18654376,0
0,Nov 14 2021,0.1204,0.1254,0.1174,0.1184,18756066,0
0,Nov 13 2021,0.1166,0.121,0.1134,0.1205,23713623,0
0,Nov 12 2021,0.1243,0.1255,0.1114,0.1164,32984189,0
0,Nov 11 2021,0.1104,0.1296,0.1104,0.1242,47163995,0
0,Nov 10 2021,0.1248,0.1273,0.1054,0.1104,42045716,0
0,Nov 09 2021,0.1353,0.1356,0.1181,0.1249,37857219,0
0,Nov 08 2021,0.1474,0.1476,0.134,0.1353,32289261,0
