index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.1943,0.1996,0.1867,0.1982,796955,15659416
0,Jan 31 2022,0.1844,0.2012,0.1728,0.1943,739306,15349745
0,Jan 30 2022,0.1902,0.1907,0.1778,0.1844,398909,14570120
0,Jan 29 2022,0.1909,0.1928,0.1811,0.1902,707187,15030184
0,Jan 28 2022,0.1994,0.2015,0.1871,0.1909,985692,15082883
0,Jan 27 2022,0.196,0.2075,0.1918,0.1994,1087122,15751661
0,Jan 26 2022,0.2086,0.2231,0.1927,0.196,1177322,15488345
0,Jan 25 2022,0.2171,0.2262,0.2,0.2086,1579733,16485211
0,Jan 24 2022,0.2078,0.2189,0.1744,0.2171,1791283,17150711
0,Jan 23 2022,0.1947,0.2283,0.1922,0.2078,2033116,16417328
0,Jan 22 2022,0.2073,0.2106,0.1559,0.1947,2774456,15383476
0,Jan 21 2022,0.2779,0.2779,0.2066,0.2073,1868331,16381632
0,Jan 20 2022,0.3061,0.3119,0.2753,0.2779,957001,21956190
0,Jan 19 2022,0.3375,0.3375,0.3061,0.3061,766774,24186783
0,Jan 18 2022,0.3366,0.3668,0.3168,0.3375,1511509,26663125
0,Jan 17 2022,0.3061,0.3502,0.2895,0.3366,1552494,26595563
0,Jan 16 2022,0.334,0.3364,0.2962,0.3061,898342,24185894
0,Jan 15 2022,0.3395,0.3513,0.3309,0.334,630497,26389133
0,Jan 14 2022,0.3486,0.3559,0.3337,0.3395,2185667,26823816
0,Jan 13 2022,0.3734,0.3831,0.3404,0.3486,3801220,27546383
0,Jan 12 2022,0.3336,0.3961,0.3336,0.3734,1771761,29504923
0,Jan 11 2022,0.2928,0.3358,0.2895,0.3336,982891,26356081
0,Jan 10 2022,0.3094,0.3108,0.2829,0.2928,897570,23136125
0,Jan 09 2022,0.3128,0.3175,0.2911,0.3092,863106,24427825
0,Jan 08 2022,0.3116,0.3332,0.289,0.3128,1122302,24713111
0,Jan 07 2022,0.362,0.3621,0.2993,0.3116,1372809,24623121
0,Jan 06 2022,0.3397,0.3635,0.3338,0.362,2007614,28604854
0,Jan 05 2022,0.3708,0.4046,0.3381,0.3397,2459423,26836840
0,Jan 04 2022,0.3349,0.3763,0.3269,0.3708,1567555,29298693
0,Jan 03 2022,0.3669,0.378,0.3303,0.3349,1754258,26459297
0,Jan 02 2022,0.326,0.3836,0.3239,0.3669,2637010,28990478
0,Jan 01 2022,0.2486,0.3627,0.2483,0.325,2937063,25682304
0,Dec 31 2021,0.2304,0.2497,0.2275,0.2486,1714616,19641145
0,Dec 30 2021,0.2377,0.2676,0.2252,0.2306,1958211,18224097
0,Dec 29 2021,0.265,0.2721,0.2353,0.2376,868297,18770329
0,Dec 28 2021,0.2785,0.2785,0.254,0.2656,1141183,20987434
0,Dec 27 2021,0.3045,0.3045,0.2739,0.2787,1532979,22023834
0,Dec 26 2021,0.3094,0.3094,0.2863,0.3048,753061,24082968
0,Dec 25 2021,0.3237,0.3261,0.3019,0.309,959384,24414185
