index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.05666,0.05961,0.0545,0.0583,2682345,3285766
0,Jan 30 2022,0.06004,0.06008,0.05583,0.05666,2197259,3192932
0,Jan 29 2022,0.05974,0.06733,0.0582,0.06004,2471402,3383863
0,Jan 28 2022,0.06025,0.0608,0.05948,0.05974,2347373,3366755
0,Jan 27 2022,0.06119,0.06591,0.05847,0.06025,1401613,3395432
0,Jan 26 2022,0.06055,0.06609,0.05963,0.06125,1550518,3451996
0,Jan 25 2022,0.05885,0.06343,0.05747,0.06049,1897721,3409042
0,Jan 24 2022,0.06014,0.06072,0.05003,0.05886,1909293,3317093
0,Jan 23 2022,0.05695,0.06426,0.05665,0.05993,2038608,3377563
0,Jan 22 2022,0.06399,0.0672,0.05069,0.05696,2373752,3210378
0,Jan 21 2022,0.07372,0.074,0.06377,0.06398,1918442,3605714
0,Jan 20 2022,0.07723,0.08205,0.07358,0.07358,1557242,4146815
0,Jan 19 2022,0.08254,0.08254,0.07587,0.07724,1357415,4352834
0,Jan 18 2022,0.07766,0.08463,0.07544,0.08263,1595296,4656562
0,Jan 17 2022,0.08996,0.09017,0.0765,0.07766,1511148,4376955
0,Jan 16 2022,0.09261,0.09479,0.08511,0.08994,2506225,5068848
0,Jan 15 2022,0.08357,0.09966,0.08043,0.09264,3249183,5220917
0,Jan 14 2022,0.07017,0.0855,0.06987,0.08356,2089038,4709303
0,Jan 13 2022,0.06882,0.07199,0.06695,0.07011,2107412,3951429
0,Jan 12 2022,0.06684,0.07014,0.06277,0.06883,1424537,3878886
0,Jan 11 2022,0.06166,0.06837,0.0614,0.06666,1496804,3756794
0,Jan 10 2022,0.0651,0.068,0.05716,0.0617,1374104,3477042
0,Jan 09 2022,0.06615,0.06672,0.06248,0.0651,1483747,3668942
0,Jan 08 2022,0.06436,0.06922,0.05999,0.06616,1886971,3728337
0,Jan 07 2022,0.07287,0.07326,0.06415,0.06435,2442510,3626707
0,Jan 06 2022,0.06302,0.07331,0.05739,0.07292,3953464,4109671
0,Jan 05 2022,0.0708,0.07554,0.06295,0.06304,6777953,3552648
0,Jan 04 2022,0.09939,0.1036,0.06389,0.07085,6230990,3992720
0,Jan 03 2022,0.0969,0.1135,0.08557,0.09939,2503988,5601478
0,Jan 02 2022,0.09224,0.09881,0.09193,0.0969,2140140,5461030
0,Jan 01 2022,0.1003,0.1062,0.08858,0.09226,2239189,5199264
0,Dec 31 2021,0.1021,0.1066,0.09835,0.1003,1759184,5653789
0,Dec 30 2021,0.1031,0.1077,0.09475,0.1022,1919325,5759874
0,Dec 29 2021,0.1054,0.1114,0.09995,0.103,1843128,5806940
0,Dec 28 2021,0.1254,0.1268,0.1048,0.1055,2022842,5947737
0,Dec 27 2021,0.1221,0.1305,0.1195,0.1254,2515541,7068870
0,Dec 26 2021,0.1162,0.1249,0.1142,0.1222,2415044,6886109
0,Dec 25 2021,0.1195,0.122,0.1118,0.1161,2322513,6542586
0,Dec 24 2021,0.1207,0.1301,0.1171,0.1197,2655697,6745636
0,Dec 23 2021,0.1095,0.1255,0.1061,0.1206,2007879,6795925
0,Dec 22 2021,0.1096,0.1217,0.108,0.1095,1966506,6169187
0,Dec 21 2021,0.1022,0.1132,0.1008,0.1097,2335051,6179690
0,Dec 20 2021,0.1085,0.1087,0.09251,0.1022,1804544,5760520
0,Dec 19 2021,0.1143,0.1176,0.1069,0.1086,1406903,6118688
0,Dec 18 2021,0.1137,0.1247,0.1113,0.1143,1776600,6440184
0,Dec 17 2021,0.1189,0.1267,0.1135,0.1137,1799290,6407560
0,Dec 16 2021,0.1276,0.1334,0.1189,0.1189,2137372,6698925
0,Dec 15 2021,0.104,0.13,0.0972,0.1276,2253569,7189836
0,Dec 14 2021,0.09984,0.1068,0.09803,0.09957,1932469,5611707
0,Dec 13 2021,0.1156,0.1193,0.09772,0.09986,2626355,5628005
0,Dec 12 2021,0.123,0.1282,0.1138,0.1156,2251681,6516679
0,Dec 11 2021,0.1141,0.1236,0.1128,0.1231,2264254,6936179
0,Dec 10 2021,0.1295,0.1356,0.1123,0.1143,2556870,6440199
0,Dec 09 2021,0.1412,0.1467,0.1252,0.1297,2070421,7307810
0,Dec 08 2021,0.1538,0.1538,0.1352,0.1413,2385471,7964298
0,Dec 07 2021,0.1554,0.1632,0.148,0.1535,3197454,8652825
0,Dec 06 2021,0.1448,0.1557,0.1234,0.1553,4393658,8752853
0,Dec 05 2021,0.1617,0.168,0.1393,0.1446,4967873,8146954
0,Dec 04 2021,0.179,0.179,0.15,0.1617,3916635,9111842
0,Dec 03 2021,0.1943,0.2264,0.1704,0.179,5261369,10088972
0,Dec 02 2021,0.2004,0.2007,0.1699,0.1943,6943280,10949968
0,Dec 01 2021,0.2112,0.2185,0.1936,0.2006,9395728,11307340
0,Nov 30 2021,0.2328,0.2477,0.208,0.2115,6940444,11921323
0,Nov 29 2021,0.2251,0.2331,0.2023,0.2328,5186566,13117630
0,Nov 28 2021,0.2152,0.2288,0.1899,0.2251,5637035,12688051
0,Nov 27 2021,0.2328,0.2338,0.2049,0.2153,7590792,12131233
0,Nov 26 2021,0.2541,0.2701,0.1989,0.233,12855169,13131879
0,Nov 25 2021,0.2079,0.2723,0.207,0.2391,8432272,13474713
0,Nov 24 2021,0.1752,0.2168,0.1704,0.1731,2991281,9755689
0,Nov 23 2021,0.1626,0.1811,0.1569,0.1753,4596696,9877263
0,Nov 22 2021,0.1677,0.1777,0.1561,0.1626,4031076,9161860
0,Nov 21 2021,0.1985,0.199,0.1677,0.1678,5063445,9456084
0,Nov 20 2021,0.1657,0.2107,0.1657,0.1986,5977230,11195212
0,Nov 19 2021,0.1412,0.1696,0.1405,0.1657,4989185,9338046
0,Nov 18 2021,0.1714,0.1717,0.1403,0.1409,4960995,7940932
0,Nov 17 2021,0.1672,0.1763,0.1491,0.1715,4921661,9663783
0,Nov 16 2021,0.1897,0.1897,0.1561,0.1672,4448425,9424013
0,Nov 15 2021,0.2082,0.2192,0.1802,0.1899,5442426,10701675
0,Nov 14 2021,0.2021,0.2284,0.1986,0.2082,5327911,11733341
0,Nov 13 2021,0.1807,0.2056,0.1742,0.2021,7276296,11391983
0,Nov 12 2021,0.1864,0.193,0.1596,0.1805,8860908,10174622
0,Nov 11 2021,0.2128,0.2295,0.1739,0.1864,9705616,10503553
0,Nov 10 2021,0.229,0.2494,0.1826,0.2126,12007903,11982298
0,Nov 09 2021,0.2594,0.2719,0.2132,0.2293,18512014,12925319
0,Nov 08 2021,0.1909,0.2623,0.1782,0.2594,17717021,14619298
0,Nov 07 2021,0.1998,0.2136,0.1807,0.1908,13562917,10754837
0,Nov 06 2021,0.1733,0.2208,0.1704,0.1998,15822955,11258056
0,Nov 05 2021,0.1341,0.1926,0.129,0.1732,11374028,9759121
0,Nov 04 2021,0.138,0.1585,0.1219,0.1343,7133661,7569630
0,Nov 03 2021,0.127,0.1447,0.1152,0.1377,6511073,7757735
