index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,2.70,2.75,2.54,2.70,59620392,215577466
0,Jan 30 2022,2.61,2.85,2.58,2.70,69840141,215450608
0,Jan 29 2022,2.60,2.67,2.57,2.61,42529891,208563041
0,Jan 28 2022,2.64,2.66,2.50,2.60,53657622,207709033
0,Jan 27 2022,2.57,2.66,2.45,2.64,49003546,210956029
0,Jan 26 2022,2.63,2.80,2.52,2.57,52717410,205183714
0,Jan 25 2022,2.56,2.68,2.46,2.63,41916674,210004239
0,Jan 24 2022,2.69,2.70,2.32,2.56,45667076,204220385
0,Jan 23 2022,2.58,2.79,2.57,2.69,51075282,215004730
0,Jan 22 2022,2.73,2.79,2.36,2.58,67814688,206180852
0,Jan 21 2022,3.29,3.34,2.70,2.72,74259400,217535032
0,Jan 20 2022,3.52,3.65,3.29,3.29,46790688,262820531
0,Jan 19 2022,3.60,3.63,3.42,3.52,54136388,281219624
0,Jan 18 2022,3.64,3.67,3.47,3.60,56834428,287373406
0,Jan 17 2022,3.87,3.88,3.59,3.64,70214659,290996316
0,Jan 16 2022,3.95,3.97,3.82,3.87,57611890,309389074
0,Jan 15 2022,3.94,4.06,3.89,3.95,55187360,315517189
0,Jan 14 2022,3.91,3.99,3.75,3.94,65503737,314839045
0,Jan 13 2022,4.23,4.24,3.89,3.91,83222182,311892653
0,Jan 12 2022,4.02,4.27,3.93,4.23,83008609,337700630
0,Jan 11 2022,3.72,4.09,3.70,4.02,85126934,321321771
0,Jan 10 2022,3.96,4.05,3.50,3.72,76763261,297129987
0,Jan 09 2022,3.86,4.07,3.82,3.96,58756116,316319531
0,Jan 08 2022,4.01,4.22,3.73,3.86,79957157,308003640
0,Jan 07 2022,4.49,4.50,3.91,4.01,95884660,320378987
0,Jan 06 2022,4.59,4.59,4.23,4.49,90549694,358303297
0,Jan 05 2022,4.98,5.08,4.45,4.59,82805223,366515414
0,Jan 04 2022,5.09,5.18,4.98,4.98,76454383,397897023
0,Jan 03 2022,5.28,5.28,5.07,5.09,65992820,406677690
0,Jan 02 2022,5.38,5.38,5.22,5.28,67384557,421420346
0,Jan 01 2022,5.19,5.39,5.19,5.39,84512859,430008934
0,Dec 31 2021,5.52,5.58,5.15,5.19,100452755,414098516
0,Dec 30 2021,5.31,5.78,5.20,5.52,124898138,440422928
0,Dec 29 2021,5.50,5.76,5.23,5.30,123225703,423410024
0,Dec 28 2021,6.06,6.07,5.42,5.50,143858811,438828704
0,Dec 27 2021,6.13,6.53,6.04,6.05,184792778,483068893
0,Dec 26 2021,5.99,6.19,5.64,6.14,151704443,490018921
0,Dec 25 2021,5.90,6.24,5.84,6.00,163614958,479043793
0,Dec 24 2021,6.46,6.54,5.87,5.91,258844748,472093136
0,Dec 23 2021,5.19,6.62,5.00,6.46,314809190,515572443
0,Dec 22 2021,5.04,5.44,5.04,5.19,113892106,414794020
0,Dec 21 2021,4.94,5.20,4.87,5.04,83756996,402392323
0,Dec 20 2021,5.11,5.18,4.74,4.94,79450291,394600565
0,Dec 19 2021,5.32,5.39,5.10,5.11,78479704,408134648
0,Dec 18 2021,5.54,5.56,5.26,5.32,105523507,424689989
0,Dec 17 2021,5.17,5.58,4.97,5.53,131208905,441693724
0,Dec 16 2021,5.49,5.66,5.13,5.17,143583918,412917254
0,Dec 15 2021,5.09,5.64,4.86,5.50,171131078,439162367
0,Dec 14 2021,5.17,5.34,4.81,4.84,116440816,386194098
0,Dec 13 2021,6.15,6.21,5.07,5.17,143118622,412910320
0,Dec 12 2021,5.82,6.53,5.80,6.13,227988644,489760001
0,Dec 11 2021,5.51,5.98,5.41,5.83,124971967,465529092
0,Dec 10 2021,5.88,6.22,5.48,5.49,153525652,438260226
0,Dec 09 2021,6.70,6.85,5.76,5.88,181788460,469310754
0,Dec 08 2021,6.61,6.99,6.34,6.70,240116272,535299173
0,Dec 07 2021,7.10,7.85,6.52,6.62,449107510,528434925
0,Dec 06 2021,9.22,9.31,6.09,7.10,786260988,566967286
0,Dec 05 2021,8.21,10.15,7.79,9.20,684134811,734857165
0,Dec 04 2021,8.84,8.90,6.62,8.23,384018793,657124541
0,Dec 03 2021,9.62,10.18,8.37,8.84,499550007,705834613
0,Dec 02 2021,10.82,11.55,9.26,9.60,1323144104,766787649
0,Dec 01 2021,12.70,15.68,10.33,10.82,3125490262,863958074
0,Nov 30 2021,7.45,14.54,7.14,12.66,2257884222,1011220181
0,Nov 29 2021,6.38,8.07,6.12,7.48,537048345,597444853
0,Nov 28 2021,6.08,6.39,5.65,6.38,156740146,509697392
0,Nov 27 2021,6.39,6.96,5.98,6.07,173422771,484723136
0,Nov 26 2021,7.27,7.69,6.00,6.39,253898337,510293813
0,Nov 25 2021,7.39,8.18,6.96,7.23,321950207,570306635
0,Nov 24 2021,6.36,7.61,6.30,6.60,223981142,520670532
0,Nov 23 2021,5.91,6.97,5.89,6.36,245246835,501801443
0,Nov 22 2021,6.66,6.78,5.88,5.90,235212096,464044859
0,Nov 21 2021,8.22,8.27,6.66,6.67,375500316,524274151
0,Nov 20 2021,6.83,8.75,6.67,8.21,712116849,643558138
0,Nov 19 2021,7.14,8.52,6.41,6.87,881900002,537386727
0,Nov 18 2021,5.01,7.99,4.61,7.14,1185061256,558225193
0,Nov 17 2021,4.23,5.24,4.12,5.01,154860498,386197957
0,Nov 16 2021,4.54,4.55,4.12,4.24,90546930,326813756
0,Nov 15 2021,4.94,5.29,4.52,4.54,137260615,349999449
0,Nov 14 2021,4.53,5.82,4.47,4.94,325357788,380983189
0,Nov 13 2021,4.26,4.69,4.13,4.54,90707902,350149770
0,Nov 12 2021,4.29,4.65,4.09,4.26,101988209,327636298
0,Nov 11 2021,3.98,4.38,3.93,4.28,93076399,329016876
0,Nov 10 2021,4.08,4.34,3.82,3.98,85844419,305023888
0,Nov 09 2021,4.19,4.20,4.08,4.09,48760677,312598968
0,Nov 08 2021,4.20,4.23,4.10,4.20,42745354,320620748
0,Nov 07 2021,4.20,4.30,4.16,4.19,47042594,318089818
0,Nov 06 2021,4.26,4.26,3.98,4.20,59207785,318825183
0,Nov 05 2021,4.14,4.42,4.10,4.26,61106078,323280778
0,Nov 04 2021,4.28,4.31,4.06,4.14,57216005,313272260
0,Nov 03 2021,4.27,4.30,4.08,4.28,60443263,323566276
