index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.03205,0.03397,0.02963,0.03277,892071,10049095
0,Jan 30 2022,0.03474,0.03493,0.03108,0.03205,840015,9829897
0,Jan 29 2022,0.03549,0.03671,0.03199,0.03473,686683,10651170
0,Jan 28 2022,0.03433,0.03679,0.0342,0.03549,1083630,10883823
0,Jan 27 2022,0.04119,0.04367,0.03224,0.03433,1368679,10528425
0,Jan 26 2022,0.03414,0.04428,0.03384,0.04119,916415,12631886
0,Jan 25 2022,0.03107,0.03895,0.03101,0.03414,711299,10467767
0,Jan 24 2022,0.03188,0.03381,0.02976,0.03107,644060,9528599
0,Jan 23 2022,0.03095,0.03508,0.03087,0.03188,636605,9775010
0,Jan 22 2022,0.03741,0.03741,0.02929,0.03095,689450,9492509
0,Jan 21 2022,0.04564,0.04594,0.03651,0.03741,699066,11473392
0,Jan 20 2022,0.04634,0.04881,0.04454,0.04564,759228,13996336
0,Jan 19 2022,0.04837,0.05119,0.04617,0.04634,734432,14211497
0,Jan 18 2022,0.05023,0.05146,0.04593,0.04837,881239,14834286
0,Jan 17 2022,0.05481,0.05521,0.04828,0.05023,843810,15404699
0,Jan 16 2022,0.05453,0.0562,0.05167,0.05481,754925,16806436
0,Jan 15 2022,0.05571,0.05701,0.05318,0.05453,887085,16722625
0,Jan 14 2022,0.05693,0.05701,0.05336,0.05571,868742,17085172
0,Jan 13 2022,0.05933,0.05936,0.05677,0.05693,972056,17458217
0,Jan 12 2022,0.05881,0.0621,0.05713,0.05933,933679,18194680
0,Jan 11 2022,0.05523,0.06091,0.05467,0.05881,901107,18034434
0,Jan 10 2022,0.06206,0.06249,0.05424,0.05523,755990,16937892
0,Jan 09 2022,0.06006,0.06606,0.05678,0.06206,660707,19030245
0,Jan 08 2022,0.06118,0.0639,0.05531,0.06006,1147107,18418404
0,Jan 07 2022,0.07014,0.07076,0.05737,0.06118,1301895,18761719
0,Jan 06 2022,0.07183,0.07431,0.06668,0.07014,1261840,21509541
0,Jan 05 2022,0.07966,0.08198,0.07057,0.07183,1444755,22028361
0,Jan 04 2022,0.08401,0.08416,0.07903,0.07966,1522503,24427169
0,Jan 03 2022,0.08314,0.08758,0.08114,0.08401,1507961,25763472
0,Jan 02 2022,0.0866,0.08671,0.08108,0.08314,1599774,25495304
0,Jan 01 2022,0.0799,0.09123,0.07831,0.0866,1648128,26556629
0,Dec 31 2021,0.09077,0.09265,0.07866,0.0799,1608938,24501392
0,Dec 30 2021,0.08497,0.09328,0.08328,0.09085,1729657,27859454
0,Dec 29 2021,0.08539,0.08926,0.08228,0.08491,1854627,26037326
0,Dec 28 2021,0.1066,0.1069,0.08224,0.08558,3647550,26244149
0,Dec 27 2021,0.08552,0.1158,0.08102,0.1067,3924439,32710900
0,Dec 26 2021,0.08741,0.09001,0.08126,0.08561,2060985,26253568
0,Dec 25 2021,0.08459,0.09645,0.0767,0.08733,1874937,26781009
0,Dec 24 2021,0.0898,0.09136,0.07896,0.08472,2028909,25979735
0,Dec 23 2021,0.07372,0.09592,0.07119,0.08976,2217206,27525950
0,Dec 22 2021,0.072,0.07699,0.06938,0.07371,1582224,22602870
0,Dec 21 2021,0.06516,0.0757,0.06447,0.07203,1679996,22089989
0,Dec 20 2021,0.07181,0.07181,0.05732,0.06516,1426000,19983133
0,Dec 19 2021,0.06974,0.07466,0.06676,0.07184,1813239,22029750
0,Dec 18 2021,0.08362,0.08751,0.06605,0.06973,2843125,21383428
0,Dec 17 2021,0.09336,0.1103,0.0766,0.0836,3927837,25637814
0,Dec 16 2021,0.07505,0.1231,0.06673,0.09337,3265807,28632129
0,Dec 15 2021,0.06187,0.07842,0.05407,0.07502,1040143,23006959
0,Dec 14 2021,0.06378,0.06465,0.0581,0.05984,730461,18349983
0,Dec 13 2021,0.07828,0.07828,0.06057,0.0638,832109,19564132
0,Dec 12 2021,0.07332,0.07852,0.06779,0.0783,718861,24012607
0,Dec 11 2021,0.07025,0.07412,0.06609,0.07333,1061609,22488693
0,Dec 10 2021,0.07888,0.08138,0.06475,0.07035,1112333,21572011
0,Dec 09 2021,0.09947,0.1029,0.06846,0.07903,1178647,24233843
0,Dec 08 2021,0.1003,0.1035,0.08463,0.09966,1431541,30562459
0,Dec 07 2021,0.09769,0.1046,0.0868,0.1002,2307841,30715708
0,Dec 06 2021,0.1053,0.1077,0.07265,0.09775,6227242,29974828
0,Dec 05 2021,0.1244,0.127,0.09819,0.1052,4828210,32272863
0,Dec 04 2021,0.1531,0.1538,0.116,0.1244,5648316,38136235
0,Dec 03 2021,0.1723,0.1723,0.1455,0.1531,10669767,46952117
0,Dec 02 2021,0.1761,0.1857,0.1498,0.1723,17158581,52842820
0,Dec 01 2021,0.1349,0.1931,0.1346,0.1763,10415749,54049639
0,Nov 30 2021,0.1378,0.142,0.121,0.135,6557830,41407046
0,Nov 29 2021,0.1171,0.1432,0.1137,0.1378,6327115,42266205
0,Nov 28 2021,0.1166,0.1203,0.1119,0.1171,4696328,35919687
0,Nov 27 2021,0.1325,0.1341,0.1136,0.1166,5751248,35765810
0,Nov 26 2021,0.1366,0.1401,0.1118,0.1326,6530325,40661069
0,Nov 25 2021,0.1337,0.143,0.1152,0.1316,5209906,40365716
0,Nov 24 2021,0.1455,0.154,0.1249,0.1434,4419539,43967913
0,Nov 23 2021,0.1222,0.1487,0.1055,0.1456,5313731,44642145
0,Nov 22 2021,0.1356,0.1356,0.1166,0.1222,3378895,37476799
0,Nov 21 2021,0.1464,0.1559,0.1199,0.1357,4098655,41599899
0,Nov 20 2021,0.1547,0.1581,0.1347,0.1465,4519769,44933915
0,Nov 19 2021,0.1646,0.1738,0.135,0.1546,7224803,47418448
0,Nov 18 2021,0.1665,0.2046,0.1591,0.1644,9189476,50406312
0,Nov 17 2021,0.1678,0.1753,0.1569,0.1665,9462466,51063099
