index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,317.32,352.35,317.22,342.09,35507,3212555
0,Jan 31 2022,310.13,318.32,295.14,317.32,406,2979947
0,Jan 30 2022,307.85,312.49,303.56,310.13,0,2911479
0,Jan 29 2022,300.12,312.99,300.08,307.85,9696,2890060
0,Jan 28 2022,272.63,311.01,267.47,300.11,12268,2817412
0,Jan 27 2022,332.44,334.95,252.84,272.63,67884,2559384
0,Jan 26 2022,361.71,366.31,324.80,332.44,17865,3120863
0,Jan 25 2022,346.86,367.13,335.25,361.71,2977,3395669
0,Jan 24 2022,365.18,365.18,307.58,346.86,4092,3256311
0,Jan 23 2022,354.21,365.41,342.15,365.18,17393,3428294
0,Jan 22 2022,362.39,375.56,339.55,354.21,3348,3325310
0,Jan 21 2022,437.22,440.99,354.44,362.39,13141,3402021
0,Jan 20 2022,455.69,473.38,437.24,437.24,6164,4104734
0,Jan 19 2022,462.14,463.16,449.88,455.69,10793,4277953
0,Jan 18 2022,490.25,494.55,451.94,462.14,24049,4338513
0,Jan 17 2022,511.90,511.95,473.71,490.25,21814,4602358
0,Jan 16 2022,512.50,524.43,504.98,511.91,3188,4805700
0,Jan 15 2022,509.02,562.32,508.58,512.50,89433,4811251
0,Jan 14 2022,522.39,522.39,445.85,509.02,47893,4778580
0,Jan 13 2022,557.68,557.70,520.29,522.39,10212,4904136
0,Jan 12 2022,577.68,580.83,545.99,557.68,15088,5229823
0,Jan 11 2022,540.39,580.43,537.10,577.68,4822,5417381
0,Jan 10 2022,549.00,558.17,516.46,540.39,1483,5064984
0,Jan 09 2022,510.48,560.68,506.44,549.00,20682,5138829
0,Jan 08 2022,515.49,541.21,496.14,510.48,7358,4778304
0,Jan 07 2022,583.36,583.68,483.70,515.49,42992,4825142
0,Jan 06 2022,616.91,629.76,571.58,583.36,51788,5460446
0,Jan 05 2022,675.93,702.74,599.00,616.91,20142,5774534
0,Jan 04 2022,660.75,699.20,652.39,675.93,23125,6326977
0,Jan 03 2022,727.28,727.62,659.11,660.75,32917,6184852
0,Jan 02 2022,717.55,729.16,688.49,727.28,50854,6780314
0,Jan 01 2022,701.06,719.65,696.66,717.55,11491,6689661
0,Dec 31 2021,726.78,757.19,691.54,701.06,23587,6535926
0,Dec 30 2021,660.73,738.34,651.84,726.60,46260,6770361
0,Dec 29 2021,829.60,832.69,660.66,661.64,145003,6165115
0,Dec 28 2021,887.82,888.11,827.75,829.67,13535,7730787
0,Dec 27 2021,851.63,893.35,842.27,887.84,14725,8272751
0,Dec 26 2021,712.22,909.76,698.63,851.53,238749,7934404
0,Dec 25 2021,744.79,769.58,699.51,714.15,105351,6654326
0,Dec 24 2021,734.27,786.91,687.01,744.37,66081,6935944
0,Dec 23 2021,722.35,735.79,694.38,734.52,15813,6844207
0,Dec 22 2021,678.55,725.57,676.72,722.12,25805,6728593
0,Dec 21 2021,770.95,790.09,675.06,678.93,75516,6326196
0,Dec 20 2021,810.08,821.81,666.29,771.11,118890,7185139
0,Dec 19 2021,812.23,829.37,806.17,810.17,7106,7538948
0,Dec 18 2021,788.19,813.52,769.88,812.31,11234,7558878
0,Dec 17 2021,799.70,810.12,712.28,788.00,92596,7332594
0,Dec 16 2021,867.79,870.32,732.95,799.70,92773,7259556
0,Dec 15 2021,918.87,923.58,790.35,867.64,93703,7876358
0,Dec 14 2021,787.23,918.72,757.32,761.17,105501,6909761
0,Dec 13 2021,938.99,940.04,670.98,787.51,191671,7148873
0,Dec 12 2021,1131.09,1162.65,923.16,938.93,91250,8523529
0,Dec 11 2021,1122.04,1180.17,1098.48,1131.24,57971,10269274
0,Dec 10 2021,1169.58,1194.18,1117.29,1122.35,15840,10188580
0,Dec 09 2021,1413.75,1442.45,1166.68,1170.28,72597,10623633
0,Dec 08 2021,1240.12,1414.23,1235.05,1413.32,89772,12829959
0,Dec 07 2021,1119.23,1253.78,1115.72,1240.08,91855,11257247
0,Dec 06 2021,968.24,1120.95,875.78,1118.23,170941,10151136
0,Dec 05 2021,1128.95,1172.94,927.46,967.83,154476,8785846
0,Dec 04 2021,1224.72,1224.72,1075.94,1129.33,145934,10251885
0,Dec 03 2021,1508.03,1588.22,1170.18,1224.81,374140,11118669
0,Dec 02 2021,1832.46,1866.11,1447.83,1508.67,196348,13676647
0,Dec 01 2021,1986.30,2024.50,1606.88,1832.42,432115,16610802
0,Nov 30 2021,1564.31,2262.96,1481.36,1987.14,904810,18013310
0,Nov 29 2021,1130.56,1564.93,1129.46,1563.96,238449,14176675
0,Nov 28 2021,1153.04,1154.81,1054.78,1130.68,32342,10231899
0,Nov 27 2021,1219.03,1228.71,1120.95,1152.45,51066,10428888
0,Nov 26 2021,1522.59,1555.40,1174.59,1220.38,112376,11043688
0,Nov 25 2021,1613.58,1668.76,1294.86,1305.52,789407,11814145
0,Nov 24 2021,1090.90,1737.25,988.66,1027.96,200022,9302341
0,Nov 23 2021,802.71,1114.64,782.67,1090.40,188042,9867433
0,Nov 22 2021,806.88,844.97,787.65,802.72,63406,7253189
0,Nov 21 2021,786.76,822.38,753.52,807.17,96432,7293386
0,Nov 20 2021,801.75,806.92,765.91,786.98,94963,7110972
0,Nov 19 2021,765.05,874.33,764.92,801.87,77915,7230269
0,Nov 18 2021,921.43,958.57,741.13,764.79,178534,6895929
0,Nov 17 2021,767.94,1398.99,0,921.02,297183,8304667
0,Nov 16 2021,683.87,5980.87,0,768.49,507925,6897752
0,Nov 15 2021,1025.72,1067.78,648.85,684.35,838489,6142503
0,Nov 14 2021,1103.37,1119.22,1003.80,1026.57,119279,9214234
0,Nov 13 2021,1030.80,1149.64,1030.80,1100.21,135592,9875171
0,Nov 12 2021,1040.56,1110.81,983.09,1031.01,243733,9254049
0,Nov 11 2021,1029.50,1063.19,942.46,1039.64,119180,9331487
0,Nov 10 2021,1100.47,1159.80,1024.73,1028.76,257053,9233821
0,Nov 09 2021,1349.87,1355.31,978.51,1100.44,486358,9877233
0,Nov 08 2021,1572.39,1595.67,1324.68,1347.66,468522,12096175
0,Nov 07 2021,1580.97,1722.22,1487.36,1574.08,612296,14128521
0,Nov 06 2021,1439.36,1579.56,1344.44,1579.56,425482,14177705
0,Nov 05 2021,1624.13,1829.62,1432.09,1438.05,880435,12907497
0,Nov 04 2021,1810.43,1817.22,1612.11,1626.32,637087,14577764
0,Nov 03 2021,1603.42,2404.51,1393.73,1812.01,3372787,16242266
0,Nov 02 2021,1131.09,1751.06,918.01,1602.63,1560735,14365436
0,Nov 01 2021,1164.33,1219.60,985.48,1129.99,935205,10107571
0,Oct 31 2021,544.67,1369.82,543.43,1164.07,2246004,10412447
0,Oct 30 2021,436.50,555.56,416.12,542.62,217456,4853616
0,Oct 29 2021,431.97,444.34,422.25,436.16,22233,3901360
0,Oct 28 2021,401.39,431.65,390.84,431.51,18438,3859799
0,Oct 27 2021,442.15,459.69,400.84,400.84,12603,3578991
0,Oct 26 2021,471.98,480.99,439.96,442.38,38128,3949880
0,Oct 25 2021,411.68,474.99,405.47,471.07,80841,4206039
0,Oct 24 2021,416.18,426.29,399.53,412.32,7717,3676708
0,Oct 23 2021,373.37,421.03,371.49,415.79,49610,3707614
0,Oct 22 2021,390.02,398.59,366.67,373.10,34590,3326972
0,Oct 21 2021,467.74,483.20,389.51,390.44,93712,3481547
0,Oct 20 2021,431.44,471.12,427.64,468.55,29303,4178115
0,Oct 19 2021,427.95,439.39,423.03,433.46,12642,3865193
0,Oct 18 2021,432.57,451.09,423.28,427.92,27381,3811011
0,Oct 17 2021,432.22,441.75,416.29,432.17,11761,3829054
0,Oct 16 2021,445.82,448.79,428.35,432.23,6821,3829588
0,Oct 15 2021,442.76,448.69,429.04,445.21,3502,3944551
0,Oct 14 2021,419.95,446.32,419.66,443.29,14614,3927535
0,Oct 13 2021,412.49,420.41,401.90,419.67,12708,3718304
0,Oct 12 2021,426.40,426.76,402.87,412.33,5564,3653268
0,Oct 11 2021,411.86,434.49,411.86,426.68,3074,3780388
0,Oct 10 2021,432.08,439.99,411.92,412.23,220833,3652387
0,Oct 09 2021,425.78,432.57,422.86,432.57,4570,3832530
0,Oct 08 2021,421.07,440.03,414.86,425.93,12584,3773699
0,Oct 07 2021,419.74,435.11,408.05,421.59,0,3731764
0,Oct 06 2021,399.84,429.19,381.11,419.48,46199,3713151
0,Oct 05 2021,387.62,402.71,384.25,400.51,6580,3545231
