index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.4032,0.4183,0.4012,0.4138,563226,7115255
0,Jan 31 2022,0.4098,0.4182,0.3977,0.4035,723768,6939773
0,Jan 30 2022,0.4198,0.4204,0.4064,0.4111,747499,7071123
0,Jan 29 2022,0.3995,0.4263,0.3992,0.4198,815515,7227938
0,Jan 28 2022,0.4029,0.409,0.3868,0.3995,790620,6877444
0,Jan 27 2022,0.4039,0.4081,0.3818,0.4029,772366,6831154
0,Jan 26 2022,0.4244,0.4308,0.4016,0.4039,810695,6848319
0,Jan 25 2022,0.4211,0.4289,0.4067,0.4243,1085158,7194904
0,Jan 24 2022,0.4807,0.4909,0.3843,0.4211,1706386,7140838
0,Jan 23 2022,0.5379,0.5901,0.4756,0.4805,1330080,8147294
0,Jan 22 2022,0.6363,0.6397,0.5335,0.5379,1119769,9121164
0,Jan 21 2022,0.7004,0.7015,0.6208,0.6364,1234671,10792732
0,Jan 20 2022,0.7477,0.7536,0.7004,0.7004,948276,11884467
0,Jan 19 2022,0.7565,0.7805,0.7076,0.7477,2511355,12687113
0,Jan 18 2022,0.7073,1.01,0.7073,0.7565,4200689,12835604
0,Jan 17 2022,0.7413,0.7432,0.6892,0.7051,1673712,10869633
0,Jan 16 2022,0.7846,0.7905,0.7271,0.7413,1775227,11426889
0,Jan 15 2022,0.8817,0.8824,0.7721,0.7846,1802805,12095613
0,Jan 14 2022,0.8904,0.905,0.8716,0.8817,2490665,13591175
0,Jan 13 2022,0.8041,1.00,0.8041,0.8906,3847680,13729400
0,Jan 12 2022,0.7494,0.8041,0.7494,0.8041,1677229,12395122
0,Jan 11 2022,0.7142,0.752,0.7101,0.7488,2082473,11543687
0,Jan 10 2022,0.7173,0.7608,0.684,0.7142,2036321,11009957
0,Jan 09 2022,0.6896,0.7306,0.6806,0.7173,2007876,11057829
0,Jan 08 2022,0.7228,0.7369,0.6707,0.6896,1855105,10630161
0,Jan 07 2022,0.7911,0.7913,0.7177,0.7228,2434718,11141758
0,Jan 06 2022,0.8032,0.8039,0.7501,0.7913,2228901,12198923
0,Jan 05 2022,0.9181,0.9199,0.7998,0.8032,2409561,12381075
0,Jan 04 2022,0.9583,0.9602,0.9169,0.9181,1908475,14152566
0,Jan 03 2022,0.9793,0.981,0.9446,0.9583,1956639,14772896
0,Jan 02 2022,0.9848,0.9888,0.9624,0.9793,1864208,15098614
0,Jan 01 2022,0.9482,0.9874,0.9466,0.9847,1892297,14963768
0,Dec 31 2021,0.9583,1.02,0.9461,0.9482,2328627,14408432
0,Dec 30 2021,0.9896,0.994,0.9548,0.9586,2159705,14567376
0,Dec 29 2021,1.01,1.08,0.9872,0.9894,2905727,15034271
0,Dec 28 2021,1.03,1.03,0.973,1.02,3246577,15221582
0,Dec 27 2021,1.10,1.10,1.02,1.03,2323164,15382701
0,Dec 26 2021,1.13,1.13,1.07,1.10,2565011,16449577
0,Dec 25 2021,1.17,1.18,1.12,1.13,3247854,16904319
0,Dec 24 2021,1.19,1.25,1.13,1.17,6066732,17580173
0,Dec 23 2021,0.9948,1.26,0.8909,1.19,8041164,17896499
0,Dec 22 2021,1.14,1.15,0.9599,0.994,8138947,14900657
0,Dec 21 2021,1.19,1.27,1.10,1.14,8004850,17680526
0,Dec 20 2021,1.24,1.25,1.14,1.19,2467309,18523911
0,Dec 19 2021,1.22,1.25,1.21,1.24,1759765,18521115
0,Dec 18 2021,1.25,1.25,1.20,1.22,2123687,18106364
0,Dec 17 2021,1.30,1.31,1.22,1.25,2334259,18569140
0,Dec 16 2021,1.40,1.42,1.29,1.30,2950947,19360599
0,Dec 15 2021,1.35,1.42,1.28,1.40,3613652,20812753
0,Dec 14 2021,1.35,1.40,1.32,1.35,3189259,20103196
0,Dec 13 2021,1.56,1.57,1.35,1.35,2911460,19464275
0,Dec 12 2021,1.56,1.58,1.52,1.56,3439852,22474777
0,Dec 11 2021,1.72,1.76,1.54,1.56,5413198,23975033
0,Dec 10 2021,1.63,1.73,1.60,1.72,7528899,26507111
0,Dec 09 2021,1.49,1.75,1.43,1.64,6897041,25322796
0,Dec 08 2021,1.49,1.51,1.39,1.50,3138664,23180595
0,Dec 07 2021,1.46,1.56,1.46,1.49,3287058,23145051
0,Dec 06 2021,1.55,1.56,1.40,1.46,3422962,22691039
0,Dec 05 2021,1.60,1.64,1.53,1.55,2926887,24100409
0,Dec 04 2021,1.70,1.70,1.49,1.60,3413029,24889719
0,Dec 03 2021,1.84,1.85,1.68,1.70,3423071,26361465
0,Dec 02 2021,1.97,1.97,1.82,1.84,4497400,28592524
0,Dec 01 2021,1.95,2.05,1.86,1.97,7014753,29906433
0,Nov 30 2021,2.19,2.20,1.94,1.95,4606711,29698998
0,Nov 29 2021,2.22,2.26,2.17,2.19,3969766,33315410
0,Nov 28 2021,2.17,2.24,2.07,2.22,4274579,33677832
0,Nov 27 2021,2.27,2.33,2.17,2.18,5116598,32774985
0,Nov 26 2021,2.57,2.59,2.25,2.27,6811633,34191335
0,Nov 25 2021,2.48,2.67,2.44,2.45,9550930,36909165
