index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,6.74,6.98,6.45,6.93,116017591,211938510
0,Jan 30 2022,6.90,7.22,6.69,6.74,117224402,206106442
0,Jan 29 2022,6.82,7.03,6.79,6.89,94953395,210956923
0,Jan 28 2022,6.61,6.87,6.41,6.82,119503948,208751885
0,Jan 27 2022,6.70,6.92,6.39,6.62,156824354,202434640
0,Jan 26 2022,6.55,7.48,6.53,6.70,168610595,205090852
0,Jan 25 2022,6.51,6.74,6.27,6.55,102388859,200357709
0,Jan 24 2022,6.85,6.85,5.76,6.51,173503781,199182457
0,Jan 23 2022,6.89,7.31,6.47,6.84,141149368,209422259
0,Jan 22 2022,7.94,8.13,6.43,6.88,225222997,210680719
0,Jan 21 2022,9.58,9.95,7.81,7.93,158892255,242802164
0,Jan 20 2022,10.11,10.69,9.58,9.58,80824628,293130458
0,Jan 19 2022,10.30,10.46,9.82,10.12,124934864,309525902
0,Jan 18 2022,10.51,10.62,10.01,10.30,128529567,315181279
0,Jan 17 2022,11.28,11.35,10.38,10.51,133153359,321592375
0,Jan 16 2022,11.28,11.48,10.98,11.27,119960105,344981939
0,Jan 15 2022,10.82,11.46,10.75,11.29,130653327,345357094
0,Jan 14 2022,10.64,10.98,10.37,10.82,143478857,331054148
0,Jan 13 2022,11.49,11.66,10.64,10.64,174049499,325677750
0,Jan 12 2022,10.85,11.56,10.82,11.49,163925635,351610384
0,Jan 11 2022,10.20,10.94,10.11,10.85,131313082,332006862
0,Jan 10 2022,11.01,11.18,9.91,10.20,148562450,311987060
0,Jan 09 2022,10.87,11.29,10.71,11.01,114137595,337003965
0,Jan 08 2022,11.29,11.72,10.45,10.87,141850452,332513491
0,Jan 07 2022,12.17,12.21,11.16,11.29,195941926,345360739
0,Jan 06 2022,12.26,12.31,11.64,12.17,188834425,372396871
0,Jan 05 2022,13.62,14.30,11.55,12.26,219443275,375122863
0,Jan 04 2022,12.63,13.98,12.27,13.62,189607464,416752230
0,Jan 03 2022,13.06,13.06,12.38,12.62,127403066,386294787
0,Jan 02 2022,13.35,13.46,12.88,13.06,112409098,399748167
0,Jan 01 2022,12.51,13.35,12.50,13.35,122862380,408612007
0,Dec 31 2021,12.49,13.03,12.17,12.50,135210970,382564736
0,Dec 30 2021,12.42,12.90,12.00,12.49,128168306,382296032
0,Dec 29 2021,12.80,13.24,12.21,12.37,152417078,378665235
0,Dec 28 2021,14.44,14.44,12.74,12.83,182265997,392550845
0,Dec 27 2021,15.14,15.67,14.36,14.42,158536149,441138582
0,Dec 26 2021,14.63,15.52,14.03,15.13,201585903,463127879
0,Dec 25 2021,13.70,14.94,13.59,14.60,178079123,446738189
0,Dec 24 2021,14.39,15.11,13.46,13.68,190167254,418510739
0,Dec 23 2021,13.21,14.57,12.79,14.36,225361988,439541599
0,Dec 22 2021,12.63,13.50,12.49,13.19,154339122,403480700
0,Dec 21 2021,11.82,12.74,11.60,12.62,129188520,386290625
0,Dec 20 2021,11.95,12.10,11.04,11.83,130181308,361925495
0,Dec 19 2021,12.34,12.59,11.81,11.92,94394407,364898446
0,Dec 18 2021,12.04,12.52,11.75,12.33,109052438,377396099
0,Dec 17 2021,12.64,13.17,11.67,12.05,127358138,368580551
0,Dec 16 2021,12.56,13.27,12.52,12.65,121451459,387148101
0,Dec 15 2021,12.04,12.81,11.38,12.54,133857323,383592700
0,Dec 14 2021,11.79,12.15,11.32,11.39,127921888,348470146
0,Dec 13 2021,13.55,13.81,11.53,11.79,130605699,360838473
0,Dec 12 2021,13.42,13.98,13.21,13.55,137585503,414557980
0,Dec 11 2021,12.48,13.77,12.25,13.42,135161192,410648220
0,Dec 10 2021,12.82,13.85,12.42,12.46,162587619,381363676
0,Dec 09 2021,14.16,14.87,12.65,12.84,218082156,392819972
0,Dec 08 2021,13.56,14.22,12.92,14.18,178623602,433806791
0,Dec 07 2021,14.26,14.61,13.30,13.56,186016348,415060209
0,Dec 06 2021,13.86,14.39,11.92,14.29,260341907,437398405
0,Dec 05 2021,15.43,15.98,13.30,13.85,212941336,423723428
0,Dec 04 2021,18.81,18.81,11.61,15.43,470689605,472218922
0,Dec 03 2021,20.93,21.38,17.88,18.74,257137555,573560212
0,Dec 02 2021,21.72,23.56,20.53,20.89,478131151,639383838
0,Dec 01 2021,20.23,23.24,19.91,21.72,581332620,664485914
0,Nov 30 2021,19.42,20.33,18.52,20.23,300863062,619057249
0,Nov 29 2021,21.16,21.88,19.42,19.45,340818679,595044597
0,Nov 28 2021,19.30,21.54,17.20,21.18,463341931,648010846
0,Nov 27 2021,20.15,21.44,18.78,19.29,255494803,590155694
0,Nov 26 2021,23.58,25.06,19.04,19.99,570967670,611733320
0,Nov 25 2021,27.22,28.67,23.03,28.44,928512759,870385054
0,Nov 24 2021,24.16,27.69,22.98,24.56,949231155,751526549
0,Nov 23 2021,19.11,24.62,18.85,23.90,900239613,731461159
0,Nov 22 2021,18.34,19.86,17.48,19.08,414071691,583952539
0,Nov 21 2021,19.38,22.10,18.07,18.32,606733833,560682168
0,Nov 20 2021,16.55,20.28,16.48,19.33,620020911,591633356
0,Nov 19 2021,16.95,17.90,15.34,16.56,425753266,506596838
0,Nov 18 2021,14.46,17.94,13.61,17.03,662203439,521160636
0,Nov 17 2021,12.85,14.81,12.40,14.53,250436954,334254741
0,Nov 16 2021,14.32,14.32,11.66,12.85,191576834,295584299
0,Nov 15 2021,14.34,15.25,14.12,14.26,148676763,327999444
0,Nov 14 2021,14.24,14.85,13.95,14.31,115875430,329200817
0,Nov 13 2021,14.12,15.08,14.11,14.25,152976115,327831900
0,Nov 12 2021,13.88,14.92,13.24,14.11,199614256,324432564
0,Nov 11 2021,13.37,14.28,13.19,13.92,128993105,320098237
0,Nov 10 2021,14.93,15.74,12.17,13.36,198502414,307340614
0,Nov 09 2021,15.92,16.58,14.92,14.95,158774884,343905121
