index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.5119,0.5232,0.4835,0.4894,187697,5347938
0,Jan 31 2022,0.5047,0.5161,0.486,0.5119,197094,5594115
0,Jan 30 2022,0.5015,0.5109,0.4968,0.5047,213522,5515756
0,Jan 29 2022,0.4214,0.5041,0.4182,0.5013,181873,5478123
0,Jan 28 2022,0.4066,0.4222,0.3983,0.4215,169177,4605693
0,Jan 27 2022,0.4095,0.4133,0.3909,0.4068,164890,4444998
0,Jan 26 2022,0.4523,0.4868,0.4028,0.4096,156139,4476050
0,Jan 25 2022,0.4618,0.4619,0.4392,0.4523,162784,4943242
0,Jan 24 2022,0.4928,0.4929,0.4359,0.4617,1335,5045934
0,Jan 23 2022,0.472,0.4941,0.4675,0.4928,1029,5384887
0,Jan 22 2022,0.4984,0.505,0.4609,0.4717,182991,5154481
0,Jan 21 2022,0.5888,0.6647,0.4405,0.498,194328,5441713
0,Jan 20 2022,0.6656,0.6819,0.5884,0.5885,235121,6430697
0,Jan 19 2022,1.05,1.06,0.6657,0.6657,534150,7274358
0,Jan 18 2022,0.8449,1.06,0.5914,1.05,249830,11516299
0,Jan 17 2022,1.20,1.20,0.6289,0.8449,430281,9232602
0,Jan 16 2022,0.6497,1.34,0.6142,1.20,333438,13106851
0,Jan 15 2022,0.9938,0.9958,0.6048,0.6498,383300,7100801
0,Jan 14 2022,0.5213,0.9981,0.5193,0.9938,278355,10859790
0,Jan 13 2022,0.5399,0.544,0.5213,0.5213,184195,5696611
0,Jan 12 2022,0.5115,0.5438,0.509,0.5399,194618,5900319
0,Jan 11 2022,0.8008,0.9462,0.4864,0.5115,274755,5589532
0,Jan 10 2022,0.5839,0.9638,0.5583,0.8009,279238,8751726
0,Jan 09 2022,0.5754,0.5909,0.5586,0.5839,219889,6381170
0,Jan 08 2022,1.13,1.15,0.5585,0.5754,343148,6288036
0,Jan 07 2022,0.5148,1.14,0.468,1.13,388951,12383564
0,Jan 06 2022,0.7841,1.05,0.498,0.5148,350351,5625549
0,Jan 05 2022,1.02,1.14,0.6221,0.7842,308696,8569698
0,Jan 04 2022,0.6071,1.06,0.6009,1.02,335396,11139795
0,Jan 03 2022,1.05,1.05,0.5969,0.6071,229839,6634217
0,Jan 02 2022,0.5722,1.06,0.569,1.05,326782,11491152
0,Jan 01 2022,0.5541,0.5722,0.5539,0.5722,213549,6253432
0,Dec 31 2021,0.6211,0.6339,0.5454,0.554,261856,6054399
0,Dec 30 2021,0.6087,0.6296,0.6035,0.6213,230616,6789352
0,Dec 29 2021,0.6316,0.6372,0.6058,0.6095,230854,6660207
0,Dec 28 2021,0.6709,0.6712,0.6278,0.632,219709,6906966
0,Dec 27 2021,0.6726,0.6851,0.6682,0.6721,230666,7344359
0,Dec 26 2021,0.6718,0.6769,0.5228,0.6725,259913,7349446
0,Dec 25 2021,0.6616,0.6803,0.6578,0.6725,261567,7349225
