index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.4849,0.5055,0.4843,0.4997,34137098,437356915
0,Jan 31 2022,0.4756,0.4854,0.4548,0.485,30388786,424467685
0,Jan 30 2022,0.482,0.496,0.466,0.4756,38907142,416277874
0,Jan 29 2022,0.4726,0.4852,0.4718,0.4818,24078072,421723314
0,Jan 28 2022,0.4614,0.4751,0.4515,0.4726,30797028,413653493
0,Jan 27 2022,0.4571,0.467,0.4367,0.4614,41790404,403882806
0,Jan 26 2022,0.4528,0.4895,0.4497,0.4573,50717791,400236059
0,Jan 25 2022,0.4455,0.4559,0.4356,0.4528,38575257,396334834
0,Jan 24 2022,0.4698,0.4703,0.408,0.4456,62251800,389997610
0,Jan 23 2022,0.4541,0.4756,0.4477,0.4697,51888111,411078970
0,Jan 22 2022,0.4949,0.5127,0.4239,0.4539,154325082,397294099
0,Jan 21 2022,0.5687,0.575,0.4883,0.4946,84571040,432923805
0,Jan 20 2022,0.595,0.6207,0.5683,0.5684,32369629,497492559
0,Jan 19 2022,0.6155,0.6172,0.5886,0.5951,36794418,520845516
0,Jan 18 2022,0.6225,0.6267,0.6016,0.6155,35382739,538724986
0,Jan 17 2022,0.6506,0.6519,0.6119,0.6225,32994465,544862152
0,Jan 16 2022,0.6464,0.6578,0.6379,0.6506,37448637,569412753
0,Jan 15 2022,0.6225,0.6555,0.6215,0.6463,44497002,565716079
0,Jan 14 2022,0.6111,0.6267,0.6039,0.6225,36505368,544803911
0,Jan 13 2022,0.6366,0.6452,0.6107,0.6111,39958468,534857977
0,Jan 12 2022,0.6115,0.6388,0.6115,0.6366,39736461,557195924
0,Jan 11 2022,0.5882,0.6151,0.586,0.6114,42390987,535163600
0,Jan 10 2022,0.6103,0.618,0.5679,0.5883,63226728,514872266
0,Jan 09 2022,0.5911,0.6166,0.5876,0.6104,33415542,534230745
0,Jan 08 2022,0.6137,0.6328,0.5769,0.5912,60308486,517457538
0,Jan 07 2022,0.6282,0.6339,0.5921,0.6135,91469055,536985539
0,Jan 06 2022,0.6328,0.6329,0.6121,0.6284,63605622,550041172
0,Jan 05 2022,0.6737,0.7158,0.6004,0.633,85422209,554015307
0,Jan 04 2022,0.6862,0.6935,0.6699,0.6737,44854927,589615718
0,Jan 03 2022,0.703,0.7118,0.6726,0.6862,53336669,600577108
0,Jan 02 2022,0.6748,0.7058,0.6718,0.7029,50012965,615246996
0,Jan 01 2022,0.658,0.675,0.6576,0.675,34636714,590764775
0,Dec 31 2021,0.6703,0.6881,0.6427,0.658,48989830,575889060
0,Dec 30 2021,0.6577,0.681,0.6455,0.6704,48155748,586779788
0,Dec 29 2021,0.69,0.6964,0.6535,0.6565,61155962,574590273
0,Dec 28 2021,0.7543,0.7544,0.6846,0.6897,73949111,603619256
0,Dec 27 2021,0.7485,0.7807,0.7445,0.7535,54220671,659499778
0,Dec 26 2021,0.742,0.7502,0.7213,0.7492,42709127,655711993
0,Dec 25 2021,0.74,0.748,0.732,0.7422,43769241,649650679
0,Dec 24 2021,0.7486,0.7649,0.7295,0.7391,58964813,646916217
0,Dec 23 2021,0.7107,0.75,0.7021,0.7475,69096883,654265998
0,Dec 22 2021,0.7018,0.7251,0.6971,0.7108,70646930,622108982
0,Dec 21 2021,0.6733,0.7073,0.6665,0.7021,67422686,614523380
0,Dec 20 2021,0.6916,0.7038,0.6504,0.6726,81944536,588655827
0,Dec 19 2021,0.6806,0.701,0.6747,0.6925,64304961,606136693
0,Dec 18 2021,0.6731,0.6934,0.6636,0.68,59466183,595136338
0,Dec 17 2021,0.6745,0.6936,0.6552,0.674,81543421,589933734
0,Dec 16 2021,0.6983,0.7141,0.673,0.6746,71653026,590416053
0,Dec 15 2021,0.6773,0.7089,0.6434,0.6987,95705626,611570302
0,Dec 14 2021,0.6547,0.6776,0.6446,0.6577,77956060,575678698
0,Dec 13 2021,0.7281,0.731,0.6509,0.6542,82583037,572600640
0,Dec 12 2021,0.7361,0.7379,0.7089,0.7274,60679217,636631212
0,Dec 11 2021,0.6913,0.739,0.6806,0.7367,79894601,644804704
0,Dec 10 2021,0.7178,0.7439,0.6859,0.6894,96161654,603356075
0,Dec 09 2021,0.8064,0.8105,0.7194,0.7194,109041826,629648344
0,Dec 08 2021,0.7631,0.8164,0.753,0.807,156163470,706367576
0,Dec 07 2021,0.7607,0.7939,0.7476,0.7646,110934929,669201671
0,Dec 06 2021,0.7342,0.7629,0.6628,0.7623,178816967,667205523
0,Dec 05 2021,0.7932,0.8079,0.707,0.7327,157340020,641261647
0,Dec 04 2021,0.9529,0.9529,0.6091,0.7963,309044365,696946203
0,Dec 03 2021,1.00,1.09,0.9261,0.9495,293243254,831018692
0,Dec 02 2021,0.9775,1.02,0.9363,1.00,138742027,875561551
0,Dec 01 2021,0.9806,1.00,0.961,0.9763,109793061,854536768
0,Nov 30 2021,1.05,1.05,0.9811,0.983,143680983,860349974
0,Nov 29 2021,0.9932,1.05,0.9767,1.05,147328951,915192227
0,Nov 28 2021,1.05,1.05,0.9311,0.993,179495543,869122101
0,Nov 27 2021,0.9699,1.10,0.9658,1.05,250981666,915190229
0,Nov 26 2021,1.02,1.05,0.918,0.9671,229663777,846493011
0,Nov 25 2021,0.9554,1.02,0.9447,0.958,112444991,838478431
0,Nov 24 2021,0.9999,1.01,0.9394,0.9768,140920435,854920634
0,Nov 23 2021,0.946,0.9972,0.9387,0.9952,141175272,871022106
0,Nov 22 2021,0.9841,1.02,0.9327,0.9454,147966358,827461086
0,Nov 21 2021,0.9868,1.02,0.9804,0.986,128772290,863024593
0,Nov 20 2021,0.9715,0.9954,0.95,0.9851,110034841,862169566
0,Nov 19 2021,0.9224,0.9945,0.9015,0.9727,120511243,851378091
0,Nov 18 2021,1.01,1.03,0.9065,0.9233,149575827,808161543
0,Nov 17 2021,0.99,1.02,0.9599,1.01,175632926,880840929
0,Nov 16 2021,1.06,1.06,0.9244,0.9897,167493737,866204169
0,Nov 15 2021,1.11,1.12,1.05,1.06,126010206,929302525
0,Nov 14 2021,1.08,1.12,1.07,1.12,134225036,976050886
0,Nov 13 2021,1.04,1.09,1.03,1.08,114140025,943112040
0,Nov 12 2021,1.07,1.07,1.01,1.04,128578168,912217714
0,Nov 11 2021,1.07,1.09,1.04,1.07,146097067,936034760
0,Nov 10 2021,1.20,1.24,0.9917,1.07,264581883,938468758
0,Nov 09 2021,1.08,1.23,1.08,1.19,355637459,1038123558
0,Nov 08 2021,1.07,1.08,1.03,1.08,166183791,947071717
0,Nov 07 2021,1.07,1.08,1.05,1.06,110107542,931569872
0,Nov 06 2021,1.13,1.14,1.04,1.07,164820493,936805039
0,Nov 05 2021,1.12,1.17,1.09,1.13,233742360,990209265
0,Nov 04 2021,1.07,1.13,1.06,1.12,244464787,980324951
0,Nov 03 2021,1.04,1.10,1.01,1.08,213631969,943154698
0,Nov 02 2021,1.03,1.06,1.01,1.04,139821340,908946743
0,Nov 01 2021,1.04,1.12,0.9779,1.03,255262140,898449245
0,Oct 31 2021,1.00,1.12,0.9817,1.04,356048640,911985694
0,Oct 30 2021,0.9278,1.02,0.8985,0.9946,215683746,870535151
0,Oct 29 2021,0.893,0.9344,0.8804,0.9258,123880615,810324768
0,Oct 28 2021,0.8509,0.896,0.8426,0.8913,138067854,780093647
0,Oct 27 2021,0.9714,0.9826,0.7937,0.8526,184508542,746264046
0,Oct 26 2021,0.9708,0.998,0.956,0.9698,115111464,848784166
0,Oct 25 2021,0.9462,0.9787,0.9393,0.9714,96847178,850251158
0,Oct 24 2021,0.9615,0.9668,0.9191,0.9469,90453939,828736901
0,Oct 23 2021,0.98,0.98,0.9447,0.9612,98238421,841269900
0,Oct 22 2021,0.9826,1.02,0.9592,0.9784,141924657,856332225
0,Oct 21 2021,0.9651,1.01,0.9446,0.9672,161310774,846535321
0,Oct 20 2021,0.9219,0.9687,0.9091,0.9641,102698945,843846689
0,Oct 19 2021,0.918,0.9348,0.9061,0.9228,91259114,807686052
0,Oct 18 2021,0.9377,0.9453,0.8997,0.9173,108646486,802905200
0,Oct 17 2021,0.9599,0.9883,0.9083,0.9393,123824211,822095952
0,Oct 16 2021,0.945,0.9842,0.9443,0.9611,124799528,841169882
0,Oct 15 2021,0.9642,0.9652,0.9092,0.9425,165019465,824905394
0,Oct 14 2021,0.975,1.01,0.9577,0.9638,139235043,843570835
0,Oct 13 2021,0.9265,0.9858,0.8993,0.9767,153255192,854815225
0,Oct 12 2021,0.9541,0.9541,0.8842,0.9248,165944307,809392582
0,Oct 11 2021,0.9665,1.04,0.9305,0.9544,207500690,835321263
0,Oct 10 2021,1.02,1.02,0.9575,0.9661,163094884,845553675
