index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.1318,0.1359,0.1279,0.1344,167059,3370455
0,Jan 30 2022,0.1382,0.1414,0.1317,0.1318,166303,3305014
0,Jan 29 2022,0.1354,0.1401,0.1351,0.1382,168040,3465959
0,Jan 28 2022,0.1403,0.1434,0.135,0.1354,241997,3395408
0,Jan 27 2022,0.1349,0.1426,0.1308,0.1404,276691,3519586
0,Jan 26 2022,0.1367,0.1537,0.1327,0.1347,294292,3377492
0,Jan 25 2022,0.1336,0.1357,0.1249,0.1353,216649,3392903
0,Jan 24 2022,0.137,0.137,0.1136,0.1335,296965,3347990
0,Jan 23 2022,0.1294,0.1402,0.1268,0.137,244693,3434167
0,Jan 22 2022,0.1452,0.1464,0.1249,0.1289,368414,3232413
0,Jan 21 2022,0.1793,0.1801,0.1386,0.1452,391485,3640357
0,Jan 20 2022,0.1814,0.1883,0.1738,0.1793,298814,4495921
0,Jan 19 2022,0.1881,0.1918,0.1793,0.1816,248368,4552563
0,Jan 18 2022,0.1925,0.1998,0.1826,0.1881,300814,4714967
0,Jan 17 2022,0.2101,0.2105,0.1888,0.1924,200996,4824450
0,Jan 16 2022,0.2213,0.2223,0.2055,0.21,221382,5265688
0,Jan 15 2022,0.2123,0.2222,0.2073,0.2214,244980,5549846
0,Jan 14 2022,0.2201,0.2218,0.2067,0.2122,232356,5320180
0,Jan 13 2022,0.2308,0.2356,0.2129,0.2198,338682,5511597
0,Jan 12 2022,0.2067,0.2314,0.2031,0.2308,429024,5787360
0,Jan 11 2022,0.2011,0.2074,0.1937,0.2066,968672,5283801
0,Jan 10 2022,0.2208,0.2264,0.1912,0.2007,900173,5132640
0,Jan 09 2022,0.2007,0.2284,0.1932,0.2208,885813,5645271
0,Jan 08 2022,0.213,0.2167,0.1898,0.2007,778185,5131611
0,Jan 07 2022,0.2162,0.217,0.1989,0.2129,989159,5445588
0,Jan 06 2022,0.2316,0.2379,0.2162,0.2162,1020358,5528190
0,Jan 05 2022,0.2704,0.2802,0.2234,0.2315,968118,5919724
0,Jan 04 2022,0.2919,0.3083,0.2703,0.2706,1047805,6919126
0,Jan 03 2022,0.3135,0.3391,0.2869,0.2919,1757615,5421151
0,Jan 02 2022,0.2597,0.3184,0.2559,0.3133,2079154,5818902
0,Jan 01 2022,0.2703,0.2754,0.2422,0.2601,1192365,4830642
0,Dec 31 2021,0.2747,0.2948,0.2609,0.2707,1111474,5027513
0,Dec 30 2021,0.2705,0.2772,0.2585,0.2749,805731,5105755
0,Dec 29 2021,0.3012,0.3072,0.2673,0.2704,940941,5022778
0,Dec 28 2021,0.3398,0.3405,0.2986,0.3016,1289660,5602221
0,Dec 27 2021,0.3795,0.385,0.322,0.3401,1689809,6316265
0,Dec 26 2021,0.3648,0.381,0.3443,0.3794,1042983,7046461
0,Dec 25 2021,0.3528,0.3707,0.3513,0.3646,1069080,6771992
0,Dec 24 2021,0.3554,0.3832,0.3463,0.353,1156121,6556415
0,Dec 23 2021,0.3163,0.36,0.3078,0.3553,1230218,6599413
0,Dec 22 2021,0.3128,0.3277,0.3026,0.3161,969511,5870541
0,Dec 21 2021,0.3178,0.3209,0.2991,0.3127,843460,5807072
0,Dec 20 2021,0.3228,0.3285,0.3018,0.3177,1009715,5899544
0,Dec 19 2021,0.3299,0.3394,0.3205,0.3228,962034,5995928
0,Dec 18 2021,0.3331,0.3367,0.3229,0.3299,965956,6127527
0,Dec 17 2021,0.354,0.3692,0.3162,0.3327,1238636,6179267
0,Dec 16 2021,0.3809,0.3863,0.3538,0.3539,1537474,6571919
0,Dec 15 2021,0.3586,0.3909,0.3426,0.381,2254736,7075213
0,Dec 14 2021,0.3618,0.3647,0.3502,0.3518,1446594,6532852
0,Dec 13 2021,0.4067,0.4129,0.3483,0.3617,1568697,6716982
0,Dec 12 2021,0.4145,0.4176,0.3817,0.4066,1065692,7552074
0,Dec 11 2021,0.388,0.4156,0.3754,0.4146,1317979,7699670
0,Dec 10 2021,0.434,0.4503,0.3878,0.3882,1782488,7209365
0,Dec 09 2021,0.491,0.5279,0.4233,0.4341,2132600,8062606
0,Dec 08 2021,0.4775,0.5058,0.4256,0.4917,1959692,9131788
0,Dec 07 2021,0.4872,0.5415,0.4766,0.4773,2540338,8864469
0,Dec 06 2021,0.4954,0.4973,0.3979,0.4869,2866860,9042944
0,Dec 05 2021,0.5822,0.5842,0.4736,0.4953,3384777,9199608
0,Dec 04 2021,0.7024,0.7028,0.4918,0.5822,3654200,11103296
0,Dec 03 2021,0.8574,0.8589,0.6312,0.7027,4247672,13402000
0,Dec 02 2021,1.02,1.05,0.7935,0.8567,6023099,16340342
0,Dec 01 2021,0.9949,1.10,0.9629,1.02,4232328,17385446
0,Nov 30 2021,1.15,1.20,0.978,0.9949,4644023,16987317
0,Nov 29 2021,0.9337,1.15,0.9166,1.15,5836896,19672405
0,Nov 28 2021,1.05,1.06,0.7628,0.9337,4475626,15943983
0,Nov 27 2021,0.9114,1.06,0.9071,1.05,3073603,17970212
0,Nov 26 2021,0.9769,1.03,0.8212,0.9119,3713465,15571139
0,Nov 25 2021,0.8636,0.9869,0.8114,0.827,2889749,14121658
0,Nov 24 2021,0.84,0.9125,0.8031,0.8654,2474494,14777759
0,Nov 23 2021,0.7278,0.8399,0.7067,0.8399,2546204,14341885
0,Nov 22 2021,0.7978,0.8024,0.6889,0.7292,2476147,12452518
0,Nov 21 2021,0.8335,0.8392,0.7604,0.7981,2375327,13628688
0,Nov 20 2021,0.8605,0.9362,0.7827,0.8332,2598794,14227888
0,Nov 19 2021,0.7418,0.8644,0.7388,0.8607,2462186,14697783
0,Nov 18 2021,0.9168,0.9227,0.7278,0.7409,2762893,12652599
0,Nov 17 2021,0.9219,0.9869,0.8683,0.9168,3692449,15655706
0,Nov 16 2021,1.04,1.04,0.7575,0.9225,6763410,15753134
0,Nov 15 2021,0.8306,1.06,0.7714,1.04,7177338,17797232
0,Nov 14 2021,0.5856,0.8405,0.5702,0.8303,4302201,14178243
0,Nov 13 2021,0.5348,0.5944,0.5314,0.5851,1597831,9991512
0,Nov 12 2021,0.602,0.6038,0.5101,0.5341,1600813,9122160
0,Nov 11 2021,0.5024,0.6256,0.4975,0.6024,2126401,10288081
0,Nov 10 2021,0.5941,0.5996,0.4604,0.5026,2099363,8583218
0,Nov 09 2021,0.6107,0.6191,0.5512,0.5947,2325852,10157035
0,Nov 08 2021,0.534,0.6453,0.5009,0.6108,2414351,10431801
0,Nov 07 2021,0.564,0.6042,0.5239,0.5338,1882726,9117635
0,Nov 06 2021,0.4685,0.581,0.4408,0.5638,2503096,9912384
0,Nov 05 2021,0.4882,0.5359,0.465,0.4684,1966344,8234427
0,Nov 04 2021,0.5838,0.6029,0.4689,0.4886,2956299,8590859
0,Nov 03 2021,0.5412,0.6673,0.513,0.5833,4388060,10255551
