index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.2069,0.2069,0.198,0.2014,63572,3706832
0,Jan 30 2022,0.2144,0.2152,0.2045,0.2069,59556,3807780
0,Jan 29 2022,0.2141,0.2213,0.2129,0.2144,81578,3928351
0,Jan 28 2022,0.2094,0.2157,0.2079,0.2141,119581,3844943
0,Jan 27 2022,0.2122,0.2128,0.2012,0.2094,149757,3760966
0,Jan 26 2022,0.2184,0.2271,0.2103,0.2122,166708,3559109
0,Jan 25 2022,0.1979,0.2214,0.196,0.2184,234659,3663970
0,Jan 24 2022,0.2399,0.2399,0.1978,0.1979,295551,3320052
0,Jan 23 2022,0.2357,0.2486,0.2286,0.2399,266708,4024389
0,Jan 22 2022,0.2625,0.2654,0.232,0.2357,271875,3954040
0,Jan 21 2022,0.3125,0.3127,0.2613,0.2625,240616,4157556
0,Jan 20 2022,0.3438,0.3442,0.3122,0.3125,159365,4949940
0,Jan 19 2022,0.3642,0.3684,0.343,0.3438,175816,5444513
0,Jan 18 2022,0.3963,0.3993,0.3616,0.3642,306770,5768440
0,Jan 17 2022,0.4205,0.4216,0.3771,0.3963,476269,6276226
0,Jan 16 2022,0.3796,0.4325,0.3754,0.4205,362677,6659862
0,Jan 15 2022,0.365,0.3821,0.3615,0.3795,185840,6011423
0,Jan 14 2022,0.3752,0.3823,0.3617,0.365,393723,5780289
0,Jan 13 2022,0.3719,0.4105,0.3513,0.3751,633503,5941502
0,Jan 12 2022,0.3781,0.3823,0.3524,0.3719,306312,5890696
0,Jan 11 2022,0.3566,0.3794,0.355,0.3781,265930,5988794
0,Jan 10 2022,0.3806,0.3808,0.3549,0.3566,226461,5640543
0,Jan 09 2022,0.3734,0.3874,0.3692,0.3807,225240,6020939
0,Jan 08 2022,0.3534,0.378,0.3515,0.3735,225395,5452537
0,Jan 07 2022,0.3695,0.3707,0.3501,0.3534,286355,5160364
0,Jan 06 2022,0.364,0.3761,0.3518,0.3696,317220,5395617
0,Jan 05 2022,0.389,0.4035,0.3615,0.364,369250,5314655
0,Jan 04 2022,0.448,0.4522,0.3832,0.389,447978,5678975
0,Jan 03 2022,0.4559,0.4928,0.448,0.448,381061,6540821
0,Jan 02 2022,0.4812,0.4865,0.4441,0.4559,499354,6655936
0,Jan 01 2022,0.3596,0.4822,0.358,0.4812,539524,6879504
0,Dec 31 2021,0.3632,0.3814,0.3452,0.3595,290058,5140121
0,Dec 30 2021,0.3606,0.3705,0.3519,0.3633,202764,5026127
0,Dec 29 2021,0.3834,0.3904,0.3604,0.3606,302571,4988900
0,Dec 28 2021,0.4207,0.4323,0.3774,0.3835,386400,5304423
0,Dec 27 2021,0.4194,0.432,0.4021,0.4211,409879,5632238
0,Dec 26 2021,0.4501,0.4521,0.411,0.4195,460200,5611788
0,Dec 25 2021,0.4851,0.5012,0.45,0.45,744992,6019697
0,Dec 24 2021,0.453,0.4996,0.4299,0.4853,614304,6105133
0,Dec 23 2021,0.4343,0.4585,0.4209,0.453,243746,5698731
0,Dec 22 2021,0.463,0.463,0.4283,0.4341,259631,5461415
0,Dec 21 2021,0.3965,0.463,0.3945,0.463,332305,5824588
0,Dec 20 2021,0.4533,0.476,0.394,0.3965,311253,4987853
0,Dec 19 2021,0.4223,0.4562,0.416,0.4531,269546,5699719
0,Dec 18 2021,0.449,0.4612,0.4114,0.4223,301315,5313400
0,Dec 17 2021,0.5119,0.5182,0.4448,0.4494,230508,5653858
0,Dec 16 2021,0.5164,0.5249,0.4994,0.512,201726,6441025
0,Dec 15 2021,0.5248,0.5505,0.5037,0.516,332439,6492181
0,Dec 14 2021,0.5184,0.554,0.5035,0.5251,435508,6520928
0,Dec 13 2021,0.6382,0.6399,0.5138,0.5181,405732,6426882
0,Dec 12 2021,0.5764,0.6388,0.576,0.6388,343990,7885170
0,Dec 11 2021,0.6091,0.6106,0.5698,0.576,334829,7110490
0,Dec 10 2021,0.6051,0.6243,0.5922,0.6092,397148,7519633
0,Dec 09 2021,0.6484,0.6503,0.5891,0.6053,496147,7470534
0,Dec 08 2021,0.7227,0.7263,0.6378,0.6487,599870,7744893
0,Dec 07 2021,0.6395,0.7495,0.6359,0.7225,1059830,8603962
0,Dec 06 2021,0.7467,0.7479,0.5836,0.6394,1709326,7614469
0,Dec 05 2021,0.8588,0.889,0.7072,0.7465,1531689,8889967
0,Dec 04 2021,0.9496,0.9542,0.8259,0.8588,974468,10227150
0,Dec 03 2021,1.03,1.05,0.9309,0.9496,1731144,11231119
0,Dec 02 2021,1.03,1.13,1.01,1.03,2544723,12230437
0,Dec 01 2021,1.02,1.06,0.9661,1.03,2146945,11447736
0,Nov 30 2021,1.16,1.16,0.9818,1.02,1643694,11335788
0,Nov 29 2021,1.12,1.18,1.07,1.16,2090323,12722958
0,Nov 28 2021,1.15,1.29,1.10,1.12,2422759,10769420
0,Nov 27 2021,0.9753,1.20,0.9413,1.15,3131967,11064065
0,Nov 26 2021,0.9735,1.12,0.8413,0.9755,4051478,9410619
0,Nov 25 2021,0.9371,1.03,0.8549,0.8944,1181240,8628584
0,Nov 24 2021,1.03,1.03,0.8441,1.00,928326,8971242
0,Nov 23 2021,1.04,1.10,0.9716,1.03,1401181,9206535
0,Nov 22 2021,0.9701,1.12,0.9546,1.04,864018,9322602
0,Nov 21 2021,1.02,1.02,0.9039,0.9698,787160,8687844
0,Nov 20 2021,1.01,1.06,0.9497,1.02,964441,9119282
0,Nov 19 2021,0.9483,1.12,0.9337,1.01,1033099,9003911
0,Nov 18 2021,0.9198,1.02,0.8706,0.9484,768626,8487203
0,Nov 17 2021,0.9437,0.9875,0.8664,0.9195,708187,7863702
0,Nov 16 2021,0.9535,1.06,0.9036,0.9437,1069384,8070537
0,Nov 15 2021,1.06,1.15,0.9255,0.9534,872974,8152892
0,Nov 14 2021,1.20,1.20,1.03,1.06,909414,9059280
0,Nov 13 2021,1.11,1.33,1.08,1.20,1093210,10246728
0,Nov 12 2021,1.16,1.18,1.03,1.12,1300506,9523356
0,Nov 11 2021,1.31,1.34,1.04,1.16,1621101,9919379
0,Nov 10 2021,1.53,1.54,1.25,1.31,1491118,11167534
0,Nov 09 2021,1.57,1.73,1.50,1.53,1528635,13077533
0,Nov 08 2021,1.38,1.61,1.34,1.57,1545804,13410061
0,Nov 07 2021,1.59,1.61,1.24,1.38,2034130,11759544
0,Nov 06 2021,1.78,1.79,1.33,1.59,3110324,13500134
0,Nov 05 2021,1.54,1.92,1.49,1.78,4564835,15062185
0,Nov 04 2021,1.35,1.87,1.30,1.54,4530276,13082590
0,Nov 03 2021,1.12,1.63,1.10,1.35,2868399,11414503
