index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.4085,0.4146,0.3932,0.3949,1028510,9797199
0,Jan 31 2022,0.4066,0.4266,0.3943,0.4085,821783,10135774
0,Jan 30 2022,0.4033,0.4139,0.3977,0.4066,795044,10088294
0,Jan 29 2022,0.4037,0.4143,0.3908,0.4031,808696,10002127
0,Jan 28 2022,0.4184,0.4236,0.395,0.4035,771353,10009936
0,Jan 27 2022,0.4067,0.4187,0.3801,0.4187,949488,10387829
0,Jan 26 2022,0.3988,0.4529,0.3961,0.4071,1008869,10099236
0,Jan 25 2022,0.419,0.4229,0.3805,0.3987,1109441,9891044
0,Jan 24 2022,0.455,0.4551,0.3647,0.4192,1396043,10401400
0,Jan 23 2022,0.3736,0.4546,0.3721,0.4543,1200686,11272215
0,Jan 22 2022,0.4812,0.4929,0.358,0.373,1179855,9255145
0,Jan 21 2022,0.5904,0.5983,0.4712,0.4808,875099,11928848
0,Jan 20 2022,0.5953,0.6482,0.5866,0.5902,813127,14642467
0,Jan 19 2022,0.6431,0.6458,0.5948,0.5957,922379,14779766
0,Jan 18 2022,0.653,0.6903,0.6334,0.6434,945423,15963778
0,Jan 17 2022,0.6978,0.6994,0.6172,0.653,968544,16202240
0,Jan 16 2022,0.6696,0.7286,0.6549,0.6976,949138,17308524
0,Jan 15 2022,0.6603,0.6782,0.6403,0.6696,877515,16612721
0,Jan 14 2022,0.6353,0.6652,0.6086,0.6606,846471,16390810
0,Jan 13 2022,0.7007,0.7166,0.6245,0.6352,1740705,15759262
0,Jan 12 2022,0.6425,0.7507,0.6393,0.6998,1489029,17363290
0,Jan 11 2022,0.5085,0.6496,0.5017,0.6423,1250362,15934732
0,Jan 10 2022,0.58,0.584,0.4855,0.5085,943823,12615576
0,Jan 09 2022,0.5725,0.5874,0.5476,0.5801,729783,14391749
0,Jan 08 2022,0.6249,0.6346,0.5378,0.572,900408,14190838
0,Jan 07 2022,0.6699,0.6802,0.6083,0.6247,1065704,15498792
0,Jan 06 2022,0.636,0.6912,0.6354,0.6699,917020,16620713
0,Jan 05 2022,0.6955,0.7448,0.6316,0.6362,909648,15785189
0,Jan 04 2022,0.7225,0.7334,0.695,0.6953,747680,17251568
0,Jan 03 2022,0.7492,0.7618,0.7206,0.7225,774898,17925036
0,Jan 02 2022,0.7041,0.7532,0.6971,0.7527,811522,18674209
0,Jan 01 2022,0.7323,0.751,0.698,0.7043,559085,17474297
0,Dec 31 2021,0.7123,0.7465,0.6916,0.7323,744688,18168149
0,Dec 30 2021,0.6602,0.7175,0.6571,0.7128,1074826,17683447
0,Dec 29 2021,0.7157,0.722,0.6481,0.66,1132960,16375460
0,Dec 28 2021,0.7905,0.8214,0.7149,0.7166,1173260,17778458
0,Dec 27 2021,0.6873,0.7964,0.6867,0.7899,924512,19596675
0,Dec 26 2021,0.6667,0.6938,0.6578,0.6877,789742,17061445
0,Dec 25 2021,0.6876,0.7172,0.6575,0.6662,823791,16527974
0,Dec 24 2021,0.6857,0.7027,0.6664,0.6875,771742,17057282
0,Dec 23 2021,0.6372,0.6933,0.6102,0.6853,680552,17001776
0,Dec 22 2021,0.6352,0.6478,0.6198,0.6372,707532,15809284
0,Dec 21 2021,0.5943,0.64,0.5898,0.6353,871303,15761318
0,Dec 20 2021,0.6244,0.6314,0.5892,0.5945,861438,14748926
0,Dec 19 2021,0.6129,0.6387,0.6069,0.6246,934894,15497587
0,Dec 18 2021,0.6583,0.6741,0.6073,0.6129,989723,15205097
0,Dec 17 2021,0.687,0.6986,0.6316,0.6583,1236149,16332273
0,Dec 16 2021,0.6713,0.763,0.668,0.6869,1255809,17040950
0,Dec 15 2021,0.634,0.6801,0.6242,0.6711,861497,16650924
0,Dec 14 2021,0.642,0.6631,0.6067,0.6081,842544,15087240
