index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,16.84,18.32,16.69,17.23,10539889,163687355
0,Jan 31 2022,16.05,17.42,14.64,16.84,8508701,159986160
0,Jan 30 2022,16.38,17.27,15.65,16.05,7317249,152505846
0,Jan 29 2022,17.04,18.00,16.21,16.38,9349262,155583333
0,Jan 28 2022,16.78,17.21,15.61,17.09,7044769,162354126
0,Jan 27 2022,15.87,17.23,14.04,16.79,12161500,159523640
0,Jan 26 2022,14.78,18.78,14.10,15.85,15643185,150551388
0,Jan 25 2022,14.44,15.73,13.18,14.79,13132333,140512081
0,Jan 24 2022,15.32,15.32,11.25,14.48,19037734,137579878
0,Jan 23 2022,14.79,16.22,13.40,15.32,8490838,145497383
0,Jan 22 2022,16.24,16.81,12.51,14.77,8264811,140277849
0,Jan 21 2022,19.95,20.68,15.64,16.26,13447283,154511058
0,Jan 20 2022,21.23,24.31,19.76,19.94,8547123,189410422
0,Jan 19 2022,23.09,23.12,20.98,21.30,4941695,202359568
0,Jan 18 2022,22.80,23.46,21.01,23.08,6531975,219256314
0,Jan 17 2022,24.81,24.91,21.84,22.81,8584456,216697103
0,Jan 16 2022,25.88,26.03,23.80,24.80,5869241,235618164
0,Jan 15 2022,26.12,27.17,25.29,25.87,6560069,245789516
0,Jan 14 2022,26.24,28.55,25.06,26.11,11533471,248045556
0,Jan 13 2022,28.56,29.10,25.61,26.24,10570832,249323898
0,Jan 12 2022,26.61,29.94,26.61,28.52,9529943,270913001
0,Jan 11 2022,25.98,27.53,24.01,26.58,11084876,252468420
0,Jan 10 2022,26.89,27.83,22.66,25.98,10560594,246785239
0,Jan 09 2022,22.99,28.17,22.78,26.85,13542482,255105473
0,Jan 08 2022,21.27,24.27,20.54,22.97,6052448,218182210
0,Jan 07 2022,24.29,24.50,20.22,21.30,7675820,202310112
0,Jan 06 2022,27.10,27.95,22.63,24.27,11158155,230521057
0,Jan 05 2022,28.91,30.22,24.53,27.15,9193294,257964924
0,Jan 04 2022,29.56,31.15,28.88,28.97,4904697,275207297
0,Jan 03 2022,33.26,33.31,29.16,29.58,6226315,280964598
0,Jan 02 2022,32.71,33.71,31.86,33.26,3102703,315972716
0,Jan 01 2022,32.29,33.58,31.54,32.63,4226455,309943056
0,Dec 31 2021,34.00,35.74,31.65,32.58,4563792,309479220
0,Dec 30 2021,32.46,35.09,31.57,33.97,7128045,322669541
0,Dec 29 2021,34.89,36.51,32.05,32.40,7133600,307809847
0,Dec 28 2021,39.66,39.71,34.77,34.90,9593241,331503594
0,Dec 27 2021,39.14,42.00,39.14,39.70,6124974,377129230
0,Dec 26 2021,38.19,41.15,36.51,39.48,6316542,375025505
0,Dec 25 2021,37.94,40.00,37.58,38.20,4957800,362931176
0,Dec 24 2021,39.93,42.67,37.58,37.98,9069158,360836997
0,Dec 23 2021,36.97,41.02,36.06,39.91,10836499,379117663
0,Dec 22 2021,39.85,42.21,36.86,36.93,12017781,350811730
0,Dec 21 2021,33.85,40.74,33.30,39.88,10620582,378902005
0,Dec 20 2021,36.82,37.14,31.66,33.88,11991831,321883700
0,Dec 19 2021,39.76,39.76,36.44,36.82,5070442,349801193
0,Dec 18 2021,38.05,41.09,36.52,39.77,8547049,377788687
0,Dec 17 2021,40.51,41.57,36.16,37.97,13208058,360738659
0,Dec 16 2021,43.12,46.57,40.32,40.48,10951531,384519413
0,Dec 15 2021,41.54,46.87,36.89,43.00,16553668,408540633
0,Dec 14 2021,39.09,42.02,34.52,41.53,19275316,394574429
0,Dec 13 2021,48.98,49.29,38.06,39.04,16133618,370913273
0,Dec 12 2021,45.47,50.75,45.02,48.97,11723790,465179631
0,Dec 11 2021,42.67,48.82,42.56,45.56,11100052,432783469
0,Dec 10 2021,44.47,50.67,42.36,42.59,20991438,404584496
0,Dec 09 2021,48.99,49.79,43.69,44.45,15715346,422289120
0,Dec 08 2021,46.10,51.41,44.47,49.05,18062788,465976086
0,Dec 07 2021,49.83,55.21,43.54,46.25,21777582,439401057
0,Dec 06 2021,50.77,50.93,38.61,49.83,32464925,473426195
0,Dec 05 2021,51.91,61.90,47.72,50.77,26317447,482273473
0,Dec 04 2021,62.73,63.60,41.49,51.95,42503240,493512400
0,Dec 03 2021,50.88,66.98,50.35,62.87,54876863,597311846
0,Dec 02 2021,43.04,54.84,41.25,50.92,31222806,483777096
0,Dec 01 2021,35.98,48.87,35.72,42.90,28536049,407547586
0,Nov 30 2021,36.15,37.45,32.35,35.99,11464542,341858257
0,Nov 29 2021,33.53,36.96,33.19,36.09,7751060,342831028
0,Nov 28 2021,33.42,36.61,30.30,33.51,13613676,318324746
0,Nov 27 2021,30.65,36.31,30.65,33.68,12361174,319953068
0,Nov 26 2021,33.33,35.35,28.42,30.59,16610217,290576220
0,Nov 25 2021,31.19,35.99,29.71,35.02,21874165,332727586
0,Nov 24 2021,36.90,37.46,30.34,35.90,12126419,341082356
0,Nov 23 2021,36.45,37.81,35.05,36.83,12601991,349841909
0,Nov 22 2021,39.45,39.68,34.23,36.35,16184171,345304508
0,Nov 21 2021,36.96,39.89,35.04,39.55,16532313,375732217
0,Nov 20 2021,33.66,37.31,31.40,36.82,13754904,349800527
0,Nov 19 2021,32.44,34.73,30.09,33.80,12569268,321068261
0,Nov 18 2021,28.17,37.31,27.83,32.33,26949191,307111882
0,Nov 17 2021,29.53,30.77,27.48,28.13,11209425,267197399
0,Nov 16 2021,32.11,32.51,25.85,29.62,31558495,281425674
0,Nov 15 2021,29.66,34.70,29.66,31.93,18330456,303297157
0,Nov 14 2021,34.61,38.81,27.97,29.78,31097919,282944982
0,Nov 13 2021,23.17,34.89,22.93,34.89,51345407,331477666
0,Nov 12 2021,18.78,24.19,16.47,23.12,26117485,219665912
0,Nov 11 2021,12.20,19.48,11.69,18.84,19148409,178972217
0,Nov 10 2021,14.57,14.70,11.13,12.21,5033969,116014265
0,Nov 09 2021,13.59,14.90,12.72,14.57,5065992,138424823
0,Nov 08 2021,11.05,14.58,11.01,13.58,6603014,129020993
0,Nov 07 2021,11.07,12.06,10.62,11.05,2974778,104990522
0,Nov 06 2021,11.63,12.02,10.07,11.07,2833181,105125095
0,Nov 05 2021,12.56,12.61,10.80,11.63,3631625,110515119
0,Nov 04 2021,12.35,13.44,11.66,12.53,7223354,119029794
0,Nov 03 2021,11.15,13.21,10.49,12.42,12545433,117987283
0,Nov 02 2021,9.27,11.39,8.96,11.15,8935528,105956759
0,Nov 01 2021,8.72,9.31,8.30,9.25,4074473,87849039
0,Oct 31 2021,8.32,9.31,7.90,8.73,3673748,82911788
0,Oct 30 2021,8.84,8.98,8.01,8.27,1992812,78560507
0,Oct 29 2021,8.84,9.57,8.51,8.84,2763769,83999316
0,Oct 28 2021,8.63,9.32,8.19,8.84,3011797,83951892
0,Oct 27 2021,9.63,9.92,8.01,8.63,4513020,82006174
0,Oct 26 2021,10.36,10.36,9.38,9.63,3314609,91529393
0,Oct 25 2021,9.96,10.91,9.72,10.36,4581515,98446059
0,Oct 24 2021,9.47,10.90,8.79,9.94,6455021,94464448
0,Oct 23 2021,8.41,9.66,8.19,9.47,2347325,89942885
0,Oct 22 2021,8.34,8.90,8.17,8.41,2102482,79899007
0,Oct 21 2021,8.32,8.53,8.11,8.34,1749150,79197199
0,Oct 20 2021,8.19,8.80,7.92,8.32,3119783,79067528
0,Oct 19 2021,8.20,8.85,8.02,8.19,1917204,77791446
