index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.8773,0.9262,0.8251,0.8957,669212,10964854
0,Jan 30 2022,0.8923,0.9199,0.8706,0.8773,558491,10739746
0,Jan 29 2022,0.9039,0.9629,0.8739,0.8959,982302,10966704
0,Jan 28 2022,0.9286,0.934,0.859,0.9039,797339,11065063
0,Jan 27 2022,0.9205,0.9433,0.884,0.9267,1215852,11344227
0,Jan 26 2022,0.947,0.999,0.9086,0.9207,1549138,11270811
0,Jan 25 2022,0.9408,1.02,0.9346,0.9471,978358,11593544
0,Jan 24 2022,1.03,1.03,0.8388,0.9408,940705,11516834
0,Jan 23 2022,0.9844,1.03,0.91,1.03,1067989,12581575
0,Jan 22 2022,1.05,1.06,0.8576,0.9839,1648358,12044805
0,Jan 21 2022,1.18,1.23,1.01,1.05,2122069,12884496
0,Jan 20 2022,1.49,1.50,1.19,1.19,3354269,14506226
0,Jan 19 2022,1.60,1.68,1.49,1.49,5097162,18289478
0,Jan 18 2022,1.57,1.64,1.46,1.60,7220932,19610383
0,Jan 17 2022,1.60,1.67,1.43,1.57,4606021,19237133
0,Jan 16 2022,1.59,1.62,1.43,1.60,2329705,19551718
0,Jan 15 2022,1.45,1.67,1.36,1.59,3740900,19454130
0,Jan 14 2022,1.10,1.65,1.09,1.45,5235807,17763973
0,Jan 13 2022,1.19,1.20,1.10,1.10,1314174,13490833
0,Jan 12 2022,1.18,1.22,1.14,1.19,1075367,14546712
0,Jan 11 2022,1.12,1.19,1.12,1.18,685893,14483585
0,Jan 10 2022,1.26,1.27,1.08,1.12,903338,13750742
0,Jan 09 2022,1.22,1.26,1.13,1.26,836071,15387657
0,Jan 08 2022,1.35,1.35,1.14,1.22,1067691,14952723
0,Jan 07 2022,1.45,1.45,1.33,1.34,912757,16462487
0,Jan 06 2022,1.37,1.45,1.29,1.45,1211494,17730358
0,Jan 05 2022,1.51,1.58,1.34,1.37,1351082,16758239
0,Jan 04 2022,1.58,1.62,1.51,1.51,1034909,18504977
0,Jan 03 2022,1.65,1.68,1.56,1.57,1219253,19179905
0,Jan 02 2022,1.69,1.74,1.64,1.65,1195524,20165033
0,Jan 01 2022,1.52,1.72,1.52,1.69,1152015,20661430
0,Dec 31 2021,1.53,1.56,1.41,1.52,1307175,18607849
0,Dec 30 2021,1.51,1.59,1.49,1.53,949653,18676328
0,Dec 29 2021,1.61,1.66,1.51,1.51,1031342,18519012
0,Dec 28 2021,1.77,1.78,1.57,1.60,1301475,19645336
0,Dec 27 2021,1.85,1.90,1.73,1.77,1804277,21691883
0,Dec 26 2021,1.92,1.93,1.85,1.86,980995,22712403
0,Dec 25 2021,1.94,1.95,1.90,1.92,956384,23463372
0,Dec 24 2021,1.96,2.08,1.90,1.94,1573900,23730882
0,Dec 23 2021,1.90,2.07,1.83,1.96,1975842,23998229
0,Dec 22 2021,1.85,1.99,1.85,1.90,2053156,23245564
0,Dec 21 2021,1.77,1.88,1.73,1.85,1387409,22607845
0,Dec 20 2021,1.72,1.77,1.57,1.77,1632388,21611184
0,Dec 19 2021,1.78,1.84,1.73,1.73,1166131,21148479
0,Dec 18 2021,1.78,1.85,1.71,1.78,1729375,21767150
0,Dec 17 2021,1.88,1.96,1.75,1.77,1509067,21714045
0,Dec 16 2021,1.90,2.08,1.83,1.88,2184475,22988212
0,Dec 15 2021,1.68,1.93,1.64,1.90,2399547,23247138
0,Dec 14 2021,1.65,1.75,1.56,1.69,1243872,20627610
0,Dec 13 2021,1.87,1.97,1.57,1.64,2217449,20134920
0,Dec 12 2021,1.58,1.97,1.55,1.87,1971085,22889947
0,Dec 11 2021,1.47,1.59,1.45,1.58,1339138,19330892
0,Dec 10 2021,1.53,1.61,1.41,1.47,1645164,18027639
0,Dec 09 2021,1.82,1.82,1.46,1.53,1832964,18735161
0,Dec 08 2021,1.77,1.83,1.60,1.82,1900039,22286015
0,Dec 07 2021,1.82,1.87,1.72,1.77,2120363,21646356
0,Dec 06 2021,1.60,1.88,1.20,1.82,4254554,22227486
0,Dec 05 2021,1.77,1.78,1.53,1.60,1594428,19630955
0,Dec 04 2021,1.94,2.00,1.59,1.77,3386182,21686289
0,Dec 03 2021,2.17,2.35,1.91,1.94,3078489,23743543
0,Dec 02 2021,2.26,2.27,2.01,2.17,3373204,26584037
0,Dec 01 2021,2.48,2.52,2.21,2.24,4176844,27459852
0,Nov 30 2021,2.87,2.87,2.45,2.48,3386548,30358674
0,Nov 29 2021,2.80,2.87,2.59,2.87,4122572,35137222
0,Nov 28 2021,2.82,2.88,2.56,2.80,3725931,34302049
0,Nov 27 2021,2.67,3.00,2.61,2.82,3564826,34479040
0,Nov 26 2021,3.04,3.09,2.54,2.67,5824505,32709508
0,Nov 25 2021,3.15,3.24,2.96,3.23,7122538,39569971
0,Nov 24 2021,3.00,3.26,2.85,3.09,5679931,37778810
0,Nov 23 2021,2.88,3.07,2.81,3.01,4621806,36814984
0,Nov 22 2021,2.69,3.08,2.51,2.87,6942260,35124822
0,Nov 21 2021,2.94,3.27,2.67,2.68,8308715,32772910
0,Nov 20 2021,2.64,2.99,2.34,2.93,8092052,35838733
0,Nov 19 2021,2.30,2.65,2.29,2.64,4055365,32324596
0,Nov 18 2021,2.63,2.81,2.17,2.30,5890865,28195802
0,Nov 17 2021,2.18,2.84,2.17,2.63,10899527,32184585
0,Nov 16 2021,2.12,2.35,1.76,2.18,7174245,26675512
0,Nov 15 2021,2.08,2.28,1.97,2.13,3834711,26016325
0,Nov 14 2021,2.16,2.36,1.92,2.08,5031788,25492681
0,Nov 13 2021,1.82,2.23,1.81,2.16,5818852,26481713
0,Nov 12 2021,1.86,1.95,1.65,1.82,2889701,22240820
0,Nov 11 2021,1.67,1.93,1.60,1.86,3703199,22788440
0,Nov 10 2021,1.85,1.93,1.57,1.67,3165060,20396724
0,Nov 09 2021,1.96,2.02,1.74,1.81,2405800,22215758
0,Nov 08 2021,1.98,2.17,1.85,1.96,4045839,23951869
0,Nov 07 2021,1.81,2.11,1.68,1.99,4389933,24406617
0,Nov 06 2021,1.70,1.87,1.64,1.81,3237778,22098495
0,Nov 05 2021,1.62,1.75,1.59,1.70,2855194,20825393
0,Nov 04 2021,1.84,1.85,1.54,1.62,4241870,19839291
0,Nov 03 2021,2.01,2.18,1.69,1.83,6815145,22369992
