index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.07462,0.07611,0.07226,0.07582,156625,8794402
0,Jan 30 2022,0.07602,0.07665,0.07338,0.07462,104917,8656215
0,Jan 29 2022,0.07445,0.07795,0.07433,0.07602,88280,8818215
0,Jan 28 2022,0.07818,0.07872,0.07365,0.07445,202048,8635881
0,Jan 27 2022,0.07437,0.0787,0.0712,0.0782,272779,9070556
0,Jan 26 2022,0.07389,0.08026,0.07248,0.07437,290475,8626907
0,Jan 25 2022,0.06252,0.07522,0.06025,0.0739,303376,8572573
0,Jan 24 2022,0.06701,0.06701,0.05701,0.06252,211341,7252205
0,Jan 23 2022,0.0613,0.06901,0.06103,0.06699,166426,7770553
0,Jan 22 2022,0.06444,0.06535,0.05755,0.0613,138091,7110222
0,Jan 21 2022,0.07513,0.07539,0.06396,0.06444,184480,7474838
0,Jan 20 2022,0.07991,0.08196,0.07511,0.07511,139595,8712590
0,Jan 19 2022,0.08118,0.08352,0.07703,0.07991,214351,9269492
0,Jan 18 2022,0.08212,0.08268,0.07587,0.08118,198646,9417158
0,Jan 17 2022,0.08735,0.08809,0.08059,0.08213,173123,9526333
0,Jan 16 2022,0.0816,0.08988,0.08115,0.08735,169072,10132338
0,Jan 15 2022,0.0792,0.08237,0.07876,0.08159,144074,9464398
0,Jan 14 2022,0.08305,0.08548,0.07906,0.0792,207475,9187050
0,Jan 13 2022,0.09069,0.09091,0.08111,0.08305,253846,9633697
0,Jan 12 2022,0.08456,0.09464,0.08335,0.09069,243003,10519683
0,Jan 11 2022,0.07592,0.08475,0.07535,0.08456,483759,9809124
0,Jan 10 2022,0.08191,0.08255,0.07234,0.07592,669601,8806359
0,Jan 09 2022,0.08036,0.08287,0.071,0.08191,563094,9501469
0,Jan 08 2022,0.09059,0.09359,0.0766,0.08036,356628,9321870
0,Jan 07 2022,0.1057,0.1057,0.08882,0.09059,281234,10508477
0,Jan 06 2022,0.1113,0.1114,0.1043,0.1057,319546,12261578
0,Jan 05 2022,0.1147,0.1252,0.1081,0.1113,369135,12907376
0,Jan 04 2022,0.1207,0.1225,0.1132,0.1147,247796,13309992
0,Jan 03 2022,0.1283,0.1295,0.1187,0.1207,155402,13998561
0,Jan 02 2022,0.1252,0.1289,0.1243,0.1283,137489,14877118
0,Jan 01 2022,0.1227,0.1261,0.1221,0.1252,192733,14522014
0,Dec 31 2021,0.1272,0.129,0.1213,0.1227,253556,14236731
0,Dec 30 2021,0.129,0.135,0.1261,0.1273,273820,14764267
0,Dec 29 2021,0.1355,0.1407,0.1286,0.1288,484444,14945514
0,Dec 28 2021,0.1461,0.1497,0.1323,0.1357,862388,15743637
0,Dec 27 2021,0.1481,0.1627,0.1458,0.1459,720408,16928762
0,Dec 26 2021,0.1516,0.1516,0.1428,0.1484,284875,17218151
0,Dec 25 2021,0.1448,0.1539,0.1446,0.1514,575317,17564834
0,Dec 24 2021,0.1358,0.1509,0.1328,0.145,696542,16821788
0,Dec 23 2021,0.1352,0.1375,0.1323,0.1357,560532,15743243
