index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,6.19,7.07,5.76,6.98,753425,87208463
0,Jan 30 2022,7.06,7.48,6.10,6.19,998668,77348013
0,Jan 29 2022,6.39,7.56,6.39,7.07,1087346,88345932
0,Jan 28 2022,6.28,6.52,5.95,6.40,528510,79944034
0,Jan 27 2022,5.35,6.44,5.31,6.28,1256929,78485235
0,Jan 26 2022,5.50,6.25,5.18,5.35,877215,66846676
0,Jan 25 2022,5.19,5.57,4.95,5.50,776895,68756668
0,Jan 24 2022,5.87,6.32,4.63,5.19,906258,64833771
0,Jan 23 2022,4.45,6.57,4.45,6.02,1342680,75281604
0,Jan 22 2022,4.95,5.14,4.18,4.45,1095738,55586910
0,Jan 21 2022,5.91,5.99,4.90,4.95,964372,61815745
0,Jan 20 2022,6.10,6.42,5.91,5.91,70756,73899356
0,Jan 19 2022,6.42,6.48,5.89,6.11,469676,76380358
0,Jan 18 2022,6.48,6.63,6.25,6.42,358513,80283959
0,Jan 17 2022,6.92,7.08,6.47,6.48,419826,81057951
0,Jan 16 2022,7.11,7.20,6.48,6.92,640377,86521475
0,Jan 15 2022,7.46,7.64,6.87,7.11,711435,88861967
0,Jan 14 2022,7.02,7.54,6.95,7.46,405021,93293850
0,Jan 13 2022,7.60,7.69,6.97,7.02,512898,87766387
0,Jan 12 2022,7.56,7.95,7.17,7.60,750699,94963396
0,Jan 11 2022,7.19,7.56,7.12,7.56,557524,94483632
0,Jan 10 2022,8.12,8.15,6.77,7.19,1055553,89933827
0,Jan 09 2022,6.64,8.37,6.60,8.12,1251643,101439655
0,Jan 08 2022,6.91,8.36,6.33,6.64,2152073,82941327
0,Jan 07 2022,8.38,8.40,6.62,6.91,1306523,86413676
0,Jan 06 2022,8.73,8.73,7.62,8.38,974395,0
0,Jan 05 2022,9.57,9.59,8.32,8.73,1008011,0
0,Jan 04 2022,9.80,10.07,9.26,9.56,593724,0
0,Jan 03 2022,9.62,10.05,9.56,9.80,317950,0
0,Jan 02 2022,9.66,10.08,9.49,9.62,579509,0
0,Jan 01 2022,9.61,9.88,9.34,9.66,1062677,0
0,Dec 31 2021,9.91,10.25,9.53,9.61,811391,0
0,Dec 30 2021,9.75,10.53,9.75,9.89,844455,0
0,Dec 29 2021,10.90,10.90,9.75,9.75,791384,0
0,Dec 28 2021,11.72,11.72,10.66,10.91,1006025,0
0,Dec 27 2021,9.50,12.73,9.50,11.69,3347348,0
0,Dec 26 2021,9.56,9.61,9.28,9.50,689825,0
0,Dec 25 2021,9.52,9.77,9.27,9.57,892212,0
0,Dec 24 2021,9.19,10.50,8.82,9.52,3565727,0
0,Dec 23 2021,10.22,10.22,8.21,9.22,6549723,0
0,Dec 22 2021,11.03,11.44,10.09,10.22,1748268,0
0,Dec 21 2021,11.43,11.74,10.14,11.03,2419781,0
0,Dec 20 2021,12.79,12.88,11.39,11.42,932159,0
