index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,4.23,4.48,4.21,4.35,159485790,552910075
0,Jan 31 2022,4.09,4.30,3.89,4.23,154487715,538454217
0,Jan 30 2022,4.18,4.32,4.02,4.09,128239077,520778326
0,Jan 29 2022,4.17,4.31,4.13,4.17,143527220,531109770
0,Jan 28 2022,4.06,4.20,3.95,4.17,174346803,530121995
0,Jan 27 2022,4.26,4.28,3.87,4.06,234818929,516293444
0,Jan 26 2022,4.54,4.75,4.13,4.27,314795776,542771884
0,Jan 25 2022,4.40,4.64,4.29,4.55,193797353,578353265
0,Jan 24 2022,4.65,4.65,3.83,4.40,307660173,559637388
0,Jan 23 2022,4.39,4.75,4.33,4.65,248026087,592291736
0,Jan 22 2022,4.93,5.08,4.08,4.39,410046923,558466599
0,Jan 21 2022,5.80,5.91,4.85,4.92,364230200,626225441
0,Jan 20 2022,6.04,6.58,5.80,5.80,181286290,737880780
0,Jan 19 2022,6.22,6.24,5.93,6.04,199460575,769042429
0,Jan 18 2022,6.44,6.56,6.04,6.22,179536453,791415008
0,Jan 17 2022,6.96,6.97,6.34,6.44,202283009,819669162
0,Jan 16 2022,7.04,7.08,6.87,6.96,151458033,885661066
0,Jan 15 2022,7.02,7.20,7.00,7.04,158317317,895304331
0,Jan 14 2022,7.03,7.33,6.76,7.02,269879217,893580000
0,Jan 13 2022,7.12,7.53,6.89,7.03,389249718,894750601
0,Jan 12 2022,6.97,7.27,6.97,7.12,323977401,905801867
0,Jan 11 2022,6.58,7.08,6.50,6.97,255562213,886898798
0,Jan 10 2022,6.93,7.15,6.30,6.58,331494497,837746133
0,Jan 09 2022,6.59,7.18,6.55,6.93,271479928,881769335
0,Jan 08 2022,7.16,7.26,6.34,6.59,304228329,838390557
0,Jan 07 2022,7.46,7.46,6.51,7.16,537465203,910521225
0,Jan 06 2022,7.68,7.81,7.16,7.46,373166518,949424533
0,Jan 05 2022,8.06,9.00,7.38,7.68,673650073,977325450
