index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,3.87,4.15,3.67,4.10,1280521564,3794340091
0,Jan 30 2022,3.88,4.07,3.70,3.87,1141772001,3580679528
0,Jan 29 2022,3.49,3.90,3.48,3.87,1152568086,3581537369
0,Jan 28 2022,3.38,3.55,3.27,3.49,1049328194,3228284503
0,Jan 27 2022,3.08,3.54,2.98,3.38,1291555756,3127944838
0,Jan 26 2022,3.04,3.39,2.98,3.08,1074877825,2852461559
0,Jan 25 2022,3.00,3.09,2.89,3.04,659155339,2814725899
0,Jan 24 2022,3.12,3.12,2.64,3.00,992117612,2764615342
0,Jan 23 2022,2.99,3.24,2.94,3.12,839959738,2881017471
0,Jan 22 2022,3.34,3.39,2.63,2.98,1459166837,2750700826
0,Jan 21 2022,3.93,4.00,3.25,3.34,1083927254,3073420984
0,Jan 20 2022,4.23,4.45,3.93,3.93,403692669,3622337835
0,Jan 19 2022,4.47,4.48,4.15,4.23,584728862,3895306444
0,Jan 18 2022,4.61,4.64,4.39,4.47,588967252,4117085137
0,Jan 17 2022,4.90,4.94,4.54,4.60,628001366,4241102820
0,Jan 16 2022,4.85,5.05,4.76,4.90,630602020,4515627988
0,Jan 15 2022,4.90,4.92,4.80,4.85,481784072,4468430569
0,Jan 14 2022,4.83,4.96,4.69,4.90,834651727,4514015973
0,Jan 13 2022,5.14,5.20,4.82,4.83,986620976,4449011725
0,Jan 12 2022,4.73,5.20,4.73,5.14,1130820610,4731344061
0,Jan 11 2022,4.46,4.76,4.38,4.73,877910170,4356783369
0,Jan 10 2022,4.72,4.77,4.25,4.46,981222474,4097983711
0,Jan 09 2022,4.62,4.89,4.59,4.72,716912699,4345082385
0,Jan 08 2022,4.85,5.01,4.49,4.62,747333666,4253638581
0,Jan 07 2022,5.23,5.25,4.77,4.85,1133445969,4459035661
0,Jan 06 2022,5.02,5.38,4.73,5.24,1538836091,4815920484
0,Jan 05 2022,5.47,5.64,4.77,5.02,1241515702,4614289358
0,Jan 04 2022,5.69,5.71,5.45,5.48,905606692,5034460348
0,Jan 03 2022,5.93,5.97,5.60,5.69,797054667,5229516037
0,Jan 02 2022,5.97,5.99,5.84,5.93,695851907,5453462636
0,Jan 01 2022,5.85,6.01,5.85,5.97,653281372,5491794278
0,Dec 31 2021,5.91,6.16,5.76,5.85,1184003746,5376959432
0,Dec 30 2021,5.81,6.02,5.60,5.91,1159773547,5431252531
0,Dec 29 2021,5.86,6.15,5.72,5.79,1601130773,5328079659
0,Dec 28 2021,6.43,6.43,5.77,5.86,1770738536,5392389845
0,Dec 27 2021,6.72,6.77,6.36,6.42,1152552266,5899168602
0,Dec 26 2021,6.70,6.96,6.56,6.73,1899187347,6187152291
0,Dec 25 2021,5.86,6.80,5.80,6.71,2160894753,6166671583
0,Dec 24 2021,6.32,6.45,5.77,5.85,1873567934,5377552750
0,Dec 23 2021,5.11,6.35,5.05,6.29,2089217372,5781554334
0,Dec 22 2021,5.15,5.27,5.07,5.12,731525281,4704136473
0,Dec 21 2021,4.96,5.20,4.89,5.16,743616398,4743760664
0,Dec 20 2021,5.02,5.07,4.73,4.96,753877037,4560674842
0,Dec 19 2021,5.16,5.28,4.99,5.02,754247978,4593485757
0,Dec 18 2021,4.92,5.28,4.84,5.16,926376212,4725509920
0,Dec 17 2021,4.95,5.08,4.71,4.92,961959358,4501060944
0,Dec 16 2021,5.14,5.36,4.91,4.95,1084314052,4522177498
0,Dec 15 2021,4.78,5.20,4.44,5.15,1422255804,4700669037
0,Dec 14 2021,4.80,4.91,4.57,4.78,1081580646,4364506496
0,Dec 13 2021,5.47,5.62,4.70,4.80,1292574037,4380738617
0,Dec 12 2021,5.06,5.51,5.04,5.48,1442375174,5001462576
0,Dec 11 2021,4.86,5.13,4.75,5.06,854751295,4624112102
0,Dec 10 2021,5.21,5.36,4.83,4.86,1293183490,4438760367
0,Dec 09 2021,5.34,5.69,5.11,5.22,1956454763,4764383447
0,Dec 08 2021,5.32,5.50,5.05,5.35,1186341640,4889509444
0,Dec 07 2021,5.51,5.73,5.25,5.33,1482649371,4866815386
0,Dec 06 2021,5.42,5.70,4.78,5.51,2471720119,5031813305
0,Dec 05 2021,6.08,6.15,5.23,5.43,1996358755,4958726004
0,Dec 04 2021,6.04,6.19,4.19,6.06,4922178604,5537081973
0,Dec 03 2021,6.70,6.96,5.73,6.03,2253228786,5511157675
0,Dec 02 2021,6.58,6.85,6.02,6.71,2624486759,6129119516
0,Dec 01 2021,6.79,7.03,6.34,6.58,2104455950,6007426093
0,Nov 30 2021,7.00,7.19,6.66,6.77,2883215549,6184966479
0,Nov 29 2021,7.53,7.94,6.95,6.97,4545318881,6360390814
0,Nov 28 2021,6.56,7.59,5.80,7.49,6242370702,6683499661
0,Nov 27 2021,6.99,7.10,6.22,6.56,3146113846,5849901581
0,Nov 26 2021,7.17,7.77,6.38,6.92,5692742260,6174066349
0,Nov 25 2021,7.46,8.44,6.70,8.40,11077988546,7496821729
0,Nov 24 2021,5.36,8.00,5.26,6.33,5425767404,5651874160
0,Nov 23 2021,4.97,5.68,4.88,5.36,4615278288,4786036944
0,Nov 22 2021,4.01,4.97,3.76,4.96,3130548623,4421755146
0,Nov 21 2021,4.22,4.45,3.86,4.03,1527980685,3594897343
0,Nov 20 2021,4.42,4.44,4.03,4.21,1596136120,3756065475
0,Nov 19 2021,4.32,4.50,3.97,4.42,2956587496,3947515079
0,Nov 18 2021,3.76,4.68,3.59,4.31,5550774283,3846727884
0,Nov 17 2021,3.25,3.81,3.13,3.73,3933977180,3332531139
0,Nov 16 2021,2.80,3.40,2.32,3.23,3170375086,2881892048
0,Nov 15 2021,2.84,3.00,2.72,2.80,818744818,2494522628
0,Nov 14 2021,2.80,2.97,2.75,2.84,970144608,2529983231
0,Nov 13 2021,2.63,3.20,2.58,2.80,2662765125,2499390781
0,Nov 12 2021,2.43,2.83,2.39,2.62,1740234490,2338461310
0,Nov 11 2021,2.30,2.55,2.25,2.43,577342879,2171850046
0,Nov 10 2021,2.38,2.63,2.05,2.29,1193352934,2046324024
0,Nov 09 2021,2.57,2.57,2.37,2.38,678592058,2122408230
0,Nov 08 2021,2.69,2.71,2.48,2.57,827078165,2294457154
0,Nov 07 2021,2.71,2.74,2.61,2.68,485635590,2393462925
0,Nov 06 2021,2.56,2.86,2.54,2.70,1373637974,2411441065
0,Nov 05 2021,2.69,2.79,2.45,2.57,1278698313,2290585668
