index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,2.95,2.97,2.88,2.92,160511352,2922106737
0,Jan 31 2022,2.88,2.95,2.71,2.95,198679473,2946144116
0,Jan 30 2022,2.98,3.11,2.82,2.88,174656983,2879262266
0,Jan 29 2022,2.94,3.02,2.90,2.98,170410510,2978909429
0,Jan 28 2022,2.90,2.97,2.81,2.94,233236240,2943197195
0,Jan 27 2022,2.83,3.13,2.79,2.90,563682060,2902982835
0,Jan 26 2022,2.61,3.10,2.59,2.83,483336852,2834394679
0,Jan 25 2022,2.59,2.70,2.49,2.61,251347358,2612431408
0,Jan 24 2022,2.78,2.79,2.29,2.59,374183035,2593408495
0,Jan 23 2022,2.76,2.94,2.62,2.78,323095121,2782061335
0,Jan 22 2022,3.40,3.45,2.40,2.76,590470087,2760807238
0,Jan 21 2022,4.10,4.32,3.31,3.40,421178503,3396224886
0,Jan 20 2022,4.33,4.64,4.10,4.10,236076709,4100619457
0,Jan 19 2022,4.22,4.47,4.15,4.33,500706919,4331744110
0,Jan 18 2022,3.96,4.25,3.85,4.22,324885686,4224123566
0,Jan 17 2022,4.20,4.22,3.90,3.96,178953779,3962635827
0,Jan 16 2022,4.10,4.29,4.05,4.21,144065778,4205319174
0,Jan 15 2022,4.15,4.16,4.05,4.10,117894575,4097959602
0,Jan 14 2022,3.97,4.15,3.89,4.15,179130634,4146339771
0,Jan 13 2022,4.27,4.29,3.97,3.97,202137726,3970036884
0,Jan 12 2022,4.09,4.35,4.09,4.28,178023045,4275362448
0,Jan 11 2022,3.85,4.15,3.81,4.09,168114758,4093125602
0,Jan 10 2022,4.04,4.12,3.70,3.85,216174209,3846782760
0,Jan 09 2022,3.99,4.14,3.94,4.04,162053331,4036943175
0,Jan 08 2022,4.19,4.33,3.83,3.99,236524097,3985356910
0,Jan 07 2022,4.39,4.40,4.05,4.19,264833881,4189619711
0,Jan 06 2022,4.43,4.44,4.18,4.39,258814364,4393118284
