index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.2694,0.2721,0.2567,0.2682,1036167,14045571
0,Jan 30 2022,0.2829,0.285,0.2613,0.2694,1109657,14105775
0,Jan 29 2022,0.2866,0.2987,0.2747,0.2828,1470713,14806968
0,Jan 28 2022,0.2837,0.2897,0.2657,0.2866,1884219,15008809
0,Jan 27 2022,0.2776,0.2841,0.2555,0.284,2326643,14872162
0,Jan 26 2022,0.2407,0.333,0.2389,0.2781,3247517,14561513
0,Jan 25 2022,0.2451,0.2457,0.2273,0.2407,1486357,12600642
0,Jan 24 2022,0.2525,0.254,0.2144,0.245,1791183,12827931
0,Jan 23 2022,0.2116,0.2533,0.211,0.252,1524945,13196265
0,Jan 22 2022,0.2603,0.269,0.2037,0.2115,1308092,11076024
0,Jan 21 2022,0.325,0.326,0.2491,0.2601,1913102,13619317
0,Jan 20 2022,0.3374,0.3808,0.3241,0.3251,2498275,17021847
0,Jan 19 2022,0.4144,0.4158,0.3318,0.3374,2353555,17664351
0,Jan 18 2022,0.4474,0.4522,0.3909,0.4144,2666808,21698244
0,Jan 17 2022,0.5242,0.5365,0.4307,0.4477,2932269,23442020
0,Jan 16 2022,0.5149,0.5279,0.5025,0.5244,2429775,27456739
0,Jan 15 2022,0.5514,0.5527,0.504,0.5149,2923218,26961960
0,Jan 14 2022,0.5235,0.5572,0.5033,0.5514,2523411,28872978
0,Jan 13 2022,0.5752,0.5783,0.5125,0.5236,2702171,27415880
0,Jan 12 2022,0.5036,0.5793,0.4993,0.5752,2713774,30115170
0,Jan 11 2022,0.4659,0.5277,0.4583,0.5036,3195944,26366402
0,Jan 10 2022,0.5051,0.5104,0.4556,0.4659,1976852,24394305
0,Jan 09 2022,0.4885,0.5262,0.4816,0.5045,2049610,26415582
0,Jan 08 2022,0.549,0.5631,0.468,0.4883,3422361,25568524
0,Jan 07 2022,0.6331,0.6336,0.5356,0.5484,3628829,28712682
0,Jan 06 2022,0.6452,0.6592,0.6028,0.6333,4812289,33159272
0,Jan 05 2022,0.744,0.7521,0.6305,0.6449,4418445,33769171
0,Jan 04 2022,0.73,0.7895,0.7276,0.7442,6044503,38966983
0,Jan 03 2022,0.7275,0.756,0.7073,0.7286,4648385,38149288
0,Jan 02 2022,0.7749,0.7763,0.7251,0.7275,4149852,38094219
0,Jan 01 2022,0.7409,0.7916,0.7385,0.7749,3794292,40572900
0,Dec 31 2021,0.7356,0.7844,0.7264,0.7409,5875193,38792871
0,Dec 30 2021,0.7041,0.8107,0.7033,0.736,5524481,31560948
0,Dec 29 2021,0.7257,0.7291,0.7035,0.7044,3384895,30205475
0,Dec 28 2021,0.861,0.8783,0.6998,0.7267,8502579,31163359
0,Dec 27 2021,0.7842,0.9126,0.7838,0.8613,11442535,36932566
0,Dec 26 2021,0.7546,0.7841,0.6988,0.7841,6143554,33622873
0,Dec 25 2021,0.7087,0.7683,0.6968,0.7549,5717563,32372352
0,Dec 24 2021,0.7491,0.8285,0.7044,0.7116,7600168,30516741
