index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,5.57,5.75,5.39,5.66,1334354,9058952
0,Jan 30 2022,5.73,5.77,5.52,5.57,855367,8918695
0,Jan 29 2022,5.66,5.78,5.60,5.71,1065485,9137905
0,Jan 28 2022,5.65,5.73,5.38,5.66,1844472,9050183
0,Jan 27 2022,5.58,5.82,5.36,5.66,1354164,9052774
0,Jan 26 2022,6.02,6.14,5.43,5.58,2973146,8923525
0,Jan 25 2022,5.75,6.08,5.68,6.03,1781001,9648355
0,Jan 24 2022,5.90,5.99,5.29,5.74,3494829,9184322
0,Jan 23 2022,5.66,6.17,5.61,5.90,2295486,9443048
0,Jan 22 2022,5.90,6.21,5.56,5.66,5376065,9058594
0,Jan 21 2022,6.58,7.11,5.88,5.90,6352312,9442901
0,Jan 20 2022,7.02,7.33,6.57,6.57,2091518,10517491
0,Jan 19 2022,7.03,7.16,6.60,7.00,2290915,11205327
0,Jan 18 2022,6.96,7.20,6.58,7.03,2153802,11242748
0,Jan 17 2022,7.10,7.39,6.75,6.98,2354653,11167468
0,Jan 16 2022,7.34,7.34,7.05,7.10,1679570,11355201
0,Jan 15 2022,7.51,7.56,7.17,7.34,1665034,11743449
0,Jan 14 2022,7.42,7.63,7.04,7.51,2786900,12016483
0,Jan 13 2022,7.97,8.18,7.38,7.44,3963932,11907922
0,Jan 12 2022,7.64,8.33,7.41,7.99,3914159,12776964
0,Jan 11 2022,7.02,7.64,6.99,7.64,2681148,12228668
0,Jan 10 2022,7.24,7.41,6.76,7.02,3230215,11234864
0,Jan 09 2022,6.99,7.65,6.72,7.25,3042255,11605784
0,Jan 08 2022,7.10,7.45,6.52,6.99,3427922,11187220
0,Jan 07 2022,7.83,7.86,7.05,7.10,3614098,11360933
0,Jan 06 2022,8.06,8.18,7.67,7.83,3581708,12533934
0,Jan 05 2022,8.83,9.11,7.75,8.06,5296907,12900899
0,Jan 04 2022,9.06,9.14,8.81,8.83,3118662,14122501
0,Jan 03 2022,9.42,9.43,8.91,9.06,3068469,14491216
0,Jan 02 2022,9.55,9.86,9.11,9.42,3320713,15067143
0,Jan 01 2022,9.21,9.64,9.14,9.57,2639002,15310900
0,Dec 31 2021,9.32,10.03,9.07,9.23,4881229,14765944
0,Dec 30 2021,9.15,9.67,8.81,9.32,4468959,14911701
0,Dec 29 2021,9.84,10.36,9.05,9.15,6868785,14634983
0,Dec 28 2021,11.08,11.14,9.86,9.88,8485128,15811613
0,Dec 27 2021,11.05,11.75,10.85,11.07,5864886,17716801
0,Dec 26 2021,10.69,11.12,10.30,11.05,4333874,17674404
0,Dec 25 2021,10.70,11.05,10.57,10.70,2832318,17119773
0,Dec 24 2021,10.92,11.55,10.55,10.74,5911993,17190723
0,Dec 23 2021,9.80,11.28,9.51,10.92,7295835,17466769
0,Dec 22 2021,9.90,10.87,9.76,9.77,6631247,15635968
0,Dec 21 2021,8.90,10.26,8.80,9.94,5745477,15898262
0,Dec 20 2021,9.33,9.48,8.60,8.90,4301365,14235220
0,Dec 19 2021,9.10,9.70,8.87,9.34,5551381,14948957
0,Dec 18 2021,8.65,9.48,8.61,9.11,3484807,14579511
0,Dec 17 2021,8.87,9.09,8.54,8.65,4715678,13847307
0,Dec 16 2021,9.34,9.74,8.87,8.87,6474581,14186863
0,Dec 15 2021,9.01,9.82,8.43,9.35,7661777,14966781
0,Dec 14 2021,8.75,9.07,8.39,8.53,6371757,13642624
0,Dec 13 2021,9.95,10.01,8.52,8.75,7216055,14000953
0,Dec 12 2021,9.55,10.50,9.47,9.95,6171656,15914437
0,Dec 11 2021,9.16,9.72,8.70,9.55,5926858,15279003
0,Dec 10 2021,9.57,10.33,9.03,9.13,7103715,14605133
0,Dec 09 2021,10.98,11.15,9.09,9.40,8840783,15042053
0,Dec 08 2021,10.47,11.25,9.85,11.00,9718723,17599845
0,Dec 07 2021,11.54,13.00,9.82,10.47,14688655,16754256
0,Dec 06 2021,9.48,11.96,8.54,11.61,21547968,18571418
0,Dec 05 2021,11.13,11.52,9.15,9.42,11355465,15064321
0,Dec 04 2021,13.60,13.64,8.87,11.14,15932779,17828319
0,Dec 03 2021,14.84,15.11,12.58,13.63,11378386,21806186
0,Dec 02 2021,15.92,15.92,14.59,14.83,7685394,23723946
0,Dec 01 2021,16.45,17.17,15.62,15.77,8855128,25235384
0,Nov 30 2021,17.21,18.43,15.87,16.45,13778026,26321645
0,Nov 29 2021,15.00,18.49,13.69,17.23,17259536,27573052
0,Nov 28 2021,13.35,15.40,11.30,15.01,19335905,24010152
0,Nov 27 2021,13.99,14.71,12.78,13.35,9085342,21362524
0,Nov 26 2021,16.72,16.77,13.85,14.02,13286213,22429359
0,Nov 25 2021,15.22,17.33,15.12,15.33,11243884,24522301
0,Nov 24 2021,16.53,16.60,14.82,15.56,18420980,24890810
0,Nov 23 2021,17.19,17.70,15.65,16.51,18353055,26410712
0,Nov 22 2021,18.17,18.26,16.63,17.20,21761011,27516563
0,Nov 21 2021,17.61,20.00,17.58,18.22,19336783,29146165
0,Nov 20 2021,16.30,17.89,15.41,17.60,13838042,28167357
0,Nov 19 2021,14.62,17.42,13.93,16.30,16912515,26075907
0,Nov 18 2021,16.67,18.27,14.11,14.60,19275123,23367991
0,Nov 17 2021,17.74,17.81,14.88,16.66,20183800,26648959
0,Nov 16 2021,19.18,19.18,16.65,17.74,15977047,28385857
0,Nov 15 2021,20.24,21.09,18.70,19.16,11498896,30660369
0,Nov 14 2021,21.45,22.00,19.34,20.22,8930197,32354593
0,Nov 13 2021,20.19,22.00,19.60,21.45,10504969,34327479
0,Nov 12 2021,21.53,22.45,19.58,20.15,12154663,32235538
0,Nov 11 2021,21.47,21.76,19.31,21.55,14808012,34482457
0,Nov 10 2021,23.10,23.65,17.77,21.40,18624648,34239751
0,Nov 09 2021,25.28,25.35,21.73,22.99,18416818,36785853
0,Nov 08 2021,26.05,26.50,23.31,25.27,22755759,40425970
0,Nov 07 2021,22.21,26.95,22.17,26.04,29228859,41669033
0,Nov 06 2021,20.35,22.85,20.02,22.21,17168310,35536323
0,Nov 05 2021,21.77,21.87,20.05,20.35,12093316,32560537
0,Nov 04 2021,18.63,22.79,17.92,21.66,19710858,34650699
0,Nov 03 2021,19.86,20.81,17.93,18.63,10999189,29806412
