index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,1.08,1.09,1.01,1.08,5873621,306781377
0,Jan 30 2022,1.05,1.13,1.04,1.08,8935490,304919140
0,Jan 29 2022,1.05,1.07,1.02,1.05,3359763,296285166
0,Jan 28 2022,0.9996,1.05,0.963,1.04,4296734,295474991
0,Jan 27 2022,1.03,1.08,0.962,1.00,7357831,282759073
0,Jan 26 2022,0.9999,1.10,0.9881,1.03,13897365,290057896
0,Jan 25 2022,0.8896,1.03,0.8605,0.9998,8857738,282685033
0,Jan 24 2022,0.8986,0.9324,0.7891,0.8889,8625032,251332413
0,Jan 23 2022,0.8117,0.929,0.8055,0.8981,5795647,253942672
0,Jan 22 2022,0.9175,0.9207,0.7541,0.8115,8011191,229453821
0,Jan 21 2022,1.15,1.15,0.8973,0.9171,13960790,259304932
0,Jan 20 2022,1.18,1.27,1.15,1.15,6133470,325722768
0,Jan 19 2022,1.24,1.25,1.16,1.18,5239379,332474679
0,Jan 18 2022,1.23,1.26,1.16,1.24,7192239,349653321
0,Jan 17 2022,1.32,1.32,1.21,1.23,4242147,347361263
0,Jan 16 2022,1.35,1.37,1.29,1.32,5324879,372097468
0,Jan 15 2022,1.30,1.38,1.29,1.35,4511261,382444229
0,Jan 14 2022,1.30,1.34,1.27,1.30,6240446,367839348
0,Jan 13 2022,1.35,1.43,1.30,1.30,8143439,367967365
0,Jan 12 2022,1.23,1.45,1.22,1.35,13568914,382402503
0,Jan 11 2022,1.14,1.23,1.11,1.23,6506703,346940679
0,Jan 10 2022,1.25,1.25,1.08,1.14,9655859,322167129
0,Jan 09 2022,1.22,1.28,1.20,1.25,6087529,352404652
0,Jan 08 2022,1.27,1.35,1.21,1.22,7111407,345690522
0,Jan 07 2022,1.40,1.44,1.27,1.27,7448094,359470357
0,Jan 06 2022,1.36,1.41,1.31,1.40,9299792,397269853
0,Jan 05 2022,1.46,1.47,1.32,1.36,8390922,383904665
0,Jan 04 2022,1.54,1.54,1.44,1.46,7683457,412195797
0,Jan 03 2022,1.56,1.58,1.50,1.53,5511007,433999299
0,Jan 02 2022,1.58,1.62,1.55,1.56,5161653,441933865
0,Jan 01 2022,1.57,1.62,1.52,1.58,5857316,446432128
0,Dec 31 2021,1.48,1.64,1.48,1.57,9968264,443763081
0,Dec 30 2021,1.52,1.55,1.46,1.48,10188434,418978161
0,Dec 29 2021,1.67,1.68,1.51,1.52,7263269,429980806
0,Dec 28 2021,1.72,1.81,1.63,1.67,17823402,472010821
0,Dec 27 2021,1.68,1.77,1.68,1.72,6486867,485910121
0,Dec 26 2021,1.71,1.74,1.67,1.68,5970668,474980063
0,Dec 25 2021,1.75,1.76,1.69,1.71,6376731,484300418
0,Dec 24 2021,1.69,1.88,1.68,1.75,17465289,494218919
0,Dec 23 2021,1.61,1.69,1.52,1.69,11952404,477144641
0,Dec 22 2021,1.51,1.65,1.46,1.61,23271191,454178326
0,Dec 21 2021,1.40,1.53,1.37,1.51,6102512,426672655
0,Dec 20 2021,1.48,1.49,1.36,1.40,10677112,395622755
0,Dec 19 2021,1.53,1.54,1.43,1.48,11327427,418137667
0,Dec 18 2021,1.50,1.54,1.46,1.53,11210912,433080741
0,Dec 17 2021,1.45,1.53,1.41,1.49,7838220,422617203
0,Dec 16 2021,1.49,1.62,1.44,1.45,14691216,410604654
0,Dec 15 2021,1.38,1.54,1.36,1.49,13044021,422275870
0,Dec 14 2021,1.34,1.38,1.27,1.32,11573704,372907284
0,Dec 13 2021,1.59,1.60,1.31,1.34,13199500,379186883
0,Dec 12 2021,1.56,1.65,1.54,1.59,7286859,450283647
0,Dec 11 2021,1.51,1.58,1.50,1.56,9033576,441788631
0,Dec 10 2021,1.71,1.75,1.52,1.52,13650242,428622634
0,Dec 09 2021,1.73,1.91,1.66,1.71,22649285,483029444
0,Dec 08 2021,1.68,1.75,1.60,1.73,13672538,488918307
0,Dec 07 2021,1.58,1.71,1.52,1.68,21135323,474866692
0,Dec 06 2021,1.63,1.63,1.32,1.58,20494729,446899468
0,Dec 05 2021,1.55,1.78,1.54,1.63,20820944,460135744
0,Dec 04 2021,1.61,1.63,1.35,1.55,22477882,439120456
0,Dec 03 2021,1.74,1.80,1.60,1.61,15792204,456285642
0,Dec 02 2021,1.93,1.93,1.70,1.74,22052207,493373428
0,Dec 01 2021,2.02,2.07,1.90,1.94,23999758,547424684
0,Nov 30 2021,2.24,2.27,1.99,2.01,17605609,569503906
0,Nov 29 2021,2.37,2.38,2.20,2.24,18079522,634564370
0,Nov 28 2021,2.33,2.38,2.11,2.37,27147173,670331009
0,Nov 27 2021,2.10,2.41,2.06,2.33,28656635,658771287
0,Nov 26 2021,2.15,2.32,1.84,2.11,41629205,597252371
