index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.1073,0.111,0.1069,0.1098,1822580,19076925
0,Jan 31 2022,0.1033,0.1088,0.09818,0.1073,1756748,18636924
0,Jan 30 2022,0.09581,0.1065,0.0956,0.1033,2772705,17944153
0,Jan 29 2022,0.1003,0.1037,0.09125,0.09582,1763367,16641812
0,Jan 28 2022,0.09297,0.1007,0.09173,0.1003,1535777,17420630
0,Jan 27 2022,0.09773,0.0987,0.0919,0.09298,1326028,16148582
0,Jan 26 2022,0.09572,0.1037,0.09485,0.09776,1147479,16978946
0,Jan 25 2022,0.09868,0.09923,0.09385,0.09569,1001251,16619547
0,Jan 24 2022,0.09719,0.1034,0.0885,0.09866,1018072,17135656
0,Jan 23 2022,0.09122,0.09789,0.09119,0.09718,887423,16878741
0,Jan 22 2022,0.09444,0.09467,0.08397,0.09094,1026441,15794399
0,Jan 21 2022,0.116,0.1162,0.09054,0.09445,1200375,16405337
0,Jan 20 2022,0.1232,0.133,0.116,0.116,1195151,20142076
0,Jan 19 2022,0.1406,0.1407,0.1231,0.1233,1734773,21407179
0,Jan 18 2022,0.1511,0.1529,0.1385,0.1406,1702029,24416006
0,Jan 17 2022,0.1629,0.1642,0.1495,0.1511,1626729,26250446
0,Jan 16 2022,0.1685,0.169,0.1629,0.1629,1550101,28289427
0,Jan 15 2022,0.1715,0.1718,0.168,0.1685,1546374,29263988
0,Jan 14 2022,0.1713,0.1732,0.166,0.1715,1949948,29786687
0,Jan 13 2022,0.1873,0.1874,0.1713,0.1713,1682225,29752721
0,Jan 12 2022,0.1677,0.1888,0.1641,0.1873,1691923,32534200
0,Jan 11 2022,0.1518,0.1691,0.1493,0.1677,1603222,29131896
0,Jan 10 2022,0.1652,0.1705,0.1454,0.1518,1778288,26365819
0,Jan 09 2022,0.17,0.17,0.1636,0.1652,1225339,28697116
0,Jan 08 2022,0.1716,0.177,0.167,0.1708,1941936,29670946
0,Jan 07 2022,0.1972,0.1974,0.1705,0.1716,2289121,29807818
0,Jan 06 2022,0.2158,0.2158,0.1943,0.1972,2261243,34246134
0,Jan 05 2022,0.2313,0.2316,0.213,0.2161,1852103,37532439
0,Jan 04 2022,0.2355,0.2369,0.2285,0.2313,2077078,40171266
0,Jan 03 2022,0.2408,0.2413,0.233,0.2355,2086994,40911008
0,Jan 02 2022,0.2373,0.2436,0.2324,0.2409,1990426,41833781
0,Jan 01 2022,0.2326,0.2385,0.2325,0.2373,2049767,41210785
0,Dec 31 2021,0.2288,0.2434,0.228,0.2325,1911683,40389002
0,Dec 30 2021,0.2307,0.2337,0.227,0.2288,2508770,39733931
0,Dec 29 2021,0.2422,0.2454,0.2293,0.2306,2642697,40059455
0,Dec 28 2021,0.2626,0.2634,0.2406,0.242,2625614,42037048
0,Dec 27 2021,0.2614,0.2668,0.2563,0.2625,2317510,45585411
0,Dec 26 2021,0.284,0.2845,0.2536,0.2614,2990595,45407582
0,Dec 25 2021,0.2871,0.2909,0.28,0.2841,2218457,49339121
0,Dec 24 2021,0.2903,0.295,0.2858,0.2868,2791300,49813329
0,Dec 23 2021,0.2816,0.2911,0.2737,0.2902,5602008,50409850
0,Dec 22 2021,0.2909,0.2965,0.2771,0.2816,5261992,48917802
0,Dec 21 2021,0.2803,0.2963,0.2777,0.2909,5182605,50529324
0,Dec 20 2021,0.297,0.299,0.2683,0.2803,5485067,48687496
0,Dec 19 2021,0.3054,0.3081,0.2951,0.2972,5616468,51612936
0,Dec 18 2021,0.2785,0.3383,0.2696,0.3053,7317552,53030622
0,Dec 17 2021,0.3095,0.3095,0.2658,0.2783,5926114,48342124
0,Dec 16 2021,0.2952,0.3259,0.2935,0.3094,6807268,53740037
0,Dec 15 2021,0.2778,0.2953,0.262,0.2953,5155679,51281084
0,Dec 14 2021,0.262,0.278,0.2448,0.2778,6548437,48256837
0,Dec 13 2021,0.3031,0.3034,0.2574,0.262,5037396,45498134
0,Dec 12 2021,0.3038,0.305,0.2937,0.3029,5237943,52604524
0,Dec 11 2021,0.3099,0.3179,0.2976,0.3038,5264982,52769164
0,Dec 10 2021,0.308,0.3303,0.299,0.31,6041713,53833586
0,Dec 09 2021,0.327,0.3321,0.305,0.3079,5501312,53470481
0,Dec 08 2021,0.3354,0.3377,0.3157,0.327,6028605,56802143
0,Dec 07 2021,0.3289,0.3449,0.3232,0.3362,6092131,58397160
0,Dec 06 2021,0.3331,0.3331,0.2968,0.3287,6828860,57096615
0,Dec 05 2021,0.3521,0.3701,0.3099,0.3331,7676405,57854176
0,Dec 04 2021,0.3891,0.3895,0.3225,0.3521,10684697,61146244
0,Dec 03 2021,0.4327,0.471,0.3859,0.389,9477347,67560397
0,Dec 02 2021,0.4559,0.4581,0.4209,0.4325,8322953,75110864
0,Dec 01 2021,0.4909,0.497,0.4517,0.4559,10014435,79185970
0,Nov 30 2021,0.4641,0.5104,0.4433,0.4909,11770229,85254228
0,Nov 29 2021,0.4632,0.4712,0.4439,0.4639,6261306,80572106
0,Nov 28 2021,0.4503,0.4748,0.4062,0.4632,11821853,80456521
0,Nov 27 2021,0.4739,0.4845,0.4483,0.4504,11917838,78222910
0,Nov 26 2021,0.5558,0.5712,0.4681,0.474,11777108,82322534
0,Nov 25 2021,0.5056,0.5573,0.5051,0.5411,14957367,93983719
0,Nov 24 2021,0.5371,0.5379,0.4878,0.5275,13907012,91613597
0,Nov 23 2021,0.549,0.5605,0.5326,0.5372,13027603,93295391
0,Nov 22 2021,0.5567,0.5944,0.5334,0.5491,15417687,95361984
0,Nov 21 2021,0.6142,0.658,0.5569,0.5569,18313628,96723793
0,Nov 20 2021,0.4621,0.6521,0.4621,0.614,26848442,106637811
0,Nov 19 2021,0.3949,0.4954,0.3949,0.4621,13314021,80264925
0,Nov 18 2021,0.4011,0.4144,0.3463,0.3949,11053580,68583905
0,Nov 17 2021,0.3634,0.4032,0.3504,0.401,9583659,69645807
0,Nov 16 2021,0.3731,0.4796,0.3009,0.3635,9108243,63137726
0,Nov 15 2021,0.4083,0.4465,0.3721,0.3729,6155387,64766650
0,Nov 14 2021,0.3579,0.4135,0.3358,0.4084,7302537,70933894
0,Nov 13 2021,0.3081,0.364,0.3071,0.3575,6166025,62083833
0,Nov 12 2021,0.3233,0.3315,0.2914,0.3079,3991307,53472114
0,Nov 11 2021,0.3022,0.3341,0.2942,0.3236,4567399,56210800
0,Nov 10 2021,0.3709,0.3732,0.292,0.3021,5561301,52475351
0,Nov 09 2021,0.3946,0.4038,0.3546,0.3711,4541665,64462270
0,Nov 08 2021,0.4097,0.4137,0.3909,0.3942,2983756,68472516
0,Nov 07 2021,0.3826,0.4516,0.3758,0.4101,10238907,71221491
0,Nov 06 2021,0.3814,0.392,0.3464,0.3824,4638713,66421464
0,Nov 05 2021,0.4216,0.4398,0.3787,0.3813,3911501,66230570
0,Nov 04 2021,0.4323,0.4425,0.3602,0.422,8221640,73292530
0,Nov 03 2021,0.3991,0.4964,0.3978,0.4323,11382722,75091440
0,Nov 02 2021,0.2951,0.4041,0.2935,0.401,11396466,0
0,Nov 01 2021,0.3125,0.3361,0.2914,0.2951,9577074,0
0,Oct 31 2021,0.28,0.3508,0.2142,0.3126,27770002,0
0,Oct 30 2021,0.1613,0.2936,0.1577,0.2808,22448624,0
0,Oct 29 2021,0.09961,0.1645,0.09937,0.1612,9018871,0
0,Oct 28 2021,0.07706,0.1017,0.07613,0.09958,3493133,0
0,Oct 27 2021,0.08168,0.08445,0.07525,0.07705,2434553,0
0,Oct 26 2021,0.09117,0.09319,0.08113,0.08169,2530918,0
0,Oct 25 2021,0.07701,0.09163,0.07458,0.09111,3300050,0
0,Oct 24 2021,0.06931,0.07724,0.06725,0.07703,2585027,0
0,Oct 23 2021,0.05946,0.0693,0.0594,0.06929,1972328,0
0,Oct 22 2021,0.06144,0.06564,0.05863,0.05946,1853363,0
0,Oct 21 2021,0.06355,0.06505,0.06047,0.06144,1443531,0
0,Oct 20 2021,0.06255,0.06358,0.05807,0.06358,1654381,0
0,Oct 19 2021,0.06551,0.06715,0.06194,0.06262,1789833,0
0,Oct 18 2021,0.06668,0.06839,0.065,0.06551,1452496,0
0,Oct 17 2021,0.06983,0.07052,0.062,0.06666,1703340,0
0,Oct 16 2021,0.06977,0.07303,0.06715,0.06984,1562808,0
0,Oct 15 2021,0.07292,0.0767,0.06909,0.06975,1849840,0
0,Oct 14 2021,0.06886,0.07332,0.0683,0.07278,1707213,0
0,Oct 13 2021,0.074,0.07957,0.0672,0.06885,2392876,0
0,Oct 12 2021,0.06974,0.07421,0.06835,0.07399,2025722,0
0,Oct 11 2021,0.06794,0.07171,0.06732,0.06974,1934964,0
0,Oct 10 2021,0.07577,0.07648,0.06795,0.06795,1935781,0
0,Oct 09 2021,0.08149,0.08205,0.07324,0.07579,2572242,0
0,Oct 08 2021,0.0806,0.08288,0.07747,0.08148,3179284,0
0,Oct 07 2021,0.0698,0.08517,0.06794,0.08064,5069717,0
0,Oct 06 2021,0.07307,0.07636,0.06707,0.0698,2745233,0
0,Oct 05 2021,0.07871,0.07962,0.06832,0.0731,2992525,0
