index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.02008,0.0205,0.01976,0.01998,44246728,89325517
0,Jan 31 2022,0.0193,0.0204,0.01862,0.02004,42957374,89572363
0,Jan 30 2022,0.02016,0.02055,0.01911,0.0193,39881595,86262924
0,Jan 29 2022,0.02023,0.02098,0.01971,0.02015,47220992,90063761
0,Jan 28 2022,0.01952,0.02033,0.01841,0.02024,48724778,90467425
0,Jan 27 2022,0.02027,0.02054,0.019,0.01952,46959144,87269368
0,Jan 26 2022,0.01996,0.02238,0.01945,0.02026,71765604,90569999
0,Jan 25 2022,0.01985,0.02091,0.01913,0.01995,56743402,89193342
0,Jan 24 2022,0.0208,0.0208,0.01747,0.01985,74782858,88753896
0,Jan 23 2022,0.01977,0.02201,0.01916,0.0208,58636149,92961844
0,Jan 22 2022,0.0219,0.02341,0.0176,0.01975,72987118,88301914
0,Jan 21 2022,0.02599,0.02881,0.02097,0.02187,104687387,97770657
0,Jan 20 2022,0.02691,0.02933,0.02574,0.02596,40431134,116031215
0,Jan 19 2022,0.02885,0.02909,0.02685,0.02692,26858340,120339583
0,Jan 18 2022,0.02918,0.02961,0.02672,0.02885,38394903,128976338
0,Jan 17 2022,0.03105,0.03114,0.0283,0.02918,43305570,130429340
0,Jan 16 2022,0.03167,0.03186,0.03097,0.03106,25036492,138825477
0,Jan 15 2022,0.0319,0.0326,0.03087,0.03167,35119537,141562771
0,Jan 14 2022,0.03148,0.03272,0.03002,0.03191,53809591,142654208
0,Jan 13 2022,0.03546,0.03557,0.03061,0.03147,67568459,140655728
0,Jan 12 2022,0.0305,0.03557,0.0305,0.03546,74544232,158530219
0,Jan 11 2022,0.0265,0.03108,0.02622,0.03048,55877545,136272537
0,Jan 10 2022,0.02687,0.02775,0.02416,0.0265,48801688,118455256
0,Jan 09 2022,0.02565,0.0279,0.02412,0.02688,34256194,120138825
0,Jan 08 2022,0.0269,0.02807,0.02341,0.02559,43438613,114394431
0,Jan 07 2022,0.02835,0.02837,0.02608,0.02689,39481649,120211865
0,Jan 06 2022,0.02984,0.03003,0.02804,0.02836,36894383,126772601
0,Jan 05 2022,0.03213,0.0331,0.02782,0.02985,48852084,133437781
0,Jan 04 2022,0.03314,0.03351,0.03201,0.03213,27671830,143626212
0,Jan 03 2022,0.03419,0.03419,0.03249,0.03317,31673796,148297730
0,Jan 02 2022,0.03511,0.0352,0.03399,0.03419,26335280,152838220
0,Jan 01 2022,0.0342,0.03533,0.03401,0.03512,25173477,156978439
0,Dec 31 2021,0.03502,0.03647,0.03364,0.03421,38032523,152909443
0,Dec 30 2021,0.03564,0.03661,0.03471,0.03504,33136696,156613364
0,Dec 29 2021,0.0368,0.03769,0.03454,0.03561,46811813,159188478
0,Dec 28 2021,0.04224,0.04227,0.03545,0.0368,64465026,164518644
0,Dec 27 2021,0.04118,0.0453,0.04064,0.04216,64109299,188475437
0,Dec 26 2021,0.03926,0.04224,0.03778,0.04118,49221976,184060041
0,Dec 25 2021,0.03973,0.04113,0.03882,0.03963,30020870,177140096
0,Dec 24 2021,0.04001,0.04325,0.0393,0.03968,84799754,177381572
0,Dec 23 2021,0.03389,0.04077,0.03235,0.04003,85875799,178942486
0,Dec 22 2021,0.03494,0.03667,0.0339,0.0339,37655145,151551868
0,Dec 21 2021,0.03225,0.03596,0.03156,0.03497,36654462,156308642
0,Dec 20 2021,0.03453,0.03456,0.03096,0.03225,38211160,144165352
0,Dec 19 2021,0.03761,0.03935,0.03364,0.03453,32427340,154344784
0,Dec 18 2021,0.03245,0.03811,0.03215,0.03757,51384945,167955044
0,Dec 17 2021,0.0345,0.03566,0.03191,0.03242,40901648,144944508
0,Dec 16 2021,0.03564,0.0391,0.03431,0.0344,41004986,153784259
0,Dec 15 2021,0.0339,0.03679,0.03163,0.03564,45447440,159338029
0,Dec 14 2021,0.03339,0.03445,0.03151,0.0318,38326185,142161260
0,Dec 13 2021,0.03901,0.03919,0.0332,0.03339,43365215,149263223
0,Dec 12 2021,0.03808,0.0411,0.03736,0.03892,36379326,173971228
0,Dec 11 2021,0.03432,0.03969,0.03358,0.03828,42247362,171111431
0,Dec 10 2021,0.03779,0.0398,0.03411,0.03427,49383669,153212593
0,Dec 09 2021,0.04207,0.04308,0.03635,0.03784,60952126,169144452
0,Dec 08 2021,0.04137,0.04521,0.03877,0.04208,75420885,188111726
0,Dec 07 2021,0.04754,0.04941,0.03949,0.04139,94800346,185039196
0,Dec 06 2021,0.03833,0.04805,0.03009,0.04721,142083225,211030294
0,Dec 05 2021,0.04118,0.04308,0.03522,0.03851,60154872,172166334
0,Dec 04 2021,0.05009,0.0502,0.03297,0.04122,83535620,184283046
0,Dec 03 2021,0.05459,0.05557,0.04572,0.05008,61344363,223861492
0,Dec 02 2021,0.05742,0.05742,0.05335,0.05459,42092448,244030562
0,Dec 01 2021,0.05768,0.05868,0.05516,0.0571,50301791,255253119
0,Nov 30 2021,0.05884,0.06173,0.05532,0.05766,70577696,257752176
0,Nov 29 2021,0.05905,0.06178,0.05706,0.05885,62662275,263065423
0,Nov 28 2021,0.05815,0.05969,0.05103,0.05904,73630321,263933614
0,Nov 27 2021,0.05744,0.06132,0.05744,0.05807,49669111,259599876
0,Nov 26 2021,0.06676,0.07003,0.05744,0.05744,95817388,256749444
0,Nov 25 2021,0.05836,0.06718,0.05744,0.05785,58150861,258594447
0,Nov 24 2021,0.0614,0.06197,0.05708,0.0588,61652272,262847364
0,Nov 23 2021,0.05883,0.06197,0.05655,0.06161,57862226,275397361
0,Nov 22 2021,0.06207,0.06253,0.0567,0.05883,59553281,262997238
0,Nov 21 2021,0.06173,0.06422,0.05988,0.06211,59449779,277637217
0,Nov 20 2021,0.05993,0.06614,0.05773,0.06176,78788056,276082451
0,Nov 19 2021,0.05508,0.063,0.05294,0.05991,77778486,267801049
0,Nov 18 2021,0.06197,0.06329,0.0537,0.0552,90496079,246739809
0,Nov 17 2021,0.06496,0.06742,0.06057,0.06194,87872968,276889813
0,Nov 16 2021,0.07123,0.07123,0.06265,0.06503,111603188,290686718
0,Nov 15 2021,0.06505,0.07853,0.06195,0.07077,178152354,316334283
0,Nov 14 2021,0.06847,0.06847,0.06184,0.06488,53116810,290039203
0,Nov 13 2021,0.06233,0.06812,0.05904,0.06776,74265348,302892494
0,Nov 12 2021,0.0643,0.06725,0.05745,0.06227,77981268,278362245
0,Nov 11 2021,0.06276,0.06949,0.06174,0.06446,75160722,288143508
0,Nov 10 2021,0.07018,0.07059,0.06048,0.06262,100761691,279943565
0,Nov 09 2021,0.07456,0.07754,0.07019,0.07039,64886613,314648383
0,Nov 08 2021,0.07288,0.07529,0.0703,0.07435,73413478,332343051
0,Nov 07 2021,0.07557,0.07649,0.07028,0.07278,69511108,325360552
0,Nov 06 2021,0.07266,0.0756,0.06958,0.07552,65347947,337599155
0,Nov 05 2021,0.07497,0.07747,0.0716,0.07274,61584022,325162764
0,Nov 04 2021,0.07659,0.07659,0.07118,0.07504,92113462,335439978
0,Nov 03 2021,0.07915,0.08053,0.07303,0.07771,109570951,347371360
0,Nov 02 2021,0.0836,0.08367,0.07718,0.0795,96327008,355381454
0,Nov 01 2021,0.08683,0.08683,0.07823,0.0838,123738456,374595881
0,Oct 31 2021,0.07673,0.08673,0.07032,0.08639,121897435,386199321
0,Oct 30 2021,0.078,0.08084,0.0717,0.07666,84469942,342663962
0,Oct 29 2021,0.08086,0.08417,0.07565,0.07807,102162581,349002496
0,Oct 28 2021,0.06975,0.08392,0.06931,0.08081,137456786,361220847
0,Oct 27 2021,0.08044,0.08358,0.06886,0.06974,128493764,311742223
0,Oct 26 2021,0.07674,0.08503,0.07551,0.08053,194928075,360001315
0,Oct 25 2021,0.06662,0.077,0.06519,0.07682,131922805,343385865
0,Oct 24 2021,0.0688,0.06908,0.06468,0.06644,99139638,297019787
0,Oct 23 2021,0.06055,0.06868,0.05977,0.06868,124263007,307033034
0,Oct 22 2021,0.0586,0.06169,0.05803,0.0605,74788160,270454823
0,Oct 21 2021,0.06097,0.06102,0.05612,0.05857,76232402,261821902
0,Oct 20 2021,0.05876,0.06297,0.05833,0.06101,72165415,272732798
