index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,11.56,14.30,11.50,13.32,104014004,318217781
0,Jan 31 2022,9.85,11.87,9.24,11.56,47120019,276358511
0,Jan 30 2022,10.46,10.51,9.53,9.85,23857705,235369400
0,Jan 29 2022,10.53,11.01,10.11,10.45,27611948,249802959
0,Jan 28 2022,10.41,10.99,9.86,10.53,36508657,251608975
0,Jan 27 2022,9.85,11.27,9.32,10.42,48619616,248917873
0,Jan 26 2022,9.71,10.83,9.23,9.86,54091360,235740723
0,Jan 25 2022,8.04,10.41,7.80,9.72,60083531,232178442
0,Jan 24 2022,8.50,8.50,6.76,8.04,38135995,192171780
0,Jan 23 2022,8.01,8.91,7.85,8.50,24199826,203201823
0,Jan 22 2022,8.98,9.19,6.81,8.00,37120196,191183410
0,Jan 21 2022,10.84,11.25,8.86,8.97,40035102,214263623
0,Jan 20 2022,11.39,12.66,10.84,10.84,22750314,237357829
0,Jan 19 2022,13.09,13.09,11.37,11.39,31435575,249441623
0,Jan 18 2022,13.32,13.52,12.08,13.09,30612142,286710850
0,Jan 17 2022,14.84,14.84,12.99,13.32,39896321,291686086
0,Jan 16 2022,16.01,16.21,14.82,14.84,34645642,324973956
0,Jan 15 2022,15.85,16.45,15.36,16.01,37687595,350688141
0,Jan 14 2022,15.08,16.20,14.31,15.84,58099941,346848466
0,Jan 13 2022,14.90,16.65,14.27,15.09,78023498,330385204
0,Jan 12 2022,13.96,14.95,13.31,14.91,43409896,296576971
0,Jan 11 2022,14.10,14.49,13.13,13.95,49790753,277637908
0,Jan 10 2022,13.03,14.12,11.58,14.10,60785063,280628804
0,Jan 09 2022,11.21,14.45,11.03,13.04,73608805,259412614
0,Jan 08 2022,11.83,12.16,10.66,11.21,24183386,223111416
0,Jan 07 2022,13.30,13.52,11.74,11.83,44505740,235460728
0,Jan 06 2022,12.28,14.66,11.61,13.32,44858141,264990951
0,Jan 05 2022,14.53,14.70,11.89,12.33,43140026,245407334
0,Jan 04 2022,14.87,15.27,14.54,14.54,15108259,289256530
0,Jan 03 2022,16.01,16.03,14.81,14.87,14351309,295931343
0,Jan 02 2022,15.38,16.06,15.19,16.03,17351521,318861387
0,Jan 01 2022,14.73,15.81,14.64,15.39,17053049,306183223
0,Dec 31 2021,15.12,15.72,14.54,14.73,28122012,293134050
0,Dec 30 2021,15.86,16.41,14.80,15.12,31761160,300762421
0,Dec 29 2021,16.33,16.87,15.63,15.91,23802829,316526912
0,Dec 28 2021,18.68,18.68,15.56,16.29,46835990,324148132
0,Dec 27 2021,17.20,20.11,17.04,18.67,47528946,371396541
