index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.3314,0.3353,0.3231,0.3269,26169731,627411890
0,Jan 31 2022,0.331,0.3343,0.3104,0.3314,35108150,635727162
0,Jan 30 2022,0.3196,0.3427,0.3156,0.331,53644795,634809344
0,Jan 29 2022,0.3127,0.3231,0.3104,0.3197,36312841,612886261
0,Jan 28 2022,0.301,0.3128,0.2935,0.3128,35241791,599506120
0,Jan 27 2022,0.2889,0.3033,0.2805,0.3011,39849304,576913073
0,Jan 26 2022,0.2792,0.312,0.2758,0.289,60516326,553489302
0,Jan 25 2022,0.2792,0.2805,0.2636,0.2792,39507263,534613138
0,Jan 24 2022,0.2925,0.2934,0.2434,0.2794,58340622,534877232
0,Jan 23 2022,0.2681,0.3038,0.2674,0.2923,55381440,559480143
0,Jan 22 2022,0.2942,0.2976,0.2374,0.2678,58495134,512272674
0,Jan 21 2022,0.3489,0.3594,0.2874,0.2937,52567636,561733337
0,Jan 20 2022,0.3684,0.3809,0.3486,0.3487,19403287,666604672
0,Jan 19 2022,0.3871,0.3881,0.3627,0.3682,28671172,703725503
0,Jan 18 2022,0.3984,0.3984,0.3798,0.3872,25676579,739765626
0,Jan 17 2022,0.4108,0.4124,0.3907,0.3984,30678628,760925878
0,Jan 16 2022,0.4141,0.4152,0.4032,0.4108,25500581,784087333
0,Jan 15 2022,0.4038,0.4143,0.4009,0.4143,24159594,790435971
0,Jan 14 2022,0.3971,0.4095,0.3945,0.4036,32646326,769884224
0,Jan 13 2022,0.4189,0.4214,0.3959,0.3968,35125845,756758720
0,Jan 12 2022,0.4049,0.4197,0.3956,0.419,39640680,797834690
0,Jan 11 2022,0.3929,0.417,0.3801,0.4051,73209286,771116033
0,Jan 10 2022,0.4178,0.4215,0.3693,0.3931,47749220,748017912
0,Jan 09 2022,0.4075,0.4236,0.4021,0.4178,27506215,794853165
0,Jan 08 2022,0.412,0.4301,0.3969,0.408,36372984,775919278
0,Jan 07 2022,0.439,0.4394,0.4013,0.412,40498403,783254035
0,Jan 06 2022,0.4331,0.442,0.4159,0.4387,42230815,833627899
0,Jan 05 2022,0.4642,0.4777,0.4168,0.4332,38176193,822920686
0,Jan 04 2022,0.4762,0.4808,0.4597,0.4642,39106926,881659989
0,Jan 03 2022,0.496,0.5076,0.4664,0.4762,64713467,904126840
0,Jan 02 2022,0.4587,0.52,0.4581,0.496,148374263,931462141
0,Jan 01 2022,0.4496,0.4596,0.4473,0.4587,16942609,861088376
0,Dec 31 2021,0.4556,0.4654,0.4406,0.4496,32289768,843541594
0,Dec 30 2021,0.4446,0.4644,0.4346,0.4551,34062746,853515469
0,Dec 29 2021,0.4527,0.4756,0.4335,0.4451,62975872,834018992
0,Dec 28 2021,0.5028,0.5123,0.4516,0.4533,61588881,849127244
0,Dec 27 2021,0.5046,0.5204,0.4977,0.5055,54735898,946645525
0,Dec 26 2021,0.5078,0.5122,0.4905,0.5038,45752127,943263068
