index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,6.30,6.32,5.80,6.15,103214164,758282741
0,Jan 30 2022,6.56,6.57,6.17,6.31,102928035,777556893
0,Jan 29 2022,6.52,6.95,6.26,6.53,253747932,804990083
0,Jan 28 2022,5.61,7.09,5.31,6.54,704960170,806066765
0,Jan 27 2022,5.57,5.71,5.21,5.62,114307126,692332427
0,Jan 26 2022,5.43,6.03,5.21,5.57,267436840,686470561
0,Jan 25 2022,4.87,5.51,4.49,5.43,173961601,669479961
0,Jan 24 2022,4.82,4.90,4.11,4.87,112067051,599762196
0,Jan 23 2022,4.18,4.90,4.18,4.82,180452097,594454241
0,Jan 22 2022,4.45,4.47,3.65,4.17,108076779,513578942
0,Jan 21 2022,5.11,5.37,4.40,4.44,98880081,547746754
0,Jan 20 2022,5.34,5.69,5.10,5.11,76791077,629490312
0,Jan 19 2022,5.80,5.87,5.18,5.34,108477325,657669054
0,Jan 18 2022,6.23,6.23,5.57,5.79,152426254,713740605
0,Jan 17 2022,6.03,6.48,5.90,6.23,180694369,767485733
0,Jan 16 2022,6.44,6.44,6.00,6.03,94841619,743425075
0,Jan 15 2022,6.69,6.71,6.40,6.44,68320079,793800737
0,Jan 14 2022,6.85,7.00,6.26,6.69,287284755,824007143
0,Jan 13 2022,7.95,7.99,6.72,6.81,349373085,839807372
0,Jan 12 2022,7.13,8.53,6.93,7.95,1151392063,979852168
0,Jan 11 2022,4.95,9.55,4.57,7.13,1265295260,879194723
0,Jan 10 2022,5.66,5.91,3.97,4.95,288296987,609535178
0,Jan 09 2022,6.32,6.47,5.12,5.66,98457356,698041982
0,Jan 08 2022,6.51,6.76,5.96,6.32,100672311,779034749
0,Jan 07 2022,7.95,8.06,6.51,6.51,106198749,802301246
0,Jan 06 2022,8.28,8.53,7.39,7.95,119841371,979736557
0,Jan 05 2022,9.16,9.54,8.02,8.28,69584114,1020714979
0,Jan 04 2022,9.49,9.58,9.13,9.15,42086550,1127980557
0,Jan 03 2022,10.34,10.40,9.44,9.52,32824862,1173276501
0,Jan 02 2022,10.01,10.44,9.84,10.34,23634373,1273792415
0,Jan 01 2022,9.50,10.01,9.48,10.01,17239726,1233659836
0,Dec 31 2021,9.77,10.06,9.16,9.50,61328449,1171126295
0,Dec 30 2021,10.71,10.74,9.62,9.78,47300251,1205048890
0,Dec 29 2021,10.54,11.61,10.40,10.72,63140242,1321489199
0,Dec 28 2021,10.84,10.94,10.50,10.52,32389590,1296770183
0,Dec 27 2021,10.95,11.05,10.42,10.82,32933519,1333271047
0,Dec 26 2021,10.86,11.05,10.33,10.93,32317011,1347460054
0,Dec 25 2021,10.01,11.04,9.98,10.86,45952099,1338559152
0,Dec 24 2021,11.43,11.90,10.03,10.03,73422624,1236424130
0,Dec 23 2021,11.39,11.71,10.61,11.42,86262503,1407669105
0,Dec 22 2021,9.92,11.80,9.80,11.38,133929307,1402769909
0,Dec 21 2021,8.79,10.03,8.51,9.92,69902200,1222760372
0,Dec 20 2021,8.62,8.97,8.00,8.79,56242891,1083816318
0,Dec 19 2021,9.21,9.30,8.42,8.57,31500087,1056678592
0,Dec 18 2021,9.28,9.66,8.67,9.20,31262833,1134213678
0,Dec 17 2021,9.06,9.79,8.50,9.32,49265244,1148136949
0,Dec 16 2021,9.51,10.22,8.96,9.05,71015040,1115755792
0,Dec 15 2021,8.99,10.26,7.85,9.52,95293756,1173610360
0,Dec 14 2021,8.33,9.74,8.29,8.99,93684051,1107930150
0,Dec 13 2021,9.62,10.12,8.13,8.35,105196095,1029197064
0,Dec 12 2021,10.19,10.26,9.61,9.61,46593632,1184547145
0,Dec 11 2021,9.82,10.99,9.66,10.18,41900551,1254544286
0,Dec 10 2021,10.25,11.42,9.79,9.83,103924227,1211407746
0,Dec 09 2021,12.66,12.93,10.29,10.29,123971752,1268631779
0,Dec 08 2021,9.68,13.09,9.57,12.68,162374327,1562424252
0,Dec 07 2021,10.62,10.73,8.93,9.69,129056390,1194348906
0,Dec 06 2021,10.73,10.90,8.08,10.66,263172480,1313681050
0,Dec 05 2021,11.79,12.98,10.17,10.77,111372839,1327714033
0,Dec 04 2021,13.13,13.20,9.73,11.79,275258767,1453248065
0,Dec 03 2021,14.24,15.79,12.17,13.15,155077123,1620531225
0,Dec 02 2021,15.56,15.67,10.54,14.18,244183239,1747194489
0,Dec 01 2021,16.71,17.01,15.08,15.56,88910632,1917483941
0,Nov 30 2021,19.16,19.27,16.49,16.70,161080966,2057420560
0,Nov 29 2021,16.60,19.98,16.53,19.16,225250517,2361724385
0,Nov 28 2021,17.03,17.12,14.67,16.59,110981917,2045004920
0,Nov 27 2021,15.58,17.42,14.68,17.03,114680922,2099163243
0,Nov 26 2021,18.83,18.83,14.81,15.58,237142344,1919694781
0,Nov 25 2021,19.34,19.40,14.44,17.35,250890592,2138640646
0,Nov 24 2021,21.15,22.06,18.64,19.64,419007488,2420094905
0,Nov 23 2021,21.06,23.64,16.58,21.15,440307154,2606600873
0,Nov 22 2021,24.28,24.50,19.67,21.25,315075627,2618241678
0,Nov 21 2021,19.60,24.68,19.48,24.20,346107930,2982657169
0,Nov 20 2021,17.62,19.95,17.34,19.62,139355219,2417968650
0,Nov 19 2021,14.84,18.25,14.41,17.59,189584886,2167675777
0,Nov 18 2021,17.76,17.85,13.47,14.91,239927929,1837151686
