index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,1.49,1.55,1.42,1.52,3348104,127089214
0,Jan 30 2022,1.51,1.55,1.46,1.49,3682907,124415250
0,Jan 29 2022,1.49,1.56,1.46,1.51,7203273,126565186
0,Jan 28 2022,1.51,1.53,1.38,1.49,11704105,124626851
0,Jan 27 2022,1.69,1.71,1.47,1.51,12311576,126566807
0,Jan 26 2022,1.75,1.85,1.66,1.69,11096759,141485268
0,Jan 25 2022,1.67,1.76,1.65,1.75,7703593,146088107
0,Jan 24 2022,1.78,1.80,1.43,1.67,9314187,140102608
0,Jan 23 2022,1.70,1.84,1.67,1.78,6528613,148753070
0,Jan 22 2022,1.74,1.80,1.58,1.70,8410040,142223609
0,Jan 21 2022,2.15,2.17,1.74,1.74,9431813,145425586
0,Jan 20 2022,2.38,2.43,2.15,2.15,3626637,179715207
0,Jan 19 2022,2.61,2.64,2.38,2.38,4181485,198957362
0,Jan 18 2022,2.70,2.75,2.52,2.61,4378530,218584122
0,Jan 17 2022,3.09,3.11,2.59,2.70,10126978,226048153
0,Jan 16 2022,2.94,3.20,2.86,3.09,7002101,258696604
0,Jan 15 2022,2.59,3.09,2.57,2.94,12938220,245624083
0,Jan 14 2022,2.56,2.69,2.51,2.59,4350432,216391742
0,Jan 13 2022,2.76,2.82,2.53,2.56,6536589,214420072
0,Jan 12 2022,2.31,2.77,2.26,2.76,7046147,230787851
0,Jan 11 2022,2.22,2.34,2.21,2.31,3742258,193437248
0,Jan 10 2022,2.38,2.39,2.19,2.22,4204345,185890474
0,Jan 09 2022,2.24,2.40,2.22,2.38,4683213,199367874
0,Jan 08 2022,2.31,2.34,2.20,2.24,6052224,187412743
0,Jan 07 2022,2.63,2.65,2.31,2.31,9102075,193495832
0,Jan 06 2022,2.74,2.77,2.51,2.63,12340200,219963442
0,Jan 05 2022,3.19,3.19,2.71,2.74,9824788,229353777
0,Jan 04 2022,3.27,3.27,3.15,3.19,6810014,266790047
0,Jan 03 2022,3.40,3.50,3.27,3.27,6815704,273647467
0,Jan 02 2022,3.39,3.45,3.38,3.40,4611446,284878952
0,Jan 01 2022,3.30,3.43,3.28,3.39,6007164,284002855
0,Dec 31 2021,3.38,3.45,3.28,3.30,6827687,276236330
0,Dec 30 2021,3.30,3.47,3.29,3.38,5851429,282954278
0,Dec 29 2021,3.61,3.64,3.30,3.30,8440786,276555939
0,Dec 28 2021,3.93,3.93,3.53,3.61,8860218,302163329
0,Dec 27 2021,3.95,4.07,3.89,3.93,7450895,328556906
0,Dec 26 2021,4.08,4.09,3.88,3.96,5997254,330981312
0,Dec 25 2021,4.02,4.08,3.98,4.08,4811809,341225306
0,Dec 24 2021,3.94,4.21,3.94,4.02,12372102,336261353
0,Dec 23 2021,3.65,4.02,3.36,3.94,13981554,329995957
0,Dec 22 2021,3.69,3.70,3.54,3.65,9689322,305441729
0,Dec 21 2021,3.38,3.69,3.37,3.69,11904578,308397584
0,Dec 20 2021,3.46,3.47,3.23,3.38,8710683,282556180
0,Dec 19 2021,3.69,3.75,3.45,3.47,6757219,290012052
0,Dec 18 2021,3.59,3.69,3.42,3.69,10329570,308523665
0,Dec 17 2021,3.68,3.90,3.57,3.59,11893134,264671646
0,Dec 16 2021,3.82,3.93,3.63,3.68,12642889,271243790
0,Dec 15 2021,3.79,4.03,3.56,3.82,16540187,281392652
0,Dec 14 2021,3.73,3.80,3.48,3.48,10378355,256681361
0,Dec 13 2021,4.48,4.53,3.51,3.73,18079747,274514443
0,Dec 12 2021,4.25,4.61,4.22,4.48,9180046,329923518
0,Dec 11 2021,3.86,4.43,3.77,4.25,12356745,313033804
0,Dec 10 2021,4.24,4.29,3.83,3.87,15395367,284827196
0,Dec 09 2021,4.86,4.89,4.11,4.24,14741232,312337586
0,Dec 08 2021,4.59,5.09,4.50,4.86,17846013,358342135
0,Dec 07 2021,4.37,5.06,4.29,4.59,16916543,338324859
0,Dec 06 2021,4.22,4.37,3.86,4.36,24103080,321501494
0,Dec 05 2021,4.89,4.93,4.21,4.22,18131846,310600828
0,Dec 04 2021,5.08,5.22,4.09,4.89,32749185,360138542
0,Dec 03 2021,6.02,6.13,5.08,5.08,20034740,374421687
0,Dec 02 2021,5.75,6.10,5.48,6.02,20582016,443350516
0,Dec 01 2021,6.08,6.35,5.73,5.75,25576562,423761085
0,Nov 30 2021,6.86,7.30,5.89,6.08,28123219,447669901
0,Nov 29 2021,6.78,7.03,6.46,6.86,18314905,505819753
0,Nov 28 2021,7.28,7.29,6.29,6.78,27295591,499564971
0,Nov 27 2021,6.64,7.48,6.24,7.28,28824239,536648208
0,Nov 26 2021,6.41,7.20,5.56,6.64,37304214,489316454
0,Nov 25 2021,6.85,6.85,6.23,6.69,42670068,493173267
0,Nov 24 2021,6.39,7.28,6.13,6.15,33780296,452904617
0,Nov 23 2021,5.16,6.82,5.16,6.39,37682911,470964853
0,Nov 22 2021,5.30,5.44,5.02,5.16,17596599,380345699
0,Nov 21 2021,5.74,5.77,5.20,5.30,18996564,390598723
0,Nov 20 2021,5.79,6.18,5.34,5.73,24551970,422464201
0,Nov 19 2021,4.26,5.86,4.26,5.79,39899609,426814391
0,Nov 18 2021,3.89,4.76,3.89,4.26,28268896,314121743
0,Nov 17 2021,3.42,4.07,3.26,3.89,19160405,286910932
0,Nov 16 2021,3.84,7.60,3.23,3.42,17421804,252337759
0,Nov 15 2021,3.92,4.19,3.82,3.83,10679016,282306514
0,Nov 14 2021,4.09,4.18,3.88,3.92,10365666,288508262
0,Nov 13 2021,4.14,4.39,4.05,4.08,9916805,300930374
0,Nov 12 2021,3.97,4.19,3.68,4.14,10030773,304802990
0,Nov 11 2021,3.74,4.08,3.71,3.97,8753213,292307734
0,Nov 10 2021,3.99,4.26,3.63,3.74,10807931,275463233
0,Nov 09 2021,4.01,4.11,3.69,3.99,9666168,294019751
0,Nov 08 2021,4.38,4.53,3.99,4.00,15511557,295052448
0,Nov 07 2021,4.68,4.98,4.37,4.38,10414874,322371658
0,Nov 06 2021,3.81,4.90,3.77,4.67,16951233,344399236
