index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,2.89,3.13,2.69,3.05,50486496,259862316
0,Jan 30 2022,3.06,3.19,2.87,2.89,42156737,246705506
0,Jan 29 2022,2.95,3.11,2.83,3.06,50956490,260659476
0,Jan 28 2022,2.73,2.99,2.73,2.95,46357538,252002882
0,Jan 27 2022,2.72,2.94,2.59,2.73,61598373,233231132
0,Jan 26 2022,2.51,3.09,2.49,2.72,65437697,231591013
0,Jan 25 2022,2.52,2.55,2.40,2.51,35372316,208309363
0,Jan 24 2022,2.66,2.66,2.19,2.52,59425856,208430738
0,Jan 23 2022,2.57,2.80,2.52,2.66,46413740,220243633
0,Jan 22 2022,3.00,3.05,2.36,2.57,71493385,212714026
0,Jan 21 2022,3.65,3.71,2.95,3.00,67386432,248673546
0,Jan 20 2022,3.93,4.14,3.65,3.65,25387759,302490545
0,Jan 19 2022,4.18,4.19,3.86,3.94,31718279,321745931
0,Jan 18 2022,4.37,4.42,4.07,4.18,30231000,341769407
0,Jan 17 2022,4.61,4.61,4.29,4.37,27815171,357464190
0,Jan 16 2022,4.66,4.70,4.56,4.61,25267691,376578245
0,Jan 15 2022,4.51,4.74,4.47,4.66,25297963,381242169
0,Jan 14 2022,4.60,4.71,4.44,4.51,33895833,368706775
0,Jan 13 2022,4.85,4.99,4.56,4.60,56574381,376073601
0,Jan 12 2022,4.39,5.34,4.38,4.85,96101785,396662457
0,Jan 11 2022,4.34,4.49,4.24,4.39,50544264,358823663
0,Jan 10 2022,4.83,4.94,4.24,4.34,66209278,355118682
0,Jan 09 2022,4.68,5.08,4.55,4.83,52272000,394638630
0,Jan 08 2022,4.58,5.02,4.44,4.68,73328333,324156634
0,Jan 07 2022,4.78,4.82,4.26,4.58,64674605,317212782
0,Jan 06 2022,4.73,4.91,4.47,4.78,52923544,330996792
0,Jan 05 2022,5.18,5.36,4.46,4.73,43643727,327172875
0,Jan 04 2022,5.32,5.41,5.18,5.18,32040866,358356811
0,Jan 03 2022,5.61,5.61,5.21,5.32,37569160,368210370
0,Jan 02 2022,5.58,5.69,5.53,5.61,50044198,387789790
0,Jan 01 2022,5.31,5.58,5.30,5.58,40800837,385974997
0,Dec 31 2021,5.38,5.56,5.22,5.31,34509109,366520562
0,Dec 30 2021,5.16,5.53,5.09,5.38,38765287,371523018
0,Dec 29 2021,5.31,5.43,5.12,5.16,34754297,356666923
0,Dec 28 2021,5.93,5.93,5.26,5.31,51702773,367115631
0,Dec 27 2021,6.18,6.19,5.91,5.93,49837193,409384844
