index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,0.06428,0.06432,0.06084,0.06384,141684,6520684
0,Jan 30 2022,0.06682,0.06708,0.06337,0.06428,98701,6539259
0,Jan 29 2022,0.06765,0.06858,0.06632,0.06682,114134,6772528
0,Jan 28 2022,0.06471,0.06793,0.06416,0.06765,107635,6821357
0,Jan 27 2022,0.06102,0.06584,0.05803,0.06471,212108,6504424
0,Jan 26 2022,0.05248,0.06368,0.0524,0.06102,228780,6109583
0,Jan 25 2022,0.05123,0.05335,0.05018,0.05248,84291,5221876
0,Jan 24 2022,0.051,0.05165,0.04591,0.05123,182805,5076898
0,Jan 23 2022,0.04959,0.05267,0.04881,0.051,120697,5036337
0,Jan 22 2022,0.05663,0.05897,0.04514,0.04959,339124,4880050
0,Jan 21 2022,0.07318,0.07382,0.0558,0.05663,419090,5550964
0,Jan 20 2022,0.07605,0.07767,0.07318,0.07318,139502,7140396
0,Jan 19 2022,0.07562,0.07662,0.07258,0.07605,143987,7393056
0,Jan 18 2022,0.07669,0.07699,0.07371,0.07562,142349,7326110
0,Jan 17 2022,0.08246,0.08246,0.07663,0.07669,130177,7407664
0,Jan 16 2022,0.08595,0.08602,0.08243,0.08246,123575,7934630
0,Jan 15 2022,0.08573,0.08709,0.08495,0.08595,134979,8238383
0,Jan 14 2022,0.08756,0.08756,0.08372,0.08573,128706,8185731
0,Jan 13 2022,0.08886,0.0909,0.08699,0.08756,118482,8330158
0,Jan 12 2022,0.08225,0.08916,0.08193,0.08886,114311,8419035
0,Jan 11 2022,0.08031,0.08274,0.07876,0.08225,93984,7766173
0,Jan 10 2022,0.08814,0.08814,0.07602,0.08031,173766,7544951
0,Jan 09 2022,0.08477,0.08919,0.08346,0.08814,114843,8252121
0,Jan 08 2022,0.09019,0.09413,0.08268,0.08477,195874,7907782
0,Jan 07 2022,0.09566,0.09566,0.08779,0.09019,194654,8389425
0,Jan 06 2022,0.108,0.1086,0.09317,0.09566,300073,8868638
0,Jan 05 2022,0.1226,0.1248,0.1051,0.108,230637,9955446
0,Jan 04 2022,0.1303,0.1304,0.1225,0.1226,192396,11255760
0,Jan 03 2022,0.1359,0.1372,0.1299,0.1303,194164,11917992
0,Jan 02 2022,0.1435,0.1435,0.1312,0.1359,306986,12377639
0,Jan 01 2022,0.1356,0.1437,0.1348,0.1435,169258,12993537
0,Dec 31 2021,0.1279,0.1385,0.1268,0.1356,349384,12223792
0,Dec 30 2021,0.1203,0.1289,0.1171,0.1279,175922,11479734
0,Dec 29 2021,0.1175,0.1219,0.1166,0.1203,154604,10747677
0,Dec 28 2021,0.1278,0.1329,0.117,0.1175,173820,10454971
0,Dec 27 2021,0.1284,0.1298,0.1257,0.1278,174506,11336280
0,Dec 26 2021,0.131,0.1314,0.1272,0.1284,228904,11337462
0,Dec 25 2021,0.1348,0.1606,0.1248,0.131,166512,11519192
0,Dec 24 2021,0.1207,0.1351,0.12,0.1348,210739,11791881
0,Dec 23 2021,0.1272,0.1274,0.118,0.1207,262086,10528375
0,Dec 22 2021,0.1298,0.1316,0.126,0.1271,135018,11038818
0,Dec 21 2021,0.1272,0.1301,0.1252,0.1301,134706,11221306
0,Dec 20 2021,0.1356,0.1383,0.1244,0.127,146029,10912801
0,Dec 19 2021,0.1339,0.1471,0.1327,0.1356,259373,11603109
0,Dec 18 2021,0.13,0.1378,0.1273,0.1339,158409,11399771
0,Dec 17 2021,0.1364,0.1364,0.1267,0.1298,110969,11008880
0,Dec 16 2021,0.1361,0.1425,0.1353,0.1364,169507,11530016
0,Dec 15 2021,0.1349,0.137,0.1255,0.1361,201485,11459112
0,Dec 14 2021,0.1367,0.1382,0.1332,0.1347,330468,11283010
0,Dec 13 2021,0.1523,0.1531,0.1242,0.1367,306211,11418077
0,Dec 12 2021,0.1577,0.1638,0.1524,0.1524,309245,12670842
0,Dec 11 2021,0.1472,0.1581,0.1366,0.1577,467281,13047935
0,Dec 10 2021,0.1353,0.1557,0.1338,0.1471,305394,12117098
0,Dec 09 2021,0.1624,0.1642,0.133,0.1352,438099,11084193
0,Dec 08 2021,0.1565,0.1656,0.1546,0.1625,91337,13262607
0,Dec 07 2021,0.1599,0.1704,0.1499,0.1562,102439,12700923
0,Dec 06 2021,0.1604,0.1624,0.1438,0.1599,922370,12945853
0,Dec 05 2021,0.1839,0.1883,0.1542,0.1603,880946,12916529
0,Dec 04 2021,0.2211,0.2221,0.152,0.1839,1102599,14758178
0,Dec 03 2021,0.2071,0.2275,0.1808,0.2215,1295301,17612736
0,Dec 02 2021,0.2006,0.2113,0.1898,0.207,838240,16377009
0,Dec 01 2021,0.1977,0.2148,0.1938,0.2006,881635,15811569
0,Nov 30 2021,0.2047,0.2047,0.1884,0.1976,914919,15495447
0,Nov 29 2021,0.194,0.215,0.1919,0.2047,1287070,15986314
0,Nov 28 2021,0.1996,0.201,0.1838,0.1941,1385067,15076673
0,Nov 27 2021,0.1959,0.2014,0.1954,0.1997,1410963,15445321
0,Nov 26 2021,0.2393,0.241,0.1935,0.1959,803704,15076645
0,Nov 25 2021,0.2164,0.2536,0.2161,0.2197,403542,16779689
0,Nov 24 2021,0.2246,0.2462,0.2157,0.2261,1751278,17182222
0,Nov 23 2021,0.2186,0.2262,0.2094,0.2246,1927369,17057861
0,Nov 22 2021,0.222,0.2249,0.2052,0.2186,2510754,16530181
0,Nov 21 2021,0.2412,0.2836,0.2131,0.2219,1713040,16693595
0,Nov 20 2021,0.1943,0.2435,0.1937,0.2414,1659066,18076179
