name,MarKetCap
decentraland,5157621883
the sandbox,3794340091
axie infinity,3184118467
theta network,2946144116
enjin coin,1609997474
wax,635727162
sushiswap,538454217
ontology,424467685
illuvium,390850769
chromia,309141602
ultra,306781377
vulcan forged pyr,276358511
playdapp,280826254
ceek vr,254952622
yield guild games,259862316
bloktopia,244113147
myneighboralice,211938510
wemix,758282741
radio caca,402783142
metahero,274306402
ufo gaming,247922679
lukso,247460124
mobox,215577466
dvision network,206624882
deapcoin,170188168
rmrk,159986160
phantasma,158882921
wilder world,127089214
aavegotchi,125689309
star atlas,115170702
decentral games old,105000887
alien worlds,101025785
verasity,89572363
terra virtua kolect,86975666
somnium space cubes,87208463
aurory,83538047
highstreet,81036419
derace,61988067
ethernity chain,65681477
boson protocol,62419317
gamefi,62283766
atari token,57120377
adshares,44389123
bosagora,39021327
epik prime,34815333
newscrypto,33059425
vempire ddao,18636924
gamecredits,19186446
medacoin,16267590
blockchain monster hunt,16730194
decentral games ice,15805757
milc platform,15349745
torum,14045571
darwinia network,12946701
xaya,12269270
senso,10964854
faraland,10293092
revomon,10135774
mogul productions,10049095
trias token,9058952
shirtum,8794402
juggernaut,8443167
arcona,7366564
monsta infinite,6939773
defina finance,7076551
kalao,6673172
zookeeper,6520684
deepspace,6442129
onooks,5594115
dotmoovs,4975490
vibe,4749881
polker,4653181
chronicle,4547513
revolve games,3706832
legend of fantasy war,3440539
polkawar,3370455
spheroid universe,3216368
mist,3285766
monavale,2979947
locgame,2989016
rune shards,2675019
acknoledger,2442391
darwinia commitment token,1805618
etna network,1514754
jade currency,1379748
